"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гарматюк
Сергій
Васильович","Задирко
Геннадій
Олександрович","Іванов
Володимир
Володимирович","Матвєєв
Володимир
Йосипович","Наконечний
Володимир
Леонтієвич","Плужніков
Михайло
Броніславович","Тимошин
Володимир
Володимирович","Шевченко
Євген
Валерійович","Юрлов
Павло
Олегович","Яремич
Андрій
Леонідович","Дата підписання протоколу"
"480407","127","Миколаївська область","будинок культури, танцювальний зал
вул.Леніна, 20А, смт Ольшанське, Миколаївський р-н, Миколаївська обл., 57113","1836","947","1814","21","872","17","889","","0","872","17","889","25","864","4","68","48","122","416","8","33","57","102","6","29.10.12"
"480408","127","Миколаївська область","Ольшанська міська лікарня, хол відділення соціального захисту міської лікарні
вул.Шкільна, 35, смт Ольшанське, Миколаївський р-н, Миколаївська обл., 57113","1134","562","1123","34","545","27","572","","0","545","27","572","19","553","10","40","23","78","296","3","19","23","56","5","28.10.12"
"480409","127","Миколаївська область","ФАП, приймальний кабінет
вул.Комарова, 56, с.Тернувате, Миколаївський р-н, Миколаївська обл., 57115","522","278","505","12","234","10","244","","0","234","10","244","15","229","2","7","7","49","122","2","11","11","16","2","28.10.12"
"480410","127","Миколаївська область","МОПЛ №2, актовий зал
вул.Севєрна, 14, с.Сапетня, Миколаївський р-н, Миколаївська обл., 57114","414","197","409","11","206","11","217","","0","206","11","217","4","213","2","12","9","29","115","2","10","15","18","1","28.10.12"
"480411","127","Миколаївська область","залізничний вокзал, зал очікування
вул.Привокзальна, 14, с-ще Ясна Зоря, Миколаївський р-н, Миколаївська обл., 57113","108","25","108","3","80","3","83","","0","80","3","83","2","81","1","9","1","5","42","1","5","8","7","2","29.10.12"
"480412","127","Миколаївська область","Безводнянський ФАП, приймальний кабінет
вул.Черкаська, 3, с.Безводне, Миколаївський р-н, Миколаївська обл., 57171","198","84","191","4","110","4","114","","0","110","4","114","0","114","1","14","3","11","63","0","11","9","1","1","29.10.12"
"480413","127","Миколаївська область","сільський клуб, зал
вул.Радянська, 2, с.Зелене, Миколаївський р-н, Миколаївська обл., 57150","222","71","220","14","138","13","151","","0","138","13","151","10","141","3","8","11","10","72","0","10","9","15","3","28.10.12"
"480414","127","Миколаївська область","колишня школа, навчальний клас
вул.Садова, 11, с-ще Жовтневе, Миколаївський р-н, Миколаївська обл., 57171","120","43","115","0","77","0","77","","0","77","0","77","1","76","0","11","3","6","44","0","3","4","5","0","28.10.12"
"480415","127","Миколаївська область","школа, кабінет світової літератури
вул.Шкільна, 49, с.Шурине, Миколаївський р-н, Миколаївська обл., 57171","402","164","396","14","225","13","238","","0","225","13","238","10","228","4","32","8","23","103","1","22","18","14","3","29.10.12"
"480416","127","Миколаївська область","будинок культури, актовий зал
вул.Центральна, 6Б, с-ще Весняне, Миколаївський р-н, Миколаївська обл., 57134","1200","545","1194","36","624","31","655","","0","624","31","655","19","636","14","76","23","73","313","5","35","50","43","4","29.10.12"
"480417","127","Миколаївська область","сільська рада, актовий зал
вул.Шкільна, 1, с.Кірове, Миколаївський р-н, Миколаївська обл., 57164","402","166","409","6","231","5","236","","0","231","5","236","4","232","5","35","5","23","139","0","4","10","11","0","29.10.12"
