"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Волинко
Микола
Миколайович","Жнівін
Сергій
Юрійович","Кравченко
Анатолій
Васильович","Левицький
Євген
Леонідович","Левченко
Микола
Олександрович","Лигін
Роман
Олександрович","Лягін
Роман
Вікторович","Нікітін
Станіслав
Олександрович","Симоненко
Олександр
Борисович","Дата підписання протоколу"
"141763","44","Донецька область","школа №76, хол
вул.Петровського, 51, м.Донецьк, 83025","2480","722","2448","91","1668","90","1758","","0","1668","90","1758","32","1726","72","4","13","5","1401","2","7","41","181","28.10.12"
"141764","44","Донецька область","міжшкільний навчально-виробничий комбінат, хол, 2-й поверх
вул.Петровського, 66, м.Донецьк, 83025","2392","1002","2366","124","1280","110","1390","","0","1278","110","1388","24","1364","57","5","24","3","1106","1","0","41","127","29.10.12"
"141765","44","Донецька область","гімназія №92, хол, ліва сторона
вул.Пінтера, 20, м.Донецьк, 83120","2496","885","2464","78","1562","49","1611","","0","1560","49","1609","68","1541","117","10","36","21","1033","14","8","60","242","29.10.12"
"141766","44","Донецька область","гімназія №92, хол, права сторона
вул.Пінтера, 20, м.Донецьк, 83120","2408","411","2378","62","1935","62","1997","","0","1935","62","1997","78","1919","88","8","38","14","1478","13","7","71","202","29.10.12"
"141767","44","Донецька область","гімназія №92, фойє, ліва сторона
вул.Пінтера, 20, м.Донецьк, 83120","2160","535","2116","73","1556","69","1625","","0","1555","69","1624","73","1551","86","4","15","20","1156","11","7","55","197","29.10.12"
"141768","44","Донецька область","ліцей №30, хол, права сторона
вул.Валентини Терешкової, 47, м.Донецьк, 83120","1928","616","1890","13","1299","13","1312","","0","1299","13","1312","35","1277","79","8","33","14","854","6","5","64","214","29.10.12"
"141769","44","Донецька область","ліцей №30, хол, ліва сторона
вул.Валентини Терешкової, 47, м.Донецьк, 83120","1904","699","1884","74","1137","68","1205","","0","1137","68","1205","48","1157","81","8","30","15","854","10","2","39","118","29.10.12"
"141770","44","Донецька область","ліцей №30, хол, центр
вул.Валентини Терешкової, 47, м.Донецьк, 83120","1568","455","1539","60","1053","60","1113","","0","1053","60","1113","26","1087","56","12","13","13","800","2","3","45","143","30.10.12"
"141771","44","Донецька область","школа №88, хол, центральна частина
вул.Миколи Островського, 29, м.Донецьк, 83120","1872","709","1842","47","1122","41","1163","","0","1122","41","1163","50","1113","72","8","29","14","780","7","8","36","159","29.10.12"
"141772","44","Донецька область","школа №88, хол, права сторона
вул.Миколи Островського, 29, м.Донецьк, 83120","1616","579","1598","38","1005","32","1037","","0","1005","32","1037","34","1003","71","4","20","10","694","5","8","43","148","29.10.12"
"141773","44","Донецька область","школа №88, хол, ліва сторона
вул.Миколи Островського, 29, м.Донецьк, 83120","1792","700","1787","25","1068","24","1092","","0","1068","24","1092","22","1070","50","3","27","14","826","12","3","39","96","29.10.12"
"141774","44","Донецька область","школа №112, хол, права сторона
вул.Висоцького, 1, м.Донецьк, 83120","1936","579","1920","47","1310","47","1357","","0","1310","47","1357","50","1307","67","5","34","13","963","7","9","45","164","29.10.12"
"141775","44","Донецька область","школа №112, хол, 2-й поверх
вул.Висоцького, 1, м.Донецьк, 83120","2232","833","2206","53","1346","53","1399","","0","1346","53","1399","60","1339","96","10","40","9","912","15","7","72","178","29.10.12"
"141776","44","Донецька область","школа №112, хол, ліва сторона
вул.Висоцького, 1, м.Донецьк, 83120","1952","671","1929","48","1238","43","1281","","0","1238","43","1281","34","1247","75","6","20","15","912","13","3","62","141","29.10.12"
"141777","44","Донецька область","фізично-оздоровчий комплекс, спортзал, права сторона
вул.Висоцького, 19, м.Донецьк, 83117","1808","748","1783","39","1021","39","1060","","0","1021","39","1060","34","1026","52","2","18","10","751","5","1","39","148","29.10.12"
"141778","44","Донецька область","фізично-оздоровчий комплекс, спортзал, ліва сторона
вул.Висоцького, 19, м.Донецьк, 83117","2480","1175","2440","65","1249","56","1305","","0","1249","56","1305","61","1244","76","4","22","9","895","8","7","46","177","29.10.12"
"141779","44","Донецька область","центр реабілітації ""Радуга"", хол
вул.Петровського, 117, м.Донецьк, 83117","2304","708","2273","70","1540","56","1596","","0","1540","56","1596","58","1538","59","5","41","22","1135","10","8","74","184","29.10.12"
"141780","44","Донецька область","школа №97, хол
вул.Текстильників, 1, м.Донецьк, 83117","1736","524","1724","28","1187","25","1212","","0","1187","25","1212","25","1187","58","5","7","2","943","2","1","27","142","29.10.12"
"141781","44","Донецька область","ліцей №118, вестибюль
вул.Текстильників, 6, м.Донецьк, 83117","2408","707","2415","79","1622","79","1701","","0","1622","79","1701","48","1653","67","5","27","6","1402","2","1","35","108","29.10.12"
"141782","44","Донецька область","професійно-технічне училище №22, фойє
вул.Флотська, 1, м.Донецьк, 83095","1864","574","1842","75","1218","72","1290","","0","1218","72","1290","4","1286","51","5","17","7","1034","3","0","45","124","29.10.12"
"141783","44","Донецька область","професійно-технічне училище №22, фойє, 2-й поверх
вул.Флотська, 1, м.Донецьк, 83095","1776","563","1757","74","1151","62","1213","","0","1151","62","1213","28","1185","47","4","20","13","953","10","0","33","105","29.10.12"
"141784","44","Донецька область","школа №86, коридор, 1-й поверх
вул.Шилова, 1, м.Донецк, 83095","2504","806","2483","72","1626","72","1698","","0","1626","72","1698","25","1673","60","5","29","20","1350","11","6","39","153","29.10.12"
"141785","44","Донецька область","Донецький індустріально-педагогічний технікум, вестибюль
вул.Текстильників, 5, м.Донецьк, 83117","1936","538","1953","28","1373","25","1398","","0","1373","25","1398","72","1326","56","6","22","28","1014","8","4","52","136","29.10.12"
"141786","44","Донецька область","школа №78, спортзал
просп.Семашка, 34А, м.Донецьк, 83095","2448","567","2410","48","1833","48","1881","","0","1833","48","1881","23","1858","74","10","27","17","1478","13","7","43","189","29.10.12"
"141787","44","Донецька область","школа №78, актовий зал
просп.Семашка, 34А, м.Донецьк, 83095","2504","766","2465","34","1706","32","1738","","0","1706","32","1738","58","1680","86","9","22","13","1271","2","6","40","231","29.10.12"
"141788","44","Донецька область","школа №78, хол
просп.Семашка, 34А, м.Донецьк, 83095","2464","583","2424","38","1843","38","1881","","0","1843","38","1881","33","1848","86","9","34","23","1393","4","6","61","232","29.10.12"
"141789","44","Донецька область","палац дитячої та юнацької творчості, фойє, права сторона
вул.Кірова, 178, м.Донецьк, 83011","1848","405","1823","49","1403","40","1443","","0","1403","40","1443","54","1389","150","5","11","10","1023","4","2","32","152","29.10.12"
"141790","44","Донецька область","палац дитячої та юнацької творчості, фойє, 2-й поверх
вул.Кірова, 178, м.Донецьк, 83011","2000","600","1976","63","1343","57","1400","","0","1343","57","1400","47","1353","33","0","13","8","1086","9","4","46","154","29.10.12"
"141791","44","Донецька область","школа №82, хол
вул.Уральська, 18, м.Донецьк, 83011","2008","730","1983","100","1183","95","1278","","0","1183","95","1278","44","1234","57","8","9","14","942","8","3","29","164","29.10.12"
"141792","44","Донецька область","палац культури, фойє, 2-й поверх
вул.Павла Колодіна, 19, м.Донецьк, 83036","1728","431","1657","30","1269","28","1297","","0","1269","28","1297","20","1277","41","3","9","10","1058","0","6","19","131","29.10.12"
"141793","44","Донецька область","школа №80, коридор, 2-й поверх
вул.Дмитра Донського, 59, м.Донецьк, 83036","1936","605","1899","53","1278","53","1331","","0","1278","53","1331","16","1315","47","2","29","9","987","6","8","35","192","29.10.12"
"141794","44","Донецька область","школа №94, хол, права сторона
вул.Конєва, 28, м.Донецьк, 83036","2328","723","2282","75","1531","74","1605","","0","1531","74","1605","33","1572","43","2","22","17","1265","4","7","48","164","29.10.12"
"141795","44","Донецька область","школа №94, хол, ліва сторона
вул.Конєва, 28, м.Донецьк, 83036","1192","359","1162","44","791","42","833","","0","771","42","813","7","806","21","2","12","7","681","1","5","28","49","29.10.12"
"141796","44","Донецька область","колишня школа №79, хол
вул.Токарева, 88А, м.Донецьк, 83036","1808","648","1792","88","1072","88","1160","","0","1072","88","1160","30","1130","33","0","29","18","867","3","4","41","135","29.10.12"
"141797","44","Донецька область","школа №98, коридор
вул.Бірюзова, 1А, м.Донецьк, 83084","2232","474","2188","115","1643","115","1758","","0","1643","115","1758","25","1733","45","3","27","12","1403","9","11","36","187","29.10.12"
"141798","44","Донецька область","школа №98, фойє
вул.Бірюзова, 1А, м.Донецк, 83084","2048","392","2017","76","1585","71","1656","","0","1585","71","1656","52","1604","51","6","23","20","1293","18","10","32","151","29.10.12"
"141799","44","Донецька область","школа №91, хол, права сторона
вул.Бірюзова, 44А, м.Донецьк, 83084","2432","458","2408","72","1911","63","1974","","0","1911","63","1974","71","1903","54","12","35","25","1496","11","8","38","224","29.10.12"
"141800","44","Донецька область","школа №91, їдальня
вул.Бірюзова, 44А, м.Донецьк, 83084","2472","721","2436","55","1698","53","1751","","0","1697","53","1750","0","1750","82","1","38","16","1328","5","7","58","215","29.10.12"
