"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вуй
Юрій
Ярославович","Гладиш
Ігор
Дмитрович","Гринчук
Роман
Зіновійович","Добродомов
Дмитро
Євгенович","Желада
Олександр
Федорович","Задорожний
Іван
Іванович","Козинець
Світлана
Анатоліївна","Козицький
Андрій
Богданович","Костюк
Петро
Іванович","Новоженець
Ростислав
Павлович","Путас
Юрій
Володимирович","Туісов
Олександр
Володимирович","Федишин
Роман
Степанович","Хміль
Михайло
Михайлович","Чупило
Олег
Володимирович","Яковець
Оксана
Степанівна","Дата підписання протоколу"
"000001","115","Львівська область","Львівський міжрегіональний центр соціально-трудової, професійної та медичної реабілітації інвалідів
вул.Хуторівка, 38, м.Львів, 79070","48","30","22","0","18","0","18","","0","18","0","18","1","17","1","0","2","3","0","1","0","1","0","0","1","2","2","4","0","0","29.10.12"
"461925","115","Львівська область","гуртожиток ЛНУ ім.С.З.Гжицького, актовий зал, 1-й поверх
вул.Басараб О., 1, м.Львів, 79017","1180","417","1179","9","754","9","763","","0","754","9","763","15","748","4","3","13","252","22","4","6","5","5","20","4","31","57","305","7","10","30.10.12"
"461926","115","Львівська область","школа №49, хол, 1-й поверх
вул.Басараб О., 4, м.Львів, 79017","1812","676","1886","3","1133","3","1136","","0","1133","3","1136","32","1104","6","12","9","407","14","7","6","4","13","20","20","30","69","471","6","10","29.10.12"
"461927","115","Львівська область","Центр творчості дітей та юнацтва Галичини, хол, 1-й поверх, праве крило
вул.Вахнянина А., 29, м.Львів, 79017","1240","417","1235","11","812","11","823","","0","812","11","823","23","800","5","7","11","269","23","5","2","10","6","7","12","34","64","336","2","7","29.10.12"
"461928","115","Львівська область","Центр творчості дітей та юнацтва Галичини, хол, 1-й поверх, ліве крило
вул.Вахнянина А., 29, м.Львів, 79017","1448","536","1445","5","907","5","912","","0","907","5","912","22","890","3","10","8","300","30","5","4","10","10","11","8","55","62","366","0","8","29.10.12"
"461931","115","Львівська область","школа №6, спортзал, 1-й поверх
вул.Зелена, 22, м.Львів, 79005","1784","685","1777","8","1092","7","1099","","0","1092","7","1099","27","1072","2","4","15","309","50","15","7","4","14","20","18","92","63","433","3","23","30.10.12"
"461935","115","Львівська область","школа-інтернат, їдальня, 1-й поверх
вул.Короленка В., 1, м.Львів, 79008","1756","633","1748","6","1117","6","1123","","0","1117","6","1123","24","1099","8","6","15","382","40","8","6","10","23","10","8","59","68","431","3","22","29.10.12"
"461936","115","Львівська область","професійний ліцей, фойє, 1-й поверх
вул.Кривоноса М., 18, м.Львів, 79008","1012","409","1004","2","601","2","603","","0","601","2","603","21","582","3","3","8","207","4","3","2","4","5","6","13","7","38","259","3","17","30.10.12"
"461940","115","Львівська область","школа-інтернат, їдальня, 1-й поверх
вул.Личаківська, 35, м.Львів, 79010","1812","697","1794","11","1104","11","1115","","0","1104","11","1115","39","1076","5","9","10","357","41","5","3","7","13","23","15","62","96","414","2","14","29.10.12"
"461941","115","Львівська область","школа №37, спортзал, 1-й поверх
вул.Личаківська, 38, м.Львів, 79010","2248","861","2267","13","1378","9","1387","","0","1378","9","1387","48","1339","9","6","16","452","34","14","16","5","22","22","11","86","81","546","6","13","29.10.12"
"461942","115","Львівська область","будинок дитячої творчості, актовий зал, 2-й поверх
вул.Личаківська, 99, м.Львів, 79014","2236","778","2213","18","1444","14","1458","","0","0","0","1458","42","1416","6","10","24","449","50","4","4","5","16","11","7","73","83","657","5","12","03.11.12"
"461947","115","Львівська область","Львівський поліграфічний коледж Української академії друкарства, хол, 1-й поверх
пл.Митна, 1, м.Львів, 79008","1872","697","1852","19","1162","13","1175","","0","1162","13","1175","39","1136","6","9","21","356","61","6","10","5","12","21","22","66","79","434","6","22","31.10.12"
"461948","115","Львівська область","гуртожиток №4 ЛМНУ ім.Д.Галицького, актовий зал, 1-й поверх
вул.Мечникова І., 10, м.Львів, 79014","1792","646","1806","6","1140","6","1146","","0","1140","6","1146","27","1119","13","9","20","386","26","14","4","16","18","10","14","43","66","452","8","20","29.10.12"
"461949","115","Львівська область","школа №16, хол, 1-й поверх
вул.Некрасова М., 59, м.Львів, 79014","2480","864","2475","9","1609","7","1616","","3","1606","7","1613","50","1563","5","4","18","466","38","4","4","7","20","24","18","64","109","761","7","14","29.10.12"
"461950","115","Львівська область","Львівський палац естетичного виховання учнівської молоді, хол, 2-й поверх
пл.Петрушевича Є., 2, м.Львів, 79005","1600","606","1576","7","987","7","994","","0","987","7","994","26","968","4","3","7","288","36","3","10","7","15","42","8","66","72","383","7","17","29.10.12"
"461954","115","Львівська область","гуртожиток №8 ЛНМУ ім.Д.Галицького, їдальня, 2-й повех
вул.Пасічна, 91, м.Львів, 79032","1884","644","1883","8","1232","8","1240","","0","1232","8","1240","40","1200","2","6","13","384","25","2","3","3","2","6","23","44","130","541","6","10","29.10.12"
"461955","115","Львівська область","Львівський будівельний технікум, актовий зал, 1-й поверх
вул.Пекарська, 1А, м.Львів, 79008","1752","646","1740","6","1102","4","1106","","0","1102","4","1106","36","1070","3","7","22","390","38","7","5","9","13","23","17","69","73","366","8","20","29.10.12"
"461956","115","Львівська область","ЛНУ ветеринарної медицини та біотехнології ім.С.З.Гжицького, хол, 1-й поверх, праве крило
вул.Пекарська, 50, м.Львів, 79010","1496","646","1525","2","848","2","850","","0","848","2","850","15","835","9","8","6","295","29","7","5","5","8","14","66","43","40","288","3","9","28.10.12"
"461957","115","Львівська область","ЛНУ ветеринарної медицини та біотехнології ім.С.З.Гжицького, хол, 1-й поверх, ліве крило
вул.Пекарська, 50, м.Львів, 79010","1148","428","1148","9","712","8","720","","0","711","8","719","19","700","4","3","11","220","47","4","6","7","9","10","12","68","39","246","1","13","29.10.12"
"461958","115","Львівська область","Львівський професійний ліцей побутового обслуговування, актовий зал, 2-й поверх
вул.Сліпого Й., 33, м.Львів, 79017","1756","665","1749","8","1083","8","1091","","0","1083","8","1091","32","1059","2","3","6","310","36","6","6","6","9","29","9","70","73","476","4","14","29.10.12"
"461959","115","Львівська область","Львівська комерційна академія, читальний зал, 1-й поверх
вул.Туган-Барановського М., 10, м.Львів, 79005","1280","471","1269","11","800","9","809","","0","800","9","809","24","785","4","10","16","260","51","4","5","6","8","15","15","51","50","273","2","15","29.10.12"
"461962","115","Львівська область","школа №82, хол, 1-й поверх, праве крило
вул.Шафарика П., 13, м.Львів, 79032","2300","800","2291","2","1498","2","1500","","0","1498","2","1500","32","1468","2","10","9","476","28","12","4","6","13","9","26","66","153","636","5","13","29.10.12"
"461963","115","Львівська область","школа №82, хол, 1-й поверх, ліве крило
вул.Шафарика П., 13, м.Львів, 79032","2252","737","2229","6","1509","6","1515","","0","1509","6","1515","35","1480","6","8","10","558","31","9","8","7","16","14","35","48","108","604","5","13","29.10.12"
"461964","115","Львівська область","школа №47, кабінет молодших класів, 1-й поверх
вул.Галицька, 54, м.Львів-Винники, 79495","1392","478","1395","14","900","14","914","","0","900","14","914","19","895","2","2","3","257","2","1","0","3","12","5","14","18","120","452","1","3","29.10.12"
"461965","115","Львівська область","будинок дитячої творчості, актовий зал, 1-й поверх
вул.І.Франка, 1, м.Львів-Винники, 79495","1836","720","1845","5","1113","3","1116","","0","1113","3","1116","35","1081","7","6","6","363","26","4","3","1","9","12","42","38","137","414","2","11","29.10.12"
"461966","115","Львівська область","дитяча школа мистецтв, актовий зал, 1-й поверх
вул.Ринок, 4, м.Львів-Винники, 79495","1796","664","1791","5","1127","5","1132","","0","1127","5","1132","24","1108","1","3","7","254","1","2","3","2","2","8","30","18","114","657","1","5","29.10.12"
"461967","115","Львівська область","школа №29, хол, 1-й поверх
вул.Сухомлинського, 6, м.Львів-Винники, 79495","2512","1001","2503","18","1494","17","1511","","0","1494","17","1511","29","1482","3","6","17","488","36","5","4","4","16","14","58","50","159","608","4","10","29.10.12"
"461968","115","Львівська область","КЦ ""Дозвілля"", спортзал, 1-й поверх
вул.Шевченка, 1(3), м.Львів-Винники, 79495","2364","878","2334","15","1472","14","1486","","0","1472","14","1486","30","1456","4","8","9","410","8","6","1","8","11","12","23","8","137","790","4","17","29.10.12"
"461969","115","Львівська область","Народний дім, актовий зал, 1-й поверх
вул.Шевченка, 5, м.Львів-Винники, 79495","1292","406","1284","6","880","6","886","","0","880","6","886","17","869","0","0","6","262","0","3","0","1","2","5","24","14","68","478","1","5","30.10.12"
"461970","115","Львівська область","лікарня""Охмадит"", хол, 2-й поверх
вул.Лисенка, 31, м.Львів, 79008","308","285","24","0","23","0","23","","0","23","0","23","1","22","1","0","0","4","1","1","0","1","2","0","1","1","4","4","1","1","29.10.12"
"461971","115","Львівська область","пологовий будинок №1, хол, 2-й поверх
вул.Мечникова І., 8, м.Львів, 79014","184","104","107","0","80","0","80","","0","80","0","80","1","79","2","0","2","31","1","1","1","0","1","0","1","3","8","23","0","5","29.10.12"
"461972","115","Львівська область","клінічна лікарня, фойє, 2-й поверх
вул.Некрасова М., 6, м.Львів, 79010","364","67","314","230","73","224","297","","0","73","224","297","9","288","4","7","1","79","2","12","1","4","8","2","2","10","24","127","2","3","29.10.12"
"461973","115","Львівська область","обласна інфекційна лікарня, фойє, 3-й поверх
вул.Пекарська, 54, м.Львів, 79008","344","318","26","12","14","12","26","","0","14","12","26","0","26","0","1","1","12","0","0","0","0","0","0","1","0","3","8","0","0","29.10.12"
"461974","115","Львівська область","клінічна лікарня, хол, 2-й поверх
вул.Чернігівська, 7, м.Львів, 79010","732","579","165","103","60","93","153","","0","60","93","153","6","147","1","4","4","51","3","2","2","2","4","1","4","1","15","48","2","3","29.10.12"
"461975","115","Львівська область","госпіталь інвалідів війни, фойє, 1-й поверх
вул.Івасюка, 31, м.Львів-Винники, 79495","816","587","238","84","152","77","229","","0","152","77","229","10","219","2","0","1","49","7","4","4","5","6","1","6","9","25","95","2","3","29.10.12"
"461976","115","Львівська область","школа №69, коридор, 2-й поверх
вул.Запорізька, 20, м.Львів, Львівська обл., 79034","1820","622","1818","22","1181","17","1198","","0","0","0","1196","16","1180","5","5","10","327","50","5","4","4","8","17","16","76","121","511","20","1","01.11.12"
