"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баран
Олег
Володимирович","Бебик
Валерій
Михайлович","Василишин
Іван
Йосипович","Васюник
Ігор
Васильович","Войцеховський
Олег
Ігорович","Волошина
Оксана
Петрівна","Данилків
Мирослав
Іванович","Куспись
Світлана
Анатоліївна","Лінський
Микола
Васильович","Оксенчук
Надія
Володимирівна","Садовий
Віталій
Степанович","Соскін
Олег
Ігорович","Стецьків
Тарас
Степанович","Ткаченко
Юрій
Миколайович","Юринець
Оксана
Василівна","Дата підписання протоколу"
"000001","117","Львівська область","
вул. Городоцька, буд. 20, м. Львів","1608","136","1485","159","1315","157","1472","","0","1315","157","1472","319","1153","528","23","27","104","23","60","27","27","13","21","86","23","60","23","108","29.10.12"
"461848","117","Львівська область","Національний університет ""Львівська політехніка"", ауд.215, 2-й поверх
вул.Карпінського, 2/4, м.Львів, 79013","2224","875","2202","38","1315","34","1349","","0","1315","34","1349","29","1320","134","5","49","321","7","21","26","12","1","12","24","59","346","58","245","29.10.12"
"461849","117","Львівська область","Національний університет ""Львівська політехніка"", фойє
вул.Митрополита Андрея, 3, м.Львів, 79016","2196","890","2172","27","1286","20","1306","","0","1286","20","1306","34","1272","121","5","33","320","9","10","27","10","2","12","40","44","321","61","257","29.10.12"
"461850","117","Львівська область","школа №52, актова зала
вул.Гоголя М., 17, м.Львів, 79007","1448","545","1443","17","892","11","903","","0","892","11","903","36","867","119","4","22","198","6","11","14","11","2","7","23","39","189","57","165","29.10.12"
"461851","117","Львівська область","Львівський державний університет фізичної культури, актова зала
вул.Костюшка Т., 11, м.Львів, 79000","1852","718","1827","14","1124","10","1134","","0","1124","10","1134","21","1113","118","6","29","276","6","17","22","9","1","10","21","74","262","66","196","29.10.12"
"461852","117","Львівська область","Львівський інститут банківської справи УБС НБУ, актова зала
вул.Січових Стрільців, 11, м.Львів, 79000","1676","655","1654","14","1011","10","1021","","0","1011","10","1021","30","991","116","5","32","263","10","9","18","10","0","7","26","46","206","61","182","29.10.12"
"461853","117","Львівська область","школа №62, каб.218
вул.Театральна, 15, м.Львів, 79007","2032","860","2021","13","1159","13","1172","","0","1159","13","1172","37","1135","103","4","39","294","6","15","33","11","1","6","38","55","272","45","213","29.10.12"
"461854","117","Львівська область","Львівський технологічний ліцей, конференційна зала
вул.Таманська, 11, м.Львів, 79007","2288","902","2273","16","1373","13","1386","","0","1373","13","1386","49","1337","118","11","38","367","6","15","25","15","1","15","48","58","347","44","229","29.10.12"
"461855","117","Львівська область","школа №53, спортивна зала
просп.Чорновола В., 6, м.Львів, 79058","2308","965","2291","10","1335","8","1343","","0","1335","8","1343","38","1305","81","3","39","311","2","18","31","12","1","13","53","55","360","47","279","29.10.12"
"461856","117","Львівська область","школа №87, каб.3А
вул.Замарстинівська, 11, м.Львів, 79019","2476","1036","2455","14","1427","13","1440","","0","1427","13","1440","55","1385","100","5","35","390","8","16","34","18","2","14","40","62","309","62","290","29.10.12"
"461857","117","Львівська область","НВК ""Школа-гімназія ""Галицька"", каб.9
вул.Замкова, 4, м.Львів, 79019","2412","979","2396","18","1418","15","1433","","0","1418","15","1433","46","1387","79","7","28","355","7","22","28","15","3","11","44","88","404","45","251","29.10.12"
"461858","117","Львівська область","Львівський ліцей харчових технологій, спортивна зала
пл.Данила Галицького, 8, м.Львів, 79008","1856","684","1835","23","1155","17","1172","","0","1155","17","1172","38","1134","90","12","38","297","6","17","28","14","0","14","35","42","256","42","243","29.10.12"
"461859","117","Львівська область","ЛКП ""Старий Львів"", актова зала
вул.Сербська, 15, м.Львів, 79008","1236","473","1227","8","757","6","763","","0","757","6","763","24","739","49","4","23","210","5","9","20","5","1","11","15","27","211","19","130","29.10.12"
"461860","117","Львівська область","Львівський національний університет імені Івана Франка, хоровий клас
вул.Валова, 18, м.Львів, 79008","1624","639","1606","21","970","15","985","","0","970","15","985","26","959","71","6","21","271","5","6","10","10","1","11","22","36","246","45","198","29.10.12"
"461861","117","Львівська область","Львівський палац мистецтв, фойє, 1-й поверх
вул.Коперника М., 17, м.Львів, 79000","1772","646","1767","11","1116","10","1126","","0","1116","10","1126","30","1096","118","3","39","260","3","13","38","12","2","3","28","41","275","47","214","29.10.12"
"461862","117","Львівська область","школа №9, фойє, 2-й поверх
вул.Коперника М., 40, м.Львів, 79000","1796","626","1796","10","1160","10","1170","","0","1160","10","1170","33","1137","141","4","20","279","7","16","19","4","0","6","33","44","288","82","194","29.10.12"
"461863","117","Львівська область","школа №3, спортивна зала
вул.Бандери С., 11, м.Львів, 79013","2180","806","2150","20","1358","16","1374","","0","1358","16","1374","44","1330","231","4","35","288","3","6","18","17","1","14","25","28","304","111","245","29.10.12"
"461864","117","Львівська область","школа №35, фойє
вул.Шухевича В., 2, м.Львів, 79005","1800","716","1784","14","1075","9","1084","","0","1075","9","1084","35","1049","108","6","27","317","2","15","16","10","3","12","28","48","206","76","175","29.10.12"
"461865","117","Львівська область","Львівський державний університет фізичної культури, спортивна зала 2
вул.Дудаєва Дж., 8, м.Львів, 79000","1904","674","1888","17","1218","12","1230","","0","1218","12","1230","31","1199","133","5","42","304","6","15","12","7","2","16","37","49","312","67","192","29.10.12"
"461866","117","Львівська область","Львівська лінгвістична гімназія, фойє, 2-й поверх
вул.Кирила і Мефодія, 17А, м.Львів, 79005","2172","804","2148","37","1344","24","1368","","0","1344","24","1368","38","1330","144","7","33","331","1","13","34","20","2","13","32","37","368","73","222","29.10.12"
