"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Аксьонова
Надія
Вікторівна","Андрєєва
Яна
Сергіївна","Белов
Дмитро
Юрійович","Гордієнко
Сергій
Володимирович","Горенкін
Валерій
Анатолійович","Золотарьов
Павло
Олександрович","Калюбін
Юрій
Олексійович","Кіскін
Степан
Степанович","Куценко
Сергій
Володимирович","Лось
Анатолій
Миколайович","Миримський
Лев
Юлійович","Міхайлутіна
Ніна
Петрівна","Новіков
Віталій
Сергійович","Петров
Анатолій
Іванович","Пруденко
Юрій
Валентинович","Сидорова
Абіба
Іскандарівна","Спірідонов
Олександр
Юрійович","Судраб
Андрій
Володимирович","Щербакова
Ангеліна
Миколаївна","Януцик
Олексій
Юрійович","Дата підписання протоколу"
"010583","2","Автономна Республіка Крим","ресторан, обідня зала
вул.Ялтинська, 88А, с.Лозове, Сімферопольський р-н, Автономна Республіка Крим, 97576","1308","668","1303","16","626","14","640","","0","626","14","640","38","602","21","11","4","14","0","2","24","113","6","7","315","2","2","9","1","41","16","4","7","3","28.10.12"
"010584","2","Автономна Республіка Крим","ресторан, обідня зала
вул.Гаспринського, 22, с.Андрусове, Сімферопольський р-н, Автономна Республіка Крим, 97576","424","194","419","4","226","4","230","","0","226","4","230","4","226","0","0","0","0","0","0","7","3","2","0","24","0","0","1","1","187","0","0","0","1","29.10.12"
"010585","2","Автономна Республіка Крим","клуб, актова зала
вул.Жовтнева, 9, с.Піонерське, Сімферопольський р-н, Автономна Республіка Крим, 97577","1024","517","1010","11","497","10","507","","0","497","10","507","22","485","5","2","5","4","3","2","24","126","7","9","210","2","1","6","3","55","8","2","6","5","29.10.12"
"010586","2","Автономна Республіка Крим","клуб, актова зала
вул.Алуштинська, 60А/10, с.Піонерське, Сімферопольський р-н, Автономна Республіка Крим, 97577","1772","1055","1750","24","694","23","717","","0","694","23","717","38","679","17","9","6","4","2","4","17","143","2","10","328","2","1","8","9","97","11","2","2","5","29.10.12"
"010587","2","Автономна Республіка Крим","магазин, торговельна зала
вул.Безіменна, 22, с.Піонерське, Сімферопольський р-н, Автономна Республіка Крим, 97577","1812","1171","1801","1","640","1","641","","0","640","1","641","32","609","5","1","0","2","1","0","26","4","4","5","104","0","2","2","4","442","2","2","0","3","29.10.12"
"010588","2","Автономна Республіка Крим","будинок культури, актова зала
вул.40 років Перемоги, 8, с.Добре, Сімферопольський р-н, Автономна Республіка Крим, 97571","2296","1256","2274","50","995","45","1040","","0","995","45","1040","57","983","23","9","8","9","7","4","34","118","9","6","351","7","2","7","6","350","12","2","7","12","30.10.12"
"010589","2","Автономна Республіка Крим","клуб, актова зала
вул.Паркова, 69Б, с.Краснолісся, Сімферопольський р-н, Автономна Республіка Крим, 97579","776","334","763","32","414","28","442","","0","414","28","442","16","426","3","3","3","0","1","2","9","95","2","9","228","1","2","3","0","50","3","3","4","5","29.10.12"
"010590","2","Автономна Республіка Крим","клуб, актова зала
вул.Мраморна, 9Б, с.Зарічне, Сімферопольський р-н, Автономна Республіка Крим, 97571","1656","895","1650","13","751","10","761","","0","751","10","761","47","714","14","11","5","2","4","1","30","103","4","16","333","4","4","10","8","139","8","5","3","10","29.10.12"
"010591","2","Автономна Республіка Крим","будинок культури, актова зала
вул.Жовтнева, 45А, с.Перевальне, Сімферопольський р-н, Автономна Республіка Крим, 97578","1996","658","2184","10","1328","10","1338","","0","1328","10","1338","77","1261","44","50","55","26","13","29","89","143","60","34","486","3","17","23","15","80","34","9","18","33","28.10.12"
"010592","2","Автономна Республіка Крим","клуб, актова зала
вул.Дачна, 105, с.Перевальне, Сімферопольський р-н, Автономна Республіка Крим, 97578","1156","591","1152","15","550","15","565","","0","550","15","565","29","536","7","5","2","6","3","4","19","85","9","9","280","2","2","3","2","80","6","2","6","4","28.10.12"
"010593","2","Автономна Республіка Крим","школа, їдальня
вул.Комсомольська, 87, с.Донське, Сімферопольський р-н, Автономна Республіка Крим, 97523","1724","977","1719","44","705","42","747","","0","705","42","747","40","707","9","7","5","13","3","10","19","171","6","2","398","2","4","6","2","32","5","5","2","6","29.10.12"
"010594","2","Автономна Республіка Крим","школа, спортивна зала
вул.Степна, 65, с.Кленівка, Сімферопольський р-н, Автономна Республіка Крим, 97525","760","353","748","43","367","40","407","","0","367","40","407","10","397","3","6","3","3","1","2","7","78","3","4","255","1","2","1","1","16","4","2","0","5","29.10.12"
"010595","2","Автономна Республіка Крим","дитячий садок, спортивна зала
вул.Підгірна, 1, с.Верхньокурганне, Сімферопольський р-н, Автономна Республіка Крим, 97524","828","419","820","42","371","38","409","","0","371","38","409","29","380","3","1","2","1","2","1","7","44","3","2","276","0","0","1","0","29","3","1","1","3","29.10.12"
"010601","2","Автономна Республіка Крим","будинок культури, фойє
вул.Шкільна, 1А, с.Мазанка, Сімферопольський р-н, Автономна Республіка Крим, 97530","2104","1096","2082","40","968","40","1008","","0","968","40","1008","62","946","8","10","8","5","0","5","32","214","6","10","516","3","1","4","2","96","14","3","3","6","29.10.12"
"010602","2","Автономна Республіка Крим","клуб, фойє
вул.Фонтанна, 30А, с.Краснівка, Сімферопольський р-н, Автономна Республіка Крим, 97531","496","233","503","9","254","9","263","","0","254","9","263","9","254","4","2","4","2","0","0","6","33","1","1","171","0","4","5","0","14","3","1","0","3","28.10.12"
"010603","2","Автономна Республіка Крим","їдальня ПАТ ""Ягідне"", обідня зала
вул.Ягідна, 1, с.Лісносілля, Сімферопольський р-н, Автономна Республіка Крим, 97532","536","270","529","2","264","2","266","","0","264","2","266","12","254","6","2","3","1","0","3","2","88","0","2","123","0","1","1","1","11","1","3","1","5","29.10.12"
"010631","2","Автономна Республіка Крим","будинок культури, фойє
вул.Зелена, 1В, с.Трудове, Сімферопольський р-н, Автономна Республіка Крим, 97533","1776","929","1757","39","813","34","847","","0","813","34","847","59","788","15","9","6","13","5","7","30","180","10","14","414","5","6","6","4","27","8","6","10","13","29.10.12"
"010632","2","Автономна Республіка Крим","культурний центр ""Легенда"", банкетна зала
пров.Тинчлик, 1, с.Акрополіс, Сімферопольський р-н, Автономна Республіка Крим, 97533","468","250","478","0","218","0","218","","0","218","0","218","15","203","3","0","4","1","0","2","5","20","0","0","76","0","0","1","0","82","6","0","1","2","29.10.12"
