"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гамма
Сергій
Михайлович","Горожанкіна
Валерія
Валеріївна","Желтенко
Іван
Миколайович","Кулганик
Олександр
Анатолійович","Лобарев
Сергій
Вікторович","Луцик
Олександр
Петрович","Лютікова
Валентина
Іванівна","Максименко
Євген
Володимирович","Мінчев
Костянтин
Петрович","Муравленко
Павло
Борисович","Назаров
Юнус
Турдалієвич","Подорожний
Микола
Олександрович","Савченко
Ігор
Анатолійович","Сагайдак
Ілля
Вадимович","Стебловський
Микола
Михайлович","Турченко
Анатолій
Анатолійович","Халік
Мирослав
Олександрович","Хижняков
Володимир
Федорович","Дата підписання протоколу"
"000001","5","Автономна Республіка Крим","Ізолятор тимчасового тримання
вул.Леніна, 8, м.Керч, Автономна Республіка Крим, 98300","80","30","63","0","50","0","50","","0","50","0","50","6","44","2","3","1","2","1","3","13","2","1","0","0","1","2","7","2","3","1","0","29.10.12"
"010346","5","Автономна Республіка Крим","будинок культури, актова зала
вул.Южна, 34, с.Бєлінське, Ленінський р-н, Автономна Республіка Крим, 98223","424","156","422","43","229","39","268","","0","229","39","268","14","254","33","3","39","1","0","0","96","1","3","4","21","0","4","31","11","6","0","1","29.10.12"
"010347","5","Автономна Республіка Крим","сільська рада, актова зала
вул.Центральна, 16, с.Нововідрадне, Ленінський р-н, Автономна Республіка Крим, 98224","360","106","359","46","210","44","254","","0","210","44","254","15","239","12","4","36","4","2","4","100","2","2","2","15","3","8","27","13","2","0","3","29.10.12"
"010348","5","Автономна Республіка Крим","школа, фойє, 1-й поверх
вул.Центральна, 11, с.Войкове, Ленінський р-н, Автономна Республіка Крим, 98221","1452","870","1428","59","527","55","582","","0","527","55","582","40","542","1","2","82","1","1","9","199","4","1","1","45","3","2","128","41","9","5","8","29.10.12"
"010349","5","Автономна Республіка Крим","лікарська амбулаторія, коридор
вул.Логвинова, 102, с.Войкове, Ленінський р-н, Автономна Республіка Крим, 98221","1320","762","1290","55","506","52","558","","0","506","52","558","32","526","3","1","67","5","0","4","213","6","2","2","26","0","5","137","32","4","17","2","29.10.12"
"010350","5","Автономна Республіка Крим","фельдшерсько-акушерський пункт, коридор
вул.8 Березня, фельдшерсько-акушерський пункт, с.Бондаренкове, Ленінський р-н, Автономна Республіка Крим, 98222","472","215","476","33","224","33","257","","0","224","33","257","16","241","4","4","50","2","0","2","110","1","3","1","19","2","7","14","12","2","5","3","28.10.12"
"010351","5","Автономна Республіка Крим","фельдшерсько-акушерський пункт, коридор
вул.Набережна, фельдшерсько-акушерський пункт, с.Курортне, Ленінський р-н, Автономна Республіка Крим, 98221","84","41","82","11","33","10","43","","0","33","10","43","2","41","2","0","9","1","0","4","14","0","0","1","0","1","2","4","3","0","0","0","29.10.12"
"010352","5","Автономна Республіка Крим","будинок культури, актова зала
вул.Мічуріна, 42, с.Виноградне, Ленінський р-н, Автономна Республіка Крим, 98231","1004","496","995","48","464","44","508","","0","464","44","508","43","465","12","4","38","3","10","3","193","1","0","1","59","1","5","46","67","10","2","10","29.10.12"
"010353","5","Автономна Республіка Крим","будинок культури, хол, 1-й поверх
вул.Караханяна, 49, с.Глазівка, Ленінський р-н, Автономна Республіка Крим, 98220","836","382","834","19","437","17","454","","0","437","17","454","20","434","4","3","94","2","5","8","172","5","3","1","11","3","4","80","17","5","12","5","29.10.12"
"010354","5","Автономна Республіка Крим","сільський клуб, хол
вул.Жовтнева, сільський клуб, с.Осовини, Ленінський р-н, Автономна Республіка Крим, 98220","212","95","210","32","90","27","117","","0","90","27","117","11","106","1","1","11","1","1","2","61","1","0","0","1","0","3","14","9","0","0","0","29.10.12"
"010355","5","Автономна Республіка Крим","школа, їдальня, 1-й поверх
вул.Леніна, школа, с.Горностаївка, Ленінський р-н, Автономна Республіка Крим, 98241","1744","704","1732","79","965","75","1040","","0","965","75","1040","55","985","4","15","119","11","11","5","511","6","3","5","60","3","9","141","58","8","9","7","29.10.12"
"010356","5","Автономна Республіка Крим","школа, спортивна зала, 1-й поверх
вул.Коренкова, 3, с.Завітне, Ленінський р-н, Автономна Республіка Крим, 98245","1232","628","1295","165","472","132","604","","0","472","132","604","37","567","0","5","123","5","7","1","299","4","3","4","11","2","4","65","26","4","3","1","29.10.12"
"010358","5","Автономна Республіка Крим","будинок культури, фойє 2, 1-й поверх
вул.Шкільна, 36Б, с.Красногірка, Ленінський р-н, Автономна Республіка Крим, 98233","824","325","826","37","463","36","499","","0","463","36","499","20","479","2","3","35","5","7","5","289","2","2","5","31","1","5","52","21","6","6","2","28.10.12"
"010360","5","Автономна Республіка Крим","школа, коридор, 1-й поверх
вул.Шкільна, 1, с.Кірове, Ленінський р-н, Автономна Республіка Крим, 98234","780","354","773","43","385","41","426","","0","385","41","426","31","395","7","2","48","5","0","262","2","0","0","24","1","1","1","15","15","9","2","1","29.10.12"
"010361","5","Автономна Республіка Крим","адміністративна будівля, хол
вул.Леніна, 23, с.Вулканівка, Ленінський р-н, Автономна Республіка Крим, 98234","136","75","133","2","59","2","61","","0","59","2","61","3","58","1","1","8","1","2","1","21","0","0","0","4","0","1","13","3","2","0","0","29.10.12"
"010362","5","Автономна Республіка Крим","будинок культури, фойє, 1-й поверх
вул.Леніна, 13, с.Ленінське, Ленінський р-н, Автономна Республіка Крим, 98232","1412","673","1409","48","695","44","739","","0","695","44","739","48","691","9","10","41","2","10","5","473","2","1","5","34","2","1","71","7","6","3","9","29.10.12"
"010363","5","Автономна Республіка Крим","дитячий садок, фойє, 1-й поверх
вул.Виноградна, 23, с.Фонтан, Ленінський р-н, Автономна Республіка Крим, 98232","192","86","189","10","96","10","106","","0","96","10","106","5","101","0","0","22","2","0","1","53","0","0","0","7","1","0","12","3","0","0","0","29.10.12"
"010365","5","Автономна Республіка Крим","школа, фойє, 1-й поверх
вул.Побєди, 10, с.Марфівка, Ленінський р-н, Автономна Республіка Крим, 98244","848","407","848","32","413","28","441","","0","413","28","441","27","414","4","0","40","5","8","4","231","4","2","2","22","4","6","37","29","9","2","5","29.10.12"
"010366","5","Автономна Республіка Крим","школа, спортивна зала, 1-й поверх
вул.Шкільна, 1А, с.Мар’ївка, Ленінський р-н, Автономна Республіка Крим, 98246","612","235","623","21","358","19","377","","0","358","19","377","13","364","5","1","132","1","0","4","158","8","2","1","13","1","0","22","8","4","2","2","28.10.12"
