"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Білоусов
Віктор
Федорович","Булатецький
Микола
Іванович","Жуковська
Валентина
Борисівна","Кондратенко
Андрій
Олександрович","Майборода
Любов
Володимирівна","Отрешко
Сергій
Володимирович","Парамонов
Віктор
Володимирович","Трофімова
Світлана
Владиславівна","Дата підписання протоколу"
"000001","194","Черкаська область","
вул.Благовісна, 234, м.Черкаси, 18031","736","69","667","0","667","0","667","","31","667","0","667","31","636","10","39","524","14","15","9","17","8","28.10.12"
"710975","194","Черкаська область","школа №17, корпус 2, актова зала
вул.Хрещатик, 218, м.Черкаси, 18002","2424","967","2406","30","1435","22","1457","","0","1435","22","1457","25","1432","198","583","347","117","30","19","88","50","29.10.12"
"710976","194","Черкаська область","ПК ""Дружба народів"", фойє, 1-й поверх
бульв.Шевченка, 249, м.Черкаси, 18001","2288","953","2286","19","1320","15","1335","","0","1320","15","1335","23","1312","131","576","289","154","47","14","63","38","29.10.12"
"710977","194","Черкаська область","Палац дитячої та юнацької творчості, 1-й поверх
вул.Смілянська, 33, м.Черкаси, 18002","2312","979","2294","22","1313","20","1333","","0","1313","20","1333","26","1307","152","561","276","132","33","23","87","43","29.10.12"
"710978","194","Черкаська область","школа №12, мала спортивна зала
вул.Богдана Хмельницького, 118, м.Черкаси, 18015","2272","1024","2253","26","1226","22","1248","","0","1226","22","1248","36","1212","156","495","258","130","45","25","71","32","31.10.12"
"710979","194","Черкаська область","школа №12, велика спортивна зала
вул.Богдана Хмельницького, 118, м.Черкаси, 18015","2120","1046","2122","25","1050","24","1074","","0","1050","24","1074","17","1057","115","458","222","127","29","23","56","27","31.10.12"
"710980","194","Черкаська область","Фізико-математичний ліцей, актова зала
вул.Благовісна, 280, м.Черкаси, 18005","1968","956","1954","25","992","20","1012","","21","992","20","1012","21","991","93","418","217","105","37","17","70","34","29.10.12"
"710981","194","Черкаська область","Черкаська обласна філармонія, фойє 1 поверх
вул.Хрещатик, 196, м.Черкаси, 18002","2408","1093","2393","17","1299","16","1315","","0","1299","16","1315","30","1285","135","593","279","94","36","21","77","50","29.10.12"
"710982","194","Черкаська область","ПК ""Дружба народів"", фойє, ліва сторона, 1-й поверх
бульв.Шевченка, 249, м.Черкаси, 18001","2360","989","2349","17","1357","14","1371","","0","1356","14","1370","36","1334","105","618","379","115","33","17","49","18","29.10.12"
"710983","194","Черкаська область","Фізико-математичний ліцей, актова зала
вул.Благовісна, 280, м.Черкаси, 18005","2288","1094","2272","21","1179","15","1194","","0","1179","15","1194","20","1174","113","538","256","122","46","14","61","24","29.10.12"
"710984","194","Черкаська область","школа №4, рекреація, 2-й поверх
вул.Паризької Комуни, 16, м.Черкаси, 18005","1800","746","1795","11","1045","9","1054","","0","1044","9","1053","16","1037","72","454","244","144","31","18","44","30","29.10.12"
"710985","194","Черкаська область","школа №4, рекреація, 2-й поверх
вул.Паризької Комуни, 16, м.Черкаси, 18005","2120","903","2087","13","1206","11","1217","","0","1206","11","1217","38","1179","97","533","249","141","36","14","79","30","29.10.12"
"710986","194","Черкаська область","Будинок культури ім.Кулика, зал, 2-й поверх
вул.Енгельса, 54, м.Черкаси, 18005","2336","1101","2354","13","1225","10","1235","","0","1225","10","1235","30","1205","76","533","278","168","52","17","51","30","29.10.12"
"710987","194","Черкаська область","школа №21, їдальня
вул.Калініна, 82, м.Черкаси, 18016","2400","1251","2368","33","1131","18","1149","","0","1131","18","1149","25","1124","91","435","303","152","32","12","62","37","29.10.12"
"710988","194","Черкаська область","Черкаський державний технологічний університет, корпус 10, фойє, 1-й поверх
бульв.Шевченка, 333, м.Черкаси, 18016","1576","697","1548","15","866","13","879","","0","865","13","878","19","859","86","364","202","96","35","15","41","20","29.10.12"
"710989","194","Черкаська область","Черкаський державний технологічний університет, корпус 10, актова зала, 2-й поверх
бульв.Шевченка, 333, м.Черкаси, 18016","2216","999","2211","14","1205","12","1217","","0","1205","12","1217","30","1187","92","532","227","154","46","17","82","37","29.10.12"
"710990","194","Черкаська область","гуртожиток ВАТ ""Азот"", актова зала, 1-й поверх
вул.Калініна, 43, м.Черкаси, 18016","2392","964","2387","15","1417","11","1428","","0","1417","11","1428","30","1398","129","454","447","149","52","20","84","63","29.10.12"
"710991","194","Черкаська область","школа №21, рекреація, 1-й поверх
вул.Калініна, 82, м.Черкаси, 18016","2304","985","2285","26","1293","26","1319","","0","1293","26","1319","19","1300","95","545","361","123","40","18","62","56","29.10.12"
"710992","194","Черкаська область","гуртожиток ВАТ ""Азот"", актова зала, 1-й поверх
вул.Толстого, 17, м.Черкаси, 18016","2272","1055","2253","20","1198","19","1217","","0","1198","19","1217","29","1188","88","439","388","119","43","17","44","50","01.11.12"
"710993","194","Черкаська область","школа №21, рекреація, 1-й поверх
вул.Калініна, 82, м.Черкаси, 18016","2376","1183","2319","17","1180","13","1193","","0","1180","13","1193","22","1171","108","479","269","145","52","24","50","44","29.10.12"
"710994","194","Черкаська область","дитяча школа мистецтв, глядацька зала
пров.Гастелло, 3, м.Черкаси, 18016","2344","1098","2318","22","1238","8","1246","","0","1238","8","1246","26","1220","127","463","331","147","42","23","39","48","28.10.12"
"710995","194","Черкаська область","Черкаський державний технологічний університет, корпус 5, вестибюль, 1-й поверх
вул.Вербовецького, 28, м.Черкаси, 18016","1960","846","1937","12","1106","8","1114","","0","1106","8","1114","31","1083","75","418","272","139","70","21","54","34","31.10.12"
"710996","194","Черкаська область","школа №15, вестибюль, 1-й поверх
вул.Вербовецького, 77, м.Черкаси, 18006","1496","620","1496","4","874","2","876","","0","874","2","876","10","866","52","366","214","108","33","13","35","45","29.10.12"
"710997","194","Черкаська область","Черкаський державний бізнес-коледж, гуртожиток, актова зала
вул.Енгельса, 243/1, м.Черкаси, 18028","2104","1325","2061","13","770","9","779","","0","770","9","779","19","760","60","306","210","90","23","13","35","23","29.10.12"
"710998","194","Черкаська область","школа №25, вестибюль, 1-й поверх
вул.Петровського, 206, м.Черкаси, 18030","2360","1464","2360","23","879","17","896","","0","879","17","896","38","858","78","323","233","109","21","20","35","39","31.10.12"
"710999","194","Черкаська область","школа №15, рекреація, 1-й поверх
вул.Вербовецького, 77, м.Черкаси, 18006","2200","845","2179","13","1344","11","1355","","0","1344","11","1355","29","1326","117","537","367","141","49","20","57","38","29.10.12"
"711000","194","Черкаська область","Черкаський державний технологічний університет, корпус 4, вестибюль
бульв.Шевченка, 460, м.Черкаси, 18016","1848","794","1833","7","1047","7","1054","","0","1047","7","1054","31","1023","92","427","233","148","35","17","33","38","30.10.12"
"711001","194","Черкаська область","гімназія №9, вестибюль, 1-й поверх
вул.Горького, 52, м.Черкаси, 18022","2240","1003","2243","37","1206","31","1237","","0","1206","31","1237","39","1198","114","520","258","147","64","8","47","40","29.10.12"
"711002","194","Черкаська область","школа №5, коридор, 1-й поверх
вул.Різдвяна, 60, м.Черкаси, 18005","2168","899","2161","18","1255","14","1269","","0","1255","14","1269","27","1241","101","533","317","135","50","18","39","48","31.10.12"
"711003","194","Черкаська область","Черкаський державний технологічний університет, корпус 7, спортивна зала
вул.Добровольського, 5, м.Черкаси, 18016","1976","830","1970","9","1140","6","1146","","0","1140","6","1146","9","1137","78","476","342","128","32","10","30","41","29.10.12"
"711004","194","Черкаська область","Черкаський державний технологічний університет, учбове приміщення, вестибюль
бульв.Шевченка, 460, м.Черкаси, 18016","2080","1024","2078","7","1050","6","1056","","1","1050","6","1056","23","1032","73","365","334","145","26","13","51","25","28.10.12"
"711005","194","Черкаська область","школа №22, вестибюль, 1-й поверх
вул.Вербовецького, 108, м.Черкаси, 18020","2368","1083","2350","8","1280","5","1285","","0","1280","5","1285","48","1237","90","567","278","132","54","14","69","33","29.10.12"
"711006","194","Черкаська область","школа №22, вестибюль, 1-й поверх
вул.Вербовецького, 108, м.Черкаси, 18020","2416","1213","2402","29","1178","25","1203","","0","1178","25","1203","21","1182","102","491","257","152","29","14","97","40","29.10.12"
"711007","194","Черкаська область","школа №22, рекреація, початкова школа
вул.Вербовецького, 108, м.Черкаси, 18020","2368","1106","2337","24","1241","21","1262","","0","1241","21","1262","33","1229","148","508","256","164","34","18","65","36","29.10.12"
"711008","194","Черкаська область","школа №13, спортивна зала
вул.Ватутіна, 146, м.Черкаси, 18030","2408","1230","2395","9","1171","7","1178","","0","1171","7","1178","19","1158","96","440","323","147","32","15","57","48","01.11.12"
