"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабурін
Олексій
Васильович","Бережний
Андрій
Вікторович","Дунський
Леонід
Миколайович","Зубков
Петро
Петрович","Мацко
Костянтин
Євгенович","Мітасов
Микола
Іванович","Острянський
Віктор
Іванович","Сабашук
Петро
Павлович","Сухай
Юрій
Борисович","Сухий
Ярослав
Михайлович","Тіунов
Сергій
Миколайович","Дата підписання протоколу"
"000001","74","Запорізька область","69002, м. Запоріжжя, вул. Червоногвардійська, 36
69002, м. Запоріжжя, вул. Червоногвардійська, 36","978","137","843","0","841","0","841","","0","841","0","841","99","742","24","52","11","23","26","31","15","29","55","443","33","29.10.12"
"230811","74","Запорізька область","Запорізький національний університет, корпус №8, головне фойє
вул.Гоголя, 118, м.Запоріжжя, 69095","2430","960","2412","44","1433","37","1470","","0","1433","37","1470","53","1417","296","213","6","47","12","138","25","239","50","369","22","30.10.12"
"230814","74","Запорізька область","школа №1, фойє
вул.Героїв Сталінграду, 11, м.Запоріжжя, 69095","2196","757","2195","70","1379","60","1439","","0","1379","60","1439","66","1373","294","166","8","44","13","91","22","358","32","329","16","29.10.12"
"230820","74","Запорізька область","школа №1, фойє
вул.Героїв Сталінграду, 11, м.Запоріжжя, 69095","2256","873","2252","43","1347","36","1383","","0","1347","36","1383","47","1336","289","189","6","53","15","100","36","271","33","315","29","29.10.12"
"230821","74","Запорізька область","гімназія №2, фойє
вул.Героїв Сталінграду, 36, м.Запоріжжя, 69002","2430","996","2416","22","1415","19","1434","","0","1415","19","1434","45","1389","318","228","6","29","11","124","45","269","30","321","8","29.10.12"
"230822","74","Запорізька область","школа №3, актова зала
вул.Грязнова, 55, м.Запоріжжя, 69002","2226","962","2193","44","1234","30","1264","","0","1234","30","1264","48","1216","277","193","4","25","12","94","28","240","36","298","9","29.10.12"
"230823","74","Запорізька область","Запорізький національний університет, корпус №8, фойє
вул.Гоголя, 118, м.Запоріжжя, 69095","2340","951","2332","20","1374","15","1389","","0","1374","15","1389","54","1335","305","189","6","39","17","124","35","305","26","270","19","29.10.12"
"230824","74","Запорізька область","Класичний приватний університет, фойє
вул.Жуковського, 70Б, м.Запоріжжя, 69002","2310","1145","2291","37","1134","31","1165","","0","1134","31","1165","37","1128","214","129","11","38","21","99","21","239","28","316","12","29.10.12"
"230825","74","Запорізька область","Запорізький національний університет, корпус №5, фойє
просп.Леніна, 74, м.Запоріжжя, 69095","2472","1029","2470","44","1405","38","1443","","0","1405","38","1443","46","1397","281","209","6","61","18","107","32","318","38","313","14","29.10.12"
"230826","74","Запорізька область","гімназія №2, фойє
вул.Героїв Сталінграду, 36, м.Запоріжжя, 69002","2214","844","2207","52","1328","42","1370","","0","1328","42","1370","38","1332","308","202","5","39","16","90","22","292","40","295","23","29.10.12"
"230827","74","Запорізька область","Запорізький центр професійно-технічної освіти водного транспорту, спортивний зал
вул.Глісерна, 24А, м.Запоріжжя, 69063","2382","1184","2366","25","1179","19","1198","","0","1179","19","1198","24","1174","218","121","5","26","16","79","29","366","27","272","15","29.10.12"
"230828","74","Запорізька область","школа №5, спортивний зал
вул.Тургенєва, 33, м.Запоріжжя, 69063","2472","1093","2458","38","1341","38","1379","","0","1341","38","1379","36","1343","293","171","9","72","20","102","31","279","36","321","9","29.10.12"
"230829","74","Запорізька область","Запорізький національний університет, корпус №2, фойє
вул.Жуковського, 66А, м.Запоріжжя, 69063","2430","1288","2448","11","1133","9","1142","","0","1133","9","1142","48","1094","196","170","9","44","22","214","20","162","30","217","10","29.10.12"
"230830","74","Запорізька область","школа №5, спортивний зал
вул.Тургенєва, 33, м.Запоріжжя, 69063","2454","1193","2468","33","1235","26","1261","","0","1235","26","1261","57","1204","187","166","6","55","14","153","28","249","33","296","17","29.10.12"
"230831","74","Запорізька область","гімназія №11, фойє
вул.Горького, 4, м.Запоріжжя, 69063","2424","1428","2416","22","979","17","996","","0","979","17","996","36","960","160","111","7","40","10","77","27","138","39","328","23","29.10.12"
"230832","74","Запорізька область","Запорізький професійний торгово-кулінарний ліцей, к.2
вул.Ілліча, 45, м.Запоріжжя, 69063","2364","1110","2353","46","1214","40","1254","","0","1214","40","1254","40","1214","263","167","10","55","10","101","13","226","40","308","21","29.10.12"
"230833","74","Запорізька область","Запорізький гарнізонний військовий госпіталь, конференц-зал
вул.Горького, 2, м.Запоріжжя, 69063","78","63","15","0","15","0","15","","0","15","0","15","0","15","3","0","0","0","1","0","0","2","1","8","0","29.10.12"
"230834","74","Запорізька область","навчально-науковий медичний центр ""Університетська клініка"", фойє
вул.Кірова, 83, м.Запоріжжя, 69063","324","310","16","0","14","0","14","","0","14","0","14","0","14","4","3","0","0","0","0","1","1","0","5","0","28.10.12"
"230835","74","Запорізька область","пологовий будинок №1, актова зала
вул.Артема, 27, м.Запоріжжя, 69063","102","65","38","0","37","0","37","","0","37","0","37","0","37","4","5","0","2","0","4","1","10","0","11","0","29.10.12"
"230836","74","Запорізька область","Запорізький обласний шкірно-венерологічний клінічний диспансер, актова зала
вул.Кірова, 67, м.Запоріжжя, 69063","228","207","21","0","21","0","21","","0","21","0","21","1","20","3","1","0","0","0","1","2","1","3","9","0","29.10.12"
"230862","74","Запорізька область","школа №17, гімнастичний зал
вул.Енгельса, 20, м.Запоріжжя, 69027","1632","1001","1623","7","627","4","631","","0","627","4","631","31","600","112","63","7","9","7","29","37","133","21","179","3","29.10.12"
"230863","74","Запорізька область","школа №17, кабінет математики 2
вул.Енгельса, 20, м.Запоріжжя, 69027","1596","998","1578","13","589","9","598","","0","589","9","598","28","570","91","103","5","6","8","30","24","157","23","119","4","29.10.12"
"230864","74","Запорізька область","школа №83, спортивний зал
вул.Барикадна, 2, м.Запоріжжя, 69040","2052","1179","2045","27","856","17","873","","0","856","17","873","27","846","181","115","8","15","9","56","43","148","20","245","6","29.10.12"
"230865","74","Запорізька область","школа №70, кабінет обслуговуючої праці 1А
вул.Снайперська, 1, м.Запоріжжя, 69027","2418","1453","2393","24","944","21","965","","0","944","21","965","56","909","160","148","4","9","13","68","31","204","29","231","12","29.10.12"
"230866","74","Запорізька область","навчально-виховний комплекс №88, коридор, 1-й поверх
вул.Музична, 2, м.Запоріжжя, 69083","1920","949","1889","22","950","21","971","","0","950","21","971","33","938","191","97","6","26","6","66","19","222","39","257","9","29.10.12"
"230867","74","Запорізька область","навчально-виховний комплекс №88, коридор, 2-й поверх
вул.Музична, 2, м.Запоріжжя, 69083","2292","1108","2189","19","1167","17","1184","","0","1167","17","1184","43","1141","232","94","10","38","11","64","26","311","43","298","14","29.10.12"
"230868","74","Запорізька область","школа №80, вестибюль, 1-й поверх
вул.Магара, 5А, м.Запоріжжя, 69059","2466","1094","2447","28","1351","21","1372","","0","1351","21","1372","39","1333","274","150","13","17","10","110","36","286","37","369","31","29.10.12"
"230869","74","Запорізька область","Запорізький професійний ліцей сервісу, каб.2
вул.Космічна, 129, м.Запоріжжя, 69050","2460","1501","2444","14","950","9","959","","0","950","9","959","30","929","214","104","1","21","17","59","61","158","32","252","10","29.10.12"
"230870","74","Запорізька область","школа №83, вестибюль, 1-й поверх
вул.Барикадна, 2, м.Запоріжжя, 69040","1740","1038","1731","17","688","14","702","","0","688","14","702","31","671","156","90","5","13","5","40","26","115","33","181","7","29.10.12"
"230871","74","Запорізька область","школа №70, методичний кабінет 6
вул.Снайперська, 1, м.Запоріжжя, 69027","2172","1166","2143","20","987","19","1006","","0","987","19","1006","43","963","201","137","5","19","12","75","26","186","41","240","21","29.10.12"
"230872","74","Запорізька область","школа №20, вестибюль, 1-й поверх
вул.Снайперська, 39, м.Запоріжжя, 69040","1824","1126","1798","6","692","6","698","","0","692","6","698","24","674","138","101","4","10","5","45","33","102","21","178","37","29.10.12"
"230873","74","Запорізька область","школа №20, вестибюль, 2-й поверх
вул.Снайперська, 39, м.Запоріжжя, 69040","1620","1052","1608","15","555","13","568","","0","555","13","568","19","549","112","88","5","15","5","29","42","112","14","113","14","29.10.12"
"230874","74","Запорізька область","школа №14, спортивний зал
вул.Калініна, 90, м.Запоріжжя, 69040","2370","1297","2355","25","1059","14","1073","","0","1059","14","1073","32","1041","182","138","6","13","10","72","41","220","37","296","26","29.10.12"
"230875","74","Запорізька область","навчально-виховний комплекс естетичного профілю №103, рекреація, 2-й поверх
вул.Новокузнецька, 18А, м.Запоріжжя, 69118","2310","1369","2295","27","920","21","941","","0","920","21","941","36","905","231","108","11","20","10","68","27","198","26","199","7","29.10.12"
"230876","74","Запорізька область","навчально-виховний комплекс №23, рекреація, ліворуч, 1-й поверх
вул.Парамонова, 6А, м.Запоріжжя, 69059","2256","1240","2249","24","997","19","1016","","0","997","19","1016","48","968","178","128","7","11","14","56","43","222","41","245","23","29.10.12"
"230877","74","Запорізька область","школа №38, Шевченківський зал
вул.Парамонова, 7А, м.Запоріжжя, 69059","2340","1226","2323","18","1099","15","1114","","0","1099","15","1114","27","1087","210","128","8","21","22","65","33","263","37","283","17","29.10.12"
"230878","74","Запорізька область","школа №80, шкільна їдальня
вул.Магара, 5А, м.Запоріжжя, 69059","2394","1093","2378","21","1282","19","1301","","0","1282","19","1301","60","1241","282","143","5","20","12","96","25","220","46","364","28","29.10.12"
"230879","74","Запорізька область","навчально-виховний комплекс №7, рекреація, ліворуч, 1-й поверх
вул.Північнокільцева, 21, м.Запоріжжя, 69104","2430","1147","2411","20","1268","15","1283","","0","1268","15","1283","55","1228","263","152","12","14","11","66","23","245","70","353","19","29.10.12"
"230880","74","Запорізька область","навчально-виховний комплекс №7, рекреація, праворуч, 1-й поверх
вул.Північнокільцева, 21, м.Запоріжжя, 69104","2412","1075","2396","27","1317","20","1337","","0","1317","20","1337","38","1299","290","125","5","27","13","76","59","253","53","379","19","29.10.12"
"230881","74","Запорізька область","школа №90, коридор, 1-й поверх
вул.Чумаченка, 13Б, м.Запоріжжя, 69104","2310","1076","2286","28","1212","22","1234","","0","1212","22","1234","50","1184","262","126","10","13","7","60","20","327","49","295","15","29.10.12"
"230882","74","Запорізька область","школа №90, вестибюль, 1-й поверх
вул.Чумаченка, 13Б, м.Запоріжжя, 69104","2370","1050","2348","23","1307","13","1320","","0","1307","13","1320","65","1255","294","189","5","23","12","88","30","285","51","266","12","29.10.12"
"230883","74","Запорізька область","навчально-виховний комплекс №23, рекреація, праворуч, 1-й поверх
вул.Парамонова, 6А, м.Запоріжжя, 69059","2460","1091","2440","36","1341","28","1369","","0","1341","28","1369","58","1311","290","161","8","13","16","96","34","248","63","363","19","29.10.12"
"230884","74","Запорізька область","гімназія №8, спортивний зал
вул.Малиновського, 14А, м.Запоріжжя, 69104","2364","970","2350","34","1365","29","1394","","0","1365","29","1394","61","1333","380","149","7","27","15","79","41","222","55","342","16","29.10.12"
"230885","74","Запорізька область","школа №84, вестибюль, 1-й поверх
вул.Північнокільцева, 16А, м.Запоріжжя, 69104","2190","971","2176","19","1205","14","1219","","0","1205","14","1219","38","1181","267","141","13","20","17","88","36","232","41","308","18","30.10.12"
"230886","74","Запорізька область","школа №84, вестибюль, 2-й поверх
вул.Північнокільцева, 16А, м.Запоріжжя, 69104","2136","1096","2114","12","1031","9","1040","","0","1031","9","1040","42","998","206","94","3","20","17","77","39","206","28","293","15","29.10.12"
"230887","74","Запорізька область","навчально-виховний комплекс №23, рекреація, праворуч, 2-й поверх
вул.Парамонова, 6А, м.Запоріжжя, 69059","2232","987","2203","27","1227","18","1245","","0","1227","18","1245","48","1197","332","138","4","22","15","76","43","206","32","315","14","29.10.12"
"230888","74","Запорізька область","школа №38, спортивний зал
вул.Парамонова, 7А, м.Запоріжжя, 69095","2244","913","2226","30","1305","26","1331","","0","1305","26","1331","51","1280","280","189","6","24","20","76","44","257","36","327","21","29.10.12"
"230889","74","Запорізька область","гімназія №8, спортивний зал
вул.Малиновського, 14А, м.Запоріжжя, 69104","2334","997","2313","24","1317","20","1337","","0","1317","20","1337","49","1288","298","185","8","19","13","90","58","238","42","323","14","29.10.12"
"230890","74","Запорізька область","школа №84, актовий зал
вул.Північнокільцева, 16А, м.Запоріжжя, 69104","2376","1020","2369","33","1328","28","1356","","0","1328","28","1356","47","1309","261","184","9","21","15","69","31","264","59","386","10","30.10.12"
"230891","74","Запорізька область","школа №38, Шевченківський зал
вул.Парамонова, 7А, м.Запоріжжя, 69059","2250","1101","2227","29","1125","24","1149","","0","1125","24","1149","35","1114","217","146","9","15","21","75","69","225","45","275","17","29.10.12"
"230892","74","Запорізька область","гімназія №8, рекреація, ліворуч, 1-й поверх
вул.Малиновського, 14А, м.Запоріжжя, 69104","2238","986","2217","26","1231","21","1252","","0","1231","20","1251","42","1209","209","159","7","23","11","82","95","240","44","324","15","29.10.12"
"230893","74","Запорізька область","гімназія №6, шкільна їдальня
вул.Олімпійська, 2, м.Запоріжжя, 69104","2280","877","2274","249","1187","216","1403","","0","1187","216","1403","46","1357","359","166","7","26","15","88","26","248","46","364","12","29.10.12"
"230894","74","Запорізька область","гімназія №6, спортивний зал
вул.Олімпійська, 2, м.Запоріжжя, 69104","2412","1029","2384","25","1368","15","1383","","0","1368","15","1383","50","1333","317","166","8","40","15","89","80","265","29","316","8","29.10.12"
"230895","74","Запорізька область","гімназія №6, спортивний зал
вул.Олімпійська, 2, м.Запоріжжя, 69104","2280","1094","2262","27","1165","21","1186","","0","1165","21","1186","43","1143","222","156","8","18","17","66","33","264","38","315","6","29.10.12"
