"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вовк
Василь
Васильович","Галушко
Леонід
Володимирович","Джига
Микола
Васильович","Коваль
Катерина
Петрівна","Ковальов
Володимир
Аркадійович","Мельник
Світлана
Миколаївна","Продан
Сергій
Олександрович","Рекало
Олександр
Анатолійович","Стус
Олександр
Іванович","Третьяков
Олександр
Миколайович","Дата підписання протоколу"
"050721","15","Вінницька область","сільський будинок культури, приміщення для засідань
вул.40-річчя Перемоги, 22, с.Бахтин, Мурованокуриловецький р-н, Вінницька обл., 23412","336","81","328","26","230","25","255","","0","230","25","255","4","251","128","5","86","0","9","18","2","1","0","2","29.10.12"
"050722","15","Вінницька область","бібліотека, каб.1
вул.Кооперативна, 7, с.Бахтинок, Мурованокуриловецький р-н, Вінницька обл., 23412","84","17","83","7","60","7","67","","0","60","7","67","1","66","29","0","21","3","5","6","0","2","0","0","29.10.12"
"050723","15","Вінницька область","сільський клуб-бібліотека, глядацька зала
вул.Ентузіастів, 7, с.Воронівці, Мурованокуриловецький р-н, Вінницька обл., 23412","138","33","137","4","101","4","105","","0","101","4","105","1","104","32","1","47","2","9","4","3","2","0","4","31.10.12"
"050724","15","Вінницька область","сільський клуб, глядацька зала
вул.Коцюбинського, 12, с.Новосілка, Мурованокуриловецький р-н, Вінницька обл., 23412","78","12","79","5","61","5","66","","0","61","5","66","1","65","11","0","28","1","8","16","0","0","1","0","29.10.12"
"050725","15","Вінницька область","сільський будинок культури, обрядова кімната
вул.Гагаріна, 9, с.Вербовець, Мурованокуриловецький р-н, Вінницька обл., 23420","396","149","392","2","245","2","247","","0","245","2","247","7","240","138","2","76","6","1","0","3","0","0","14","29.10.12"
"050726","15","Вінницька область","сільський клуб, глядацька зала
вул.Головна, 5, с.Виноградне, Мурованокуриловецький р-н, Вінницька обл., 23421","396","145","390","25","227","24","251","","0","227","24","251","2","249","109","3","109","1","7","6","10","0","0","4","28.10.12"
"050727","15","Вінницька область","школа, вестибюль
вул.Жовтнева, 4, с.Вищеольчедаїв, Мурованокуриловецький р-н, Вінницька обл., 23432","930","293","918","30","607","30","637","","0","607","30","637","17","620","274","2","301","1","9","13","8","5","2","5","29.10.12"
"050728","15","Вінницька область","лікарня, коридор, каб.1, каб.2
пров.Єпіфанова, 3, с.Вищеольчедаїв, Мурованокуриловецький р-н, Вінницька обл., 23432","564","193","564","5","366","5","371","","0","366","5","371","8","363","191","4","133","3","7","9","13","0","0","3","29.10.12"
"050729","15","Вінницька область","дозвіллєвий центр, зал для дискотек
вул.Леніна, 2, с.Галайківці, Мурованокуриловецький р-н, Вінницька обл., 23423","642","207","632","38","397","38","435","","0","397","38","435","12","423","169","3","228","5","6","8","2","1","0","1","30.10.12"
"050730","15","Вінницька область","сільський клуб, глядацька зала
вул.Леніна, 25, с.Володимирівка, Мурованокуриловецький р-н, Вінницька обл., 23423","90","20","90","10","60","10","70","","0","60","10","70","3","67","31","0","31","3","0","0","1","0","0","1","29.10.12"
"050731","15","Вінницька область","сільський будинок культури, глядацька зала
вул.Молодіжна, 3, с.Дерешова, Мурованокуриловецький р-н, Вінницька обл., 23414","348","82","347","17","249","17","266","","0","249","17","266","6","260","76","0","151","0","12","6","7","0","1","7","29.10.12"
"050732","15","Вінницька область","сільський клуб-бібліотека, кімната гурткової роботи
вул.Леніна, 54, с.Долиняни, Мурованокуриловецький р-н, Вінницька обл., 23415","318","107","310","4","207","4","211","","0","207","4","211","4","207","85","2","99","1","4","9","1","0","1","5","29.10.12"
"050733","15","Вінницька область","сільський клуб-бібліотека, бібліотека
вул.Леніна, 14, с.Кривохижинці, Мурованокуриловецький р-н, Вінницька обл., 23415","138","61","129","1","76","1","77","","0","76","1","77","4","73","37","1","34","0","0","0","0","0","0","1","29.10.12"
"050734","15","Вінницька область","сільський будинок культури, глядацька зала
вул.Леніна, 1, с.Жван, Мурованокуриловецький р-н, Вінницька обл., 23424","630","223","614","20","390","17","407","","0","390","17","407","21","386","187","2","157","3","4","18","8","0","2","5","30.10.12"
"050735","15","Вінницька область","сільська рада, зал засідань
вул.Леніна, 23, с.Конищів, Мурованокуриловецький р-н, Вінницька обл., 23410","642","178","624","48","418","46","464","","0","418","46","464","12","452","209","4","194","2","7","19","8","4","1","4","29.10.12"
"050736","15","Вінницька область","сільський клуб-бібліотека, зал
вул.Леніна, 18, с.Знаменівка, Мурованокуриловецький р-н, Вінницька обл., 23410","276","58","273","15","204","14","218","","0","204","14","218","6","212","76","1","126","3","4","1","1","0","0","0","29.10.12"
"050737","15","Вінницька область","сільський клуб-бібліотека, зал
вул.Леніна, 52, с.Ягідне, Мурованокуриловецький р-н, Вінницька обл., 23410","84","18","78","6","60","6","66","","0","60","6","66","2","64","25","2","37","0","0","0","0","0","0","0","29.10.12"
"050738","15","Вінницька область","сільський будинок культури, глядацька зала
вул.Леніна, 33, с.Котюжани, Мурованокуриловецький р-н, Вінницька обл., 23440","702","202","693","46","457","43","500","","0","457","43","500","19","481","112","11","301","5","12","32","0","0","0","8","28.10.12"
"050739","15","Вінницька область","сільський будинок культури, глядацька зала
вул.Леніна, 82, с.Курашівці, Мурованокуриловецький р-н, Вінницька обл., 23430","432","127","425","36","271","34","305","","0","271","34","305","15","290","99","5","133","6","13","12","13","2","0","7","29.10.12"
"050740","15","Вінницька область","сільський клуб, сцена, глядацька зала
вул.Леніна, 16, с.Посухів, Мурованокуриловецький р-н, Вінницька обл., 23430","192","38","192","11","147","7","154","","0","147","7","154","4","150","73","1","56","2","2","6","4","1","3","2","30.10.12"
