"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Антемюк
Віктор
Дмитрович","Бевз
Валерій
Ананійович","Березовський
В’ячеслав
Миколайович","Добринська
Наталія
Володимирівна","Добровольський
Віталій
Олександрович","Домбровський
Олександр
Георгійович","Кулініч
Роман
Олександрович","Солейко
Наталія
Петрівна","Станіславенко
Людмила
Анатоліївна","Дата підписання протоколу"
"050130","11","Вінницька область","селищна рада, актовий зал
вул.40-річчя Перемоги, 7, смт Стрижавка, Вінницький р-н, Вінницька обл., 23210","1662","653","1687","124","919","90","1009","","0","919","90","1009","66","943","134","75","17","49","51","246","8","234","129","29.10.12"
"050131","11","Вінницька область","школа-ліцей, спортзал
вул.40-річчя Перемоги, 3, смт Стрижавка, Вінницький р-н, Вінницька обл., 23210","2148","919","2150","33","1198","31","1229","","0","0","0","1229","92","1137","163","94","23","49","47","385","9","211","156","03.11.12"
"050132","11","Вінницька область","спортивна школа, спортзал
вул.Приміська, 15, смт Стрижавка, Вінницький р-н, Вінницька обл., 23210","1506","696","1492","10","801","9","810","","0","0","0","810","70","740","72","64","7","54","34","331","3","87","88","03.11.12"
"050133","11","Вінницька область","школа, спортзал
вул.Київська, 172, смт Стрижавка, Вінницький р-н, Вінницька обл., 23210","2082","809","2102","17","1263","10","1273","","0","0","0","1273","122","1151","117","70","11","53","58","470","11","206","155","03.11.12"
"050134","11","Вінницька область","звіргосподарство, кабінет головного бухгалтера
вул.Тиха, звіргосподарство, с-ще Славне, Вінницький р-н, Вінницька обл., 23210","162","65","164","0","97","0","97","","0","0","0","97","5","92","8","7","3","8","4","29","5","20","8","03.11.12"
"050135","11","Вінницька область","будинок культури, актовий зал
вул.Мічуріна, 4, с.Агрономічне, Вінницький р-н, Вінницька обл., 23227","2238","708","2243","40","1493","37","1530","","0","0","0","1530","132","1398","55","378","23","73","51","330","3","290","195","04.11.12"
"050136","11","Вінницька область","школа, спортзал
вул.Мічуріна, 2, с.Агрономічне, Вінницький р-н, Вінницька обл., 23227","750","276","793","6","470","4","474","","0","470","4","474","9","465","6","61","10","30","12","121","1","127","97","29.10.12"
"050137","11","Вінницька область","будинок культури, актовий зал
вул.Гагаріна, 62А, с.Бохоники, Вінницький р-н, Вінницька обл., 23233","1920","632","1961","63","1239","49","1288","","0","1239","49","1288","21","1267","92","142","13","54","63","409","5","318","171","29.10.12"
"050145","11","Вінницька область","сільський клуб, актовий зал
вул.Шевченка, 1, с.Дорожне, Вінницький р-н, Вінницька обл., 23217","468","150","465","9","310","8","318","","0","310","8","318","6","312","14","16","6","20","26","155","2","48","25","29.10.12"
"050149","11","Вінницька область","бібліотека, читальний зал
вул.Леніна, 68А, с.Ільківка, Вінницький р-н, Вінницька обл., 23231","384","119","385","19","247","18","265","","0","247","18","265","18","247","27","56","4","25","17","39","3","55","21","29.10.12"
"050154","11","Вінницька область","початкова школа, методкабінет
вул.Калініна, початкова школа, с.Лисогора, Вінницький р-н, Вінницька обл., 23251","450","151","453","25","277","22","299","","1","276","22","298","5","293","17","31","1","9","25","120","4","56","30","29.10.12"
"050155","11","Вінницька область","будинок культури, фойє
вул.Леніна, 1А, с.Лаврівка, Вінницький р-н, Вінницька обл., 23215","678","219","665","32","429","30","459","","0","0","0","459","65","394","52","14","2","24","29","140","2","85","46","03.11.12"
"050156","11","Вінницька область","школа, спортзал
вул.Пушкіна, 2А, с.Медвідка, Вінницький р-н, Вінницька обл., 23215","306","93","304","25","189","24","213","","0","189","24","213","7","206","9","14","4","24","17","105","0","21","12","28.10.12"
"050161","11","Вінницька область","будинок культури, фойє
вул.Леніна, 1, с.Майдан, Вінницький р-н, Вінницька обл., 23224","384","121","380","23","242","21","263","","0","242","21","263","8","255","18","24","7","21","20","105","2","38","20","28.10.12"
"050162","11","Вінницька область","початкова школа, фойє
вул.Колгоспна, 11, с.Слобода-Дашковецька, Вінницький р-н, Вінницька обл., 23224","276","66","274","25","187","22","209","","0","188","22","210","6","204","7","10","2","12","14","111","2","26","20","29.10.12"
"050164","11","Вінницька область","сільський клуб, фойє
вул.Шкільна, 3А, с.Медвеже Вушко, Вінницький р-н, Вінницька обл., 23226","1404","496","1390","50","862","46","908","","0","0","0","908","128","780","49","57","7","35","57","248","10","210","107","03.11.12"
"050165","11","Вінницька область","будинок культури, фойє
вул.Пушкіна, 8А, с.Мізяківські Хутори, Вінницький р-н, Вінницька обл., 23213","1794","838","1759","50","911","45","956","","0","911","45","956","39","917","60","91","11","40","48","361","4","202","100","29.10.12"
"050166","11","Вінницька область","сільський клуб, фойє
вул.Шевченка, сільський клуб, с.Переорки, Вінницький р-н, Вінницька обл., 23213","540","228","526","11","301","11","312","","0","301","11","312","11","301","21","53","4","20","27","98","0","53","25","29.10.12"
"050167","11","Вінницька область","школа, спортзал
вул.Франка, 4, с.Некрасове, Вінницький р-н, Вінницька обл., 23225","714","228","731","20","470","16","486","","0","470","16","486","9","477","30","112","4","28","25","124","1","91","62","29.10.12"
"050185","11","Вінницька область","будинок культури, фойє
вул.Новоселів, будинок культури, с.Якушинці, Вінницький р-н, Вінницька обл., 23222","1974","678","2006","48","1255","41","1296","","0","0","0","1321","133","1188","88","117","25","80","55","291","8","353","171","03.11.12"
"050186","11","Вінницька область","СВАТ ""Вінницярибгосп"", актовий зал
вул.Зарічна, СВАТ ""Вінницярибгосп"", с.Якушинці, Вінницький р-н, Вінницька обл., 23222","498","145","495","0","353","0","353","","0","353","0","353","10","343","8","35","5","78","8","60","6","99","44","29.10.12"
"050187","11","Вінницька область","СВАТ ""Племоб’єднання"", зала
вул.Барське шосе, 3-й км, с.Якушинці, Вінницький р-н, Вінницька обл., 23222","264","98","263","1","166","0","166","","0","166","0","166","4","162","7","10","4","12","8","54","0","38","29","29.10.12"
"050188","11","Вінницька область","сільський клуб, актовий зал
вул.Клубна, 1, с.Зарванці, Вінницький р-н, Вінницька обл., 23222","2526","1014","2542","23","1490","22","1512","","0","1490","22","1512","35","1477","106","124","13","64","75","365","10","476","244","29.10.12"
"050189","11","Вінницька область","гуртожиток ВОПЛ №2, фойє
гуртожиток ВОПЛ №2, с-ще Березина, Вінницький р-н, Вінницька обл., 23222","138","50","137","1","87","1","88","","0","87","1","88","0","88","3","2","0","7","5","37","1","25","8","29.10.12"
"050190","11","Вінницька область","тубдиспансер, хол
вул.Гніванське шосе 7 км., с.Бохоники, Вінницький р-н, Вінницька обл., 23233","90","0","210","27","63","27","90","","0","63","27","90","15","75","3","7","1","14","11","19","8","6","6","29.10.12"
"050191","11","Вінницька область","адмінбудинок ВОПЛ №2, фойє
адмінбудинок ВОПЛ №2, с-ще Березина, Вінницький р-н, Вінницька обл., 23222","366","111","276","8","249","6","255","","0","249","6","255","39","216","36","39","10","34","7","33","16","18","23","29.10.12"
"050192","11","Вінницька область","адмінкорпус СВК, клуб установи
вул.Алеї, 30, смт Стрижавка, Вінницький р-н, Вінницька обл., 23210","1116","1","1117","0","1115","0","1115","","0","1115","0","1115","43","1072","3","2","7","968","17","17","3","34","21","29.10.12"
"051477","11","Вінницька область","Вінницький факультет національної академії керівних кадрів культури і мистецтв, актова зала
вул.Ботанічна, 13А, м.Вінниця, 21010","2094","880","2074","37","1179","35","1214","","0","1179","35","1214","26","1188","41","101","26","55","44","332","11","426","152","29.10.12"
"051478","11","Вінницька область","школа №14, актова зала
вул.Мічуріна, 2, м.Вінниця, 21010","2328","922","2322","29","1383","23","1406","","0","0","0","1406","49","1357","73","111","19","51","56","363","9","456","219","03.11.12"
"051479","11","Вінницька область","ПП ""Володимирський масив"", 1-й поверх клубу, зала
пров.Цегельний, 12, м.Вінниця, 21020","2202","1119","2071","9","1075","8","1083","","0","1075","8","1083","38","1045","27","94","19","35","28","333","9","356","144","29.10.12"
"051480","11","Вінницька область","товариство ""Шанс два"", кім.109
вул.Першотравнева, 88, м.Вінниця, 21020","1512","622","1609","18","875","15","890","","0","875","15","890","22","868","29","81","14","47","35","255","12","276","119","29.10.12"
"051481","11","Вінницька область","підприємство ""Профспілкове"", хол
вул.Хмельницьке шосе, 2, м.Вінниця, 21036","1530","526","1519","32","977","27","1004","","0","0","0","1004","138","863","33","109","24","61","33","274","8","187","134","03.11.12"
"051482","11","Вінницька область","Вінницький міський палац дітей та юнацтва імені Лялі Ратушної, фойє
вул.Хмельницьке шосе, 22, м.Вінниця, 21016","2250","811","2305","26","1417","22","1439","","0","1417","22","1439","35","1404","43","133","33","87","55","355","29","425","244","29.10.12"
"051483","11","Вінницька область","комунальний заклад ""Центр підліткових клубів за місцем проживання"", актова зала
вул.600-річчя, 6, м.Вінниця, 21021","2088","796","2069","7","1287","5","1292","","0","0","0","1292","246","1046","51","86","28","55","45","423","7","208","143","02.11.12"
"051484","11","Вінницька область","Вінницьке трамвайно-тролейбусне управління, актова зала
вул.Хмельницьке шосе, 29, м.Вінниця, 21036","2016","772","2013","12","1235","9","1244","","0","1235","9","1244","28","1216","41","111","18","50","37","379","11","397","172","29.10.12"
"051485","11","Вінницька область","школа №26, фойє
вул.Хмельницьке шосе, 27, м.Вінниця, 21036","2286","819","2275","8","1460","7","1467","","0","1460","7","1467","39","1428","38","118","35","61","51","460","4","461","200","29.10.12"
"051486","11","Вінницька область","Вінницький торговельно-економічний інститут КНТЕУ, корп.4, вестибюль
вул.Хмельницьке шосе, 25, м.Вінниця, 21036","1854","654","1810","11","1190","10","1200","","0","1190","10","1200","21","1179","50","116","17","63","46","325","11","390","161","29.10.12"
