"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бобелюк
Сергій
Федосійович","Бусень
Олег
Петрович","Волков
Сергій
Сергійович","Горобець
Олена
Леонідівна","Дегтяр
Володимир
Миколайович","Каюн
Олександр
Володимирович","Литвиненко
Сергій
Михайлович","Олійник
Руслан
Юрійович","Сорока
Олексій
Олександрович","Цуркан
Олег
Валерійович","Шпенов
Дмитро
Юрійович","Дата підписання протоколу"
"120001","37","Дніпропетровська область","центр підготовки та перепідготовки робітничих кадрів, їдальня, 1-й поверх
вул.Мічуріна, 8, м.Апостолове, Апостолівський р-н, Дніпропетровська обл., 53802","2178","1130","2134","95","969","79","1048","","0","969","79","1048","58","990","19","15","29","17","126","87","82","39","24","30","522","29.10.12"
"120002","37","Дніпропетровська область","школа №3, фойє, 1-й поверх
вул.Визволення, 30, м.Апостолове, Апостолівський р-н, Дніпропетровська обл., 53802","2412","1221","2337","140","1086","105","1191","","0","1086","105","1191","40","1151","37","8","30","12","148","156","124","35","29","17","555","29.10.12"
"120003","37","Дніпропетровська область","будинок культури ""Сучасник"", фойє, 1-й поверх
вул.Леніна, 74, м.Апостолове, Апостолівський р-н, Дніпропетровська обл., 53802","2388","1092","2357","79","1224","72","1296","","0","1224","72","1296","53","1243","23","10","36","27","213","157","131","32","32","13","569","29.10.12"
"120004","37","Дніпропетровська область","школа №4, актова зала, 1-й поверх
вул.Свердлова, 13, м.Апостолове, Апостолівський р-н, Дніпропетровська обл., 53802","2364","1211","2338","47","1109","44","1153","","0","1109","44","1153","71","1082","13","11","38","16","168","127","98","30","28","13","540","29.10.12"
"120005","37","Дніпропетровська область","будинок науки і техніки, фойє
вул.Вокзальна, 51, м.Апостолове, Апостолівський р-н, Дніпропетровська обл., 53802","1734","898","1696","78","763","73","836","","0","763","73","836","39","797","5","10","19","14","125","17","17","86","74","12","418","29.10.12"
"120006","37","Дніпропетровська область","школа №1, фойє, 1 поверх
вул.Богдана Хмельницького, 106, м.Апостолове, Апостолівський р-н, Дніпропетровська обл., 53802","1920","999","1881","39","884","37","921","","0","884","37","921","25","896","13","7","20","14","119","101","107","21","22","20","452","29.10.12"
"120007","37","Дніпропетровська область","будинок культури, вестибюль
вул.Східна, 1А, с-ще Українка, Апостолівський р-н, Дніпропетровська обл., 53802","768","330","749","54","387","51","438","","0","387","51","438","19","419","6","3","13","10","62","18","14","6","2","3","282","29.10.12"
"120008","37","Дніпропетровська область","ліцей, актова зала, 1-й поверх
вул.Карла Маркса, 5, м.Зеленодольськ, Апостолівський р-н, Дніпропетровська обл., 53860","2358","847","2332","26","1488","23","1511","","0","1488","23","1511","50","1461","44","19","102","33","244","142","137","45","25","26","644","29.10.12"
"120009","37","Дніпропетровська область","школа №1, їдальня, 1-й поверх
вул.Комсомольська, 3, м.Зеленодольськ, Апостолівський р-н, Дніпропетровська обл., 53860","2346","888","2323","42","1421","37","1458","","0","1421","37","1458","52","1406","49","13","115","31","203","132","145","24","18","23","653","29.10.12"
"120010","37","Дніпропетровська область","школа №2, спортзал, 1-й поверх
вул.Рибалко, 7, м.Зеленодольськ, Апостолівський р-н, Дніпропетровська обл., 53860","2376","846","2344","26","1512","18","1530","","0","1512","18","1530","73","1457","40","24","126","26","216","144","149","41","18","16","657","29.10.12"
"120011","37","Дніпропетровська область","палац культури ""Ювілейний"", хол, 2-й поверх
вул.Комсомольська, 6, м.Зеленодольськ, Апостолівський р-н, Дніпропетровська обл., 53860","2370","1177","2336","32","1170","23","1193","","0","1169","23","1192","51","1141","29","12","93","19","212","83","91","44","18","15","525","29.10.12"
"120012","37","Дніпропетровська область","центр позашкільної роботи, актова зала
вул.Енергетична, 10, м.Зеленодольськ, Апостолівський р-н, Дніпропетровська обл., 53860","2058","869","2037","31","1160","29","1189","","0","1160","29","1189","68","1121","21","16","86","26","191","108","100","43","20","14","496","29.10.12"
"120013","37","Дніпропетровська область","навчально-виховний комплекс, вестибюль, 1-й поверх
вул.Шкільна, 200, с.Володимирівка, Апостолівський р-н, Дніпропетровська обл., 53812","708","332","701","49","333","43","376","","0","333","43","376","19","357","2","2","11","3","20","12","17","1","9","0","280","29.10.12"
"120014","37","Дніпропетровська область","школа, хол
вул.Кооперативна, 55, с.Велика Костромка, Апостолівський р-н, Дніпропетровська обл., 53861","1932","960","1910","97","887","85","972","","0","887","85","972","44","928","17","8","112","8","108","65","40","51","9","7","503","29.10.12"
"120015","37","Дніпропетровська область","школа, спортзал
вул.Кірова, 36, с.Вільне, Апостолівський р-н, Дніпропетровської обл., 53811","1086","550","1068","63","487","49","536","","0","487","49","536","30","506","9","12","7","7","53","47","65","7","6","4","289","29.10.12"
"120016","37","Дніпропетровська область","школа, хол, 1-й поверх
вул.Леніна, 17, с.Кам’янка, Апостолівський р-н, Дніпропетровська обл., 53830","1248","594","1249","103","573","81","654","","0","573","81","654","66","588","12","4","17","8","67","75","41","9","14","8","333","29.10.12"
"120017","37","Дніпропетровська область","школа, хол
вул.Залізнична, 2, с-ще Жовте, Апостолівський р-н, Дніпропетровська обл., 53832","852","451","843","56","351","50","401","","0","351","50","401","20","381","3","2","9","8","54","23","29","1","10","6","236","29.10.12"
"120018","37","Дніпропетровська область","школа, актова зала
вул.Карла Маркса, 37, с.Новоіванівка, Апостолівський р-н, Дніпропетровська обл., 53831","522","269","515","34","225","28","253","","0","225","28","253","12","241","19","5","9","6","49","16","9","10","4","7","107","28.10.12"
"120019","37","Дніпропетровська область","школа, хол
вул.Садова, 22, с.Ленінське, Апостолівський р-н, Дніпропетровська обл., 53850","1974","1036","1952","94","864","74","938","","0","864","74","938","44","894","11","5","24","26","195","131","100","43","31","21","307","29.10.12"
"120020","37","Дніпропетровська область","школа, хол
вул.Шкільна, 3, с.Ленінське, Апостолівський р-н, Дніпропетровська обл., 53850","1062","605","1047","48","414","43","457","","0","414","43","457","30","427","10","7","22","13","70","45","56","15","8","6","175","29.10.12"
"120021","37","Дніпропетровська область","початкова школа, хол
вул.Леніна, 15, с-ще Гранітне, Апостолівський р-н, Дніпропетровська обл., 53855","462","258","450","19","188","16","204","","0","188","16","204","15","189","11","3","7","6","29","13","4","4","2","2","108","29.10.12"
"120022","37","Дніпропетровська область","школа-сад, спортзал
вул.Будьоного, 36, с.Усть-Кам’янка, Апостолівський р-н, Дніпропетровська обл., 53854","252","109","247","12","134","9","143","","0","134","9","143","9","134","6","6","8","2","23","11","3","15","2","2","56","29.10.12"
"120023","37","Дніпропетровська область","школа №2, вестибюль, 1-й поверх
вул.Леніна, 20, с.Мар’янське, Апостолівський р-н, Дніпропетровська обл., 53842","1176","535","1155","73","568","73","641","","0","568","73","641","25","616","5","11","20","2","106","70","44","23","12","10","313","28.10.12"
"120024","37","Дніпропетровська область","школа №1, вестибюль, 1-й поверх
вул.Шкільна, 5, с.Мар’янське, Апостолівський р-н, Дніпропетровська обл., 53843","2022","1329","1989","68","628","65","693","","0","628","65","693","35","658","15","5","18","5","141","31","51","170","10","20","192","29.10.12"
"120025","37","Дніпропетровська область","сільська рада, зала засідань
вул.Жовтнева, 1А, с.Михайлівка, Апостолівський р-н, Дніпропетровська обл., 53820","1182","629","1165","84","474","79","553","","0","474","79","553","18","535","13","8","14","9","82","34","19","4","13","6","333","29.10.12"
"120026","37","Дніпропетровська область","школа, їдальня, 1-й поверх
вул.Шкільна, 22, с.Михайло-Заводське, Апостолівський р-н, Дніпропетровська обл., 53822","642","296","629","53","297","49","346","","0","297","49","346","7","339","9","4","18","4","46","21","33","2","2","2","198","29.10.12"
"120027","37","Дніпропетровська область","школа, актова зала
вул.60 років СРСР, 21А, с.Широчани, Апостолівський р-н, Дніпропетровська обл., 53821","528","212","520","41","280","36","316","","0","280","36","316","8","308","5","5","7","8","38","22","15","5","5","1","197","29.10.12"
"120028","37","Дніпропетровська область","будинок культури ""Юність"", танцювальний зал
вул.Леніна, 8, с.Нива Трудова, Апостолівський р-н, Дніпропетровська обл., 53810","1860","845","1833","67","951","64","1015","","0","951","64","1015","35","980","9","8","26","6","91","57","225","7","7","17","527","29.10.12"
"120029","37","Дніпропетровська область","школа, фойє, 1-й поверх
вул.Дзержинського, 7, с.Нива Трудова, Апостолівський р-н, Дніпропетровська обл., 53810","1794","878","1779","23","893","23","916","","0","893","23","916","35","881","8","14","15","18","98","41","167","16","13","20","471","29.10.12"
"120030","37","Дніпропетровська область","сільський клуб, танцювальний зал
вул.Леніна, 86, с.Перше Травня, Апостолівський р-н, Дніпропетровська обл., 53840","804","381","786","37","391","32","423","","0","391","32","423","13","410","4","4","9","6","44","39","18","8","4","4","270","29.10.12"
"120031","37","Дніпропетровська область","будинок культури, концертний зал
вул.Плющенка, 5, с.Запорізьке, Апостолівський р-н, Дніпропетровська обл., 53841","924","391","910","49","487","46","533","","0","487","46","533","19","514","8","4","12","10","81","35","38","10","4","16","296","29.10.12"
"120032","37","Дніпропетровська область","школа, хол, 1-й поверх
вул.Світла, 59, с-ще Токівське, Апостолівський р-н, Дніпропетровська обл., 53853","1308","664","1286","58","597","47","644","","0","597","47","644","34","610","4","8","17","34","107","47","73","22","18","7","273","29.10.12"
"120033","37","Дніпропетровська область","школа, актова зала
вул.Шкільна, 90, с.Червоний Тік, Апостолівський р-н, Дніпропетровська обл., 53852","876","440","863","33","408","28","436","","0","408","28","436","9","427","7","1","10","7","49","29","19","15","9","1","280","29.10.12"
"120034","37","Дніпропетровська область","Апостолівська центральна районна лікарня, актова зала
вул.Фрунзе, 63, м.Апостолове, Апостолівський р-н, Дніпропетровська обл., 53802","210","30","187","22","158","22","180","","0","158","22","180","6","174","3","2","4","0","22","9","10","1","6","4","113","29.10.12"
"120147","37","Дніпропетровська область","школа, фойє
вул.Центральна, 100, с.Валове, Криворізький р-н, Дніпропетровська обл., 53050","1062","474","1044","50","540","48","588","","0","540","48","588","29","559","57","2","4","1","91","42","28","10","1","5","318","29.10.12"
"120148","37","Дніпропетровська область","Червоношахтарська школа, фойє
вул.Меліоративна, 2А, с.Вільне, Криворізький р-н, Дніпропетровська обл., 53032","1620","562","1607","64","1000","58","1058","","0","1000","58","1058","32","1026","17","6","30","12","137","143","66","16","9","6","584","29.10.12"
"120149","37","Дніпропетровська область","школа, фойє
вул.Шкільна, 10, с.Ранній Ранок, Криворізький р-н, Дніпропетровська обл., 53054","1380","689","1347","60","632","59","691","","0","632","59","691","25","666","26","2","24","6","126","59","53","6","3","11","350","28.10.12"
"120150","37","Дніпропетровська область","їдальня, обідня зала
вул.Українська, 1Б, с.Грузьке, Криворізький р-н, Дніпропетровська обл., 53021","582","217","575","49","319","46","365","","0","319","46","365","9","356","17","8","2","4","20","26","14","4","1","6","254","29.10.12"
"120151","37","Дніпропетровська область","сільський клуб, фойє
вул.Московська, 108, с.Новолозуватка, Криворізький р-н, Дніпропетровська обл., 53021","276","93","275","24","163","20","183","","0","163","20","183","5","178","6","3","1","3","28","18","3","3","0","3","110","29.10.12"
"120152","37","Дніпропетровська область","школа, фойє
вул.Щорса, 54, с.Зелений Гай, Криворізький р-н, Дніпропетровська обл., 53061","816","307","793","94","417","92","509","","0","417","92","509","16","493","12","9","17","5","108","34","24","2","3","6","273","29.10.12"
"120153","37","Дніпропетровська область","школа, фойє
вул.Шкільна, 5, с.Кіровка, Криворізький р-н, Дніпропетровська обл., 53060","606","210","591","51","348","48","396","","0","348","48","396","10","386","8","5","10","7","72","19","24","1","0","13","227","29.10.12"
