"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Беспальчук
Ігор
Вячеславович","Ганюков
Сергій
Михайлович","Герасименко
Ірина
Миколаївна","Коваль
Максим
Валерійович","Любоненко
Юрій
Вікторович","Поворознюк
Ігор
Іванович","Туровська
Ірина
Львівна","Шевчик
Оксана
Олександрівна","Дата підписання протоколу"
"121512","32","Дніпропетровська область","школа №89, фойє, 1-й поверх
вул.Іскрівська, 1А, м.Кривий Ріг, Дніпропетровська обл., 50054","2368","1191","2334","19","1160","17","1177","","0","1158","17","1175","59","1116","27","102","26","154","596","15","45","151","29.10.12"
"121513","32","Дніпропетровська область","школа №89, хол, 1-й поверх
вул.Іскрівська, 1А, м.Кривий Ріг, Дніпропетровська обл., 50054","1664","935","1674","44","694","35","729","","0","694","35","729","25","704","11","68","19","105","349","5","28","119","29.10.12"
"121514","32","Дніпропетровська область","школа №84, актова зала, 1-й поверх
вул.Милашенкова, 57, м.Кривий Ріг, Дніпропетровська обл., 50044","1976","978","1956","23","983","15","998","","0","983","15","998","33","965","10","81","22","157","547","7","24","117","29.10.12"
"121515","32","Дніпропетровська область","школа №84, спортивна зала, 1-й поверх
вул.Милашенкова, 57, м.Кривий Ріг, Дніпропетровська обл., 50044","1976","1274","1950","27","681","21","702","","0","681","21","702","26","676","3","62","15","88","390","7","19","92","29.10.12"
"121516","32","Дніпропетровська область","школа №94, фойє, 1-й поверх
вул.Промислова, 1А, м.Кривий Ріг, Дніпропетровська обл., 50055","1704","902","1701","41","772","30","802","","0","772","30","802","26","776","2","99","11","121","394","3","15","131","28.10.12"
"121517","32","Дніпропетровська область","школа №94, фойє, 1-й поверх
вул.Промислова, 1А, м.Кривий Ріг, Дніпропетровська обл., 50055","2352","1220","2328","14","1120","12","1132","","0","1120","12","1132","45","1087","14","117","28","148","558","14","30","178","29.10.12"
"121518","32","Дніпропетровська область","спортивний клуб ""Локомотив"", хол, 1-й поверх
вул.Кириленка, 19, м.Кривий Ріг, Дніпропетровська обл., 50055","2360","940","2331","33","1397","23","1420","","0","1397","23","1420","50","1370","16","121","22","192","787","9","34","189","29.10.12"
"121519","32","Дніпропетровська область","школа №90, фойє, 1-й поверх
вул.Кокчетавська, 1А, м.Кривий Ріг, Дніпропетровська обл., 50055","1912","839","1871","12","1063","10","1073","","0","1062","10","1072","35","1037","14","101","20","139","597","18","14","134","29.10.12"
"121520","32","Дніпропетровська область","школа №90, фойє, 1-й поверх
вул.Кокчетавська, 1А, м.Кривий Ріг, Дніпропетровська обл., 50055","1952","935","1924","59","966","51","1017","","0","966","51","1017","34","983","8","100","17","130","544","11","18","155","29.10.12"
"121521","32","Дніпропетровська область","гуртожиток будівельно-монтажного управління, актова зала, 1-й поверх
вул.Кириленка, 6, м.Кривий Ріг, Дніпропетровська обл., 50055","1952","943","1914","35","978","31","1009","","0","978","31","1009","47","962","14","91","28","146","458","12","22","191","28.10.12"
"121522","32","Дніпропетровська область","бібліотека станції Кривий Ріг-Головний, читальна зала, 1-й поверх
вул.Серафимовича, 81А, м.Кривий Ріг, Дніпропетровська обл., 50023","1488","803","1449","29","663","22","685","","0","663","22","685","29","656","5","71","14","112","322","10","12","110","28.10.12"
"121523","32","Дніпропетровська область","школа №88, хол, 1-й поверх
вул.Колійна, 26, м.Кривий Ріг, Дніпропетровська обл., 50023","2088","1173","2068","39","888","27","915","","0","888","27","915","29","886","13","100","19","124","448","4","22","156","29.10.12"
"121524","32","Дніпропетровська область","школа №88, хол, 2-й поверх
вул.Колійна, 26, м.Кривий Ріг, Дніпропетровська обл., 50023","2128","1125","2119","41","972","31","1003","","0","972","31","1003","40","963","8","106","12","143","474","3","22","195","29.10.12"
"121525","32","Дніпропетровська область","Криворізька дистанція колії, актова зала, 1-й поверх
вул.Транспортна, 57А, м.Кривий Ріг, Дніпропетровська обл., 50048","1576","819","1569","20","738","19","757","","0","738","19","757","14","743","12","100","16","87","374","12","8","134","29.10.12"
"121526","32","Дніпропетровська область","школа №87, фойє, 1-й поверх
вул.Сормівська, 5, м.Кривий Ріг, Дніпропетровська обл., 50048","1792","782","1772","51","974","36","1010","","0","974","36","1010","38","972","17","119","21","176","411","5","22","201","29.10.12"
"121527","32","Дніпропетровська область","школа №87, хол, 1-й поверх
вул.Сормівська, 5, м.Кривий Ріг, Дніпропетровська обл., 50048","2376","1105","2341","32","1242","29","1271","","0","1242","29","1271","53","1218","21","147","35","220","527","12","37","219","29.10.12"
