"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Безпятий
Анатолій
Олексійович","Бойко
Ярослав
Вікторович","Глазунов
Сергій
Миколайович","Далія
Сергій
Олександрович","Костромський
Максим
Васильович","Свергун
Олександр
Григорович","Чорний
Дмитро
Сергійович","Дата підписання протоколу"
"120062","34","Дніпропетровська область","будинок вчителя, актова зала
вул.Дніпровська, 56, м.Верхньодніпровськ, Верхньодніпровський р-н, Дніпропетровська обл., 51600","1928","925","1915","35","974","29","1003","","0","973","29","1002","40","962","80","50","381","121","310","10","10","29.10.12"
"120063","34","Дніпропетровська область","школа №1, актова зала
вул.Карла Лібкнехта, 38, м.Верхньодніпровськ, Верхньодніпровський р-н, Дніпропетровська обл., 51600","1800","754","1733","33","1016","30","1046","","0","1016","30","1046","30","1016","80","41","456","94","328","9","8","29.10.12"
"120064","34","Дніпропетровська область","будинок культури, фойє
пл.Щербицького, 1, м.Верхньодніпровськ, Верхньодніпровський р-н, Дніпропетровська обл., 51600","2192","967","2141","56","1172","53","1225","","0","1172","53","1225","20","1205","128","50","496","137","374","8","12","29.10.12"
"120065","34","Дніпропетровська область","палац дитячої та юнацької творчості, фойє
пл.Щербицького, 3, м.Верхньодніпровськ, Верхньодніпровський р-н, Дніпропетровська обл., 51600","2264","970","2236","63","1235","59","1294","","0","1235","59","1294","45","1249","131","48","465","146","439","11","9","29.10.12"
"120066","34","Дніпропетровська область","коледж, спортивна зала
вул.Дидишка, 1, м.Верхньодніпровськ, Верхньодніпровський р-н, Дніпропетровська обл., 51600","720","348","728","16","357","15","372","","0","357","15","372","20","352","26","18","146","45","112","2","3","29.10.12"
"120067","34","Дніпропетровська область","школа №2, фойє
вул.Київська, 28, м.Верхньодніпровськ, Верхньодніпровський р-н, Дніпропетровська обл., 51600","2408","1118","2377","84","1209","81","1290","","0","1209","81","1290","42","1248","110","49","444","110","507","13","15","29.10.12"
"120068","34","Дніпропетровська область","ДП ""Верхньодніпровське лісове господарство"", актова зала
вул.Петровського, 117Б, м.Верхньодніпровськ, Верхньодніпровський р-н, Дніпропетровська обл., 51600","1152","525","1125","18","609","18","627","","0","609","18","627","21","606","50","30","315","44","154","7","6","29.10.12"
"120069","34","Дніпропетровська область","будинок-інтернат №2, зала лікувальної фізичної культури
вул.Упорна, 1А, м.Верхньодніпровськ, Верхньодніпровський р-н, Дніпропетровська обл., 51600","1088","502","1046","29","562","24","586","","0","562","24","586","37","549","54","20","254","42","164","5","10","29.10.12"
"120070","34","Дніпропетровська область","будинок дітей та юнацтва, актова зала
вул.Леніна, 46, м.Верхівцеве, Верхньодніпровський р-н, Дніпропетровська обл., 51660","2216","1141","2179","26","1052","23","1075","","0","1052","23","1075","53","1022","157","42","382","85","324","17","15","29.10.12"
"120071","34","Дніпропетровська область","школа №1, фойє
вул.Садова, 14, м.Верхівцеве, Верхньодніпровський р-н, Дніпропетровська обл., 51660","2216","1208","2190","46","966","42","1008","","0","966","42","1008","44","964","129","31","338","92","343","18","13","29.10.12"
"120072","34","Дніпропетровська область","школа №2, фойє
вул.Зелена, 3, м.Верхівцеве, Верхньодніпровський р-н, Дніпропетровська обл., 51660","1776","875","1756","61","852","49","901","","0","852","49","901","41","860","122","38","332","81","256","10","21","29.10.12"
"120073","34","Дніпропетровська область","будинок культури, мала зала
вул.Островського, 174, м.Верхівцеве, Верхньодніпровський р-н, Дніпропетровська обл., 51660","1080","511","1082","36","533","36","569","","0","533","36","569","20","549","61","24","243","46","150","7","18","29.10.12"
"120074","34","Дніпропетровська область","школа, фойє
вул.Кооперативна, 2, с.Широке, Верхньодніпровський р-н, Дніпропетровська обл., 51660","224","118","219","7","99","7","106","","0","99","7","106","5","101","17","4","37","9","29","3","2","29.10.12"
"120075","34","Дніпропетровська область","школа, спортивна зала
вул.Гвоздовського, школа, с-ще Соколівка, Верхньодніпровський р-н, Дніпропетровська обл., 51663","568","248","560","39","281","39","320","","0","281","39","320","10","310","39","15","135","44","71","3","3","28.10.12"
"120076","34","Дніпропетровська область","палац культури, досугова зала
вул.36 Гвардійської Стрілецької Дивізії, 13, смт Дніпровське, Верхньодніпровський р-н, Дніпропетровська обл., 51650","2064","931","2033","45","1095","38","1133","","0","1095","38","1133","31","1102","143","49","376","73","433","12","16","29.10.12"
"120077","34","Дніпропетровська область","школа, фойє
вул.Комсомольська, 5, смт Дніпровське, Верхньодніпровський р-н, Дніпропетровська обл., 51650","2176","878","2134","43","1257","41","1298","","0","1257","41","1298","50","1248","165","60","379","122","483","16","23","29.10.12"
"120078","34","Дніпропетровська область","школа №1, актова зала
вул.Шкільна, 6, смт Новомиколаївка, Верхньодніпровський р-н, Дніпропетровська обл., 51653","1824","896","1808","62","880","48","928","","0","880","48","928","46","882","114","37","354","70","288","9","10","29.10.12"
"120079","34","Дніпропетровська область","школа №2, спортивна зала
вул.Мкртумова, 8, смт Новомиколаївка, Верхньодніпровський р-н, Дніпропетровська обл., 51653","1592","823","1574","41","737","32","769","","0","737","32","769","45","724","60","31","249","50","315","9","10","29.10.12"
"120080","34","Дніпропетровська область","будинок культури, диско-зала
вул.Квака, 2, с.Боровківка, Верхньодніпровський р-н, Дніпропетровська обл., 51641","1024","549","1001","97","403","72","475","","0","403","72","475","11","464","21","9","311","16","106","0","1","29.10.12"
"120081","34","Дніпропетровська область","сільський клуб, актова зала
вул.Крікента, 26, с.Вільні Хутори, Верхньодніпровський р-н, Дніпропетровська обл., 51642","248","94","243","36","123","31","154","","0","123","31","154","5","149","14","1","59","13","59","2","1","29.10.12"
