"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабич
Лариса
Ігорівна","Бахчевников
Олександр
Анатолійович","Демошенко
Геннадій
Валентинович","Дідич
Валентин
Володимирович","Козирський
Микола
Анатолійович","Рязанцев
Іван
Михайлович","Царьов
Олег
Анатолійович","Шебанов
Вадим
Анатолійович","Яковіткін
Олександр
Валентинович","Дата підписання протоколу"
"120180","40","Дніпропетровська область","районний будинок культури, танцювальна зала, 1-й поверх
вул.Центральна, 13, смт Кринички, Криничанський р-н, Дніпропетровська обл., 52300","2016","830","1990","157","1051","135","1186","","0","1051","135","1186","31","1155","18","93","15","343","5","264","403","6","8","29.10.12"
"120181","40","Дніпропетровська область","центр учнівської молоді, фойє, 1-й поверх
вул.Дзержинського, 33, смт Кринички, Криничанський р-н, Дніпропетровська обл., 52300","2016","947","1987","83","999","70","1069","","0","999","70","1069","28","1041","20","85","12","297","2","207","395","9","14","29.10.12"
"120182","40","Дніпропетровська область","школа №2, спортивна зала, 1-й поверх
вул.Центральна, 24, смт Кринички, Криничанський р-н, Дніпропетровська обл., 52300","824","355","806","24","445","24","469","","0","445","24","469","15","454","9","41","4","154","5","84","151","3","3","29.10.12"
"120183","40","Дніпропетровська область","сільський клуб, хол
вул.Щорса, 48А, с.Одарівка, Криничанський р-н, Дніпропетровська обл., 52306","568","273","563","47","253","42","295","","0","253","42","295","11","284","4","17","3","58","0","61","140","1","0","29.10.12"
"120184","40","Дніпропетровська область","сільський клуб, хол
вул.Широка, 21, с.Новопушкарівка, Криничанський р-н, Дніпропетровська обл., 52300","544","244","534","40","261","39","300","","0","261","39","300","3","297","4","13","7","43","1","85","141","2","1","29.10.12"
"120185","40","Дніпропетровська область","школа №1, спортивна зала, 2-й поверх
вул.Пушкіна, 8, смт Аули, Криничанський р-н, Дніпропетровська обл., 52310","2232","1197","2205","74","983","52","1035","","0","983","52","1035","48","987","48","110","42","239","5","179","342","9","13","29.10.12"
"120186","40","Дніпропетровська область","виробничі класи Аульської школи, к.1, 1-й поверх
вул.Чапаєва, 31, смт Аули, Криничанський р-н, Дніпропетровська обл., 52310","1240","703","1225","42","508","29","537","","0","508","29","537","17","520","17","44","34","84","4","85","245","4","3","28.10.12"
"120187","40","Дніпропетровська область","будинок культури, глядацька зала, 1-й поверх
вул.Красноармійська, 2А, смт Щорськ, Криничанський р-н, Дніпропетровська обл., 52323","2352","1248","2320","125","988","116","1104","","0","988","116","1104","31","1073","22","65","11","345","3","207","403","6","11","29.10.12"
"120188","40","Дніпропетровська область","школа, фойє, 1-й поверх
вул.Радянська, 37, смт Щорськ, Криничанський р-н, Дніпропетровська обл., 52323","696","362","684","53","281","53","334","","0","281","53","334","9","325","12","15","9","65","2","20","196","4","2","29.10.12"
"120189","40","Дніпропетровська область","будинок культури, глядацька зала, 1-й поверх
вул.Центральна, 7А, с.Адамівка, Криничанський р-н, Дніпропетровська обл., 52334","1136","517","1125","225","416","203","619","","0","416","203","619","37","582","17","50","19","70","8","205","196","10","7","29.10.12"
"120190","40","Дніпропетровська область","школа, спортивна зала
вул.Шкільна, 60, с.Бикове, Криничанський р-н, Дніпропетровська обл., 52321","560","260","549","58","250","50","300","","0","250","50","300","19","281","11","13","22","40","1","31","158","1","4","29.10.12"
"120191","40","Дніпропетровська область","школа, спортивна зала, 1-й поверх
вул.Ватутіна, 42А, с.Болтишка, Криничанський р-н, Дніпропетровська обл., 52362","568","217","566","85","272","79","351","","0","272","79","351","12","339","2","19","4","60","2","47","202","1","2","29.10.12"
"120192","40","Дніпропетровська область","сільський клуб, фойє
вул.Центральна, 39, с.Гуляйполе, Криничанський р-н, Дніпропетровська обл., 52370","1024","439","999","64","523","62","585","","0","523","62","585","19","566","18","35","5","58","3","168","271","5","3","29.10.12"
"120193","40","Дніпропетровська область","Малософіївська школа, к.1
вул.Центральна, 5, с.Малософіївка, Криничанський р-н, Дніпропетровська обл., 52371","448","180","442","39","234","34","268","","0","234","34","268","1","267","7","17","1","19","2","67","150","1","3","29.10.12"
"120194","40","Дніпропетровська область","сільська рада, актова зала, 1-й поверх
вул.Київська, 40, с.Дружба, Криничанський р-н, Дніпропетровська обл., 52331","1176","504","1149","89","595","77","672","","0","595","77","672","27","645","16","32","3","118","3","134","329","2","8","29.10.12"
"120195","40","Дніпропетровська область","школа, спортивна зала
вул.Шкільна, 1, с.Теплівка, Криничанський р-н, Дніпропетровська обл., 52332","568","218","557","58","295","55","350","","0","295","55","350","17","333","12","16","10","63","3","60","160","4","5","29.10.12"
"120196","40","Дніпропетровська область","школа, актова зала
вул.Леніна, 36, с.Затишне, Криничанський р-н, Дніпропетровська обл., 52363","976","354","963","48","579","43","622","","0","579","43","622","31","591","19","104","12","56","4","102","285","6","3","29.10.12"
"120197","40","Дніпропетровська область","сільський клуб, хол
вул.Гагаріна, 16Б, с.Катеринопіль, Криничанський р-н, Дніпропетровська обл., 52320","664","253","650","81","334","77","411","","0","334","77","411","24","387","10","16","10","82","1","38","227","2","1","29.10.12"
"120198","40","Дніпропетровська область","школа, фойє, 1-й поверх
вул.Виконкомівська, 46, с-ще Кудашівка, Криничанський р-н, Дніпропетровська обл., 52350","1232","628","1211","65","544","60","604","","0","544","60","604","29","575","14","40","6","53","4","159","294","5","0","29.10.12"
