"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Келестин
Валерій
Васильович","Нижник
Олег
Богданович","Питлик
Василь
Михайлович","Сікора
Ольга
Мирославівна","Стула
Володимир
Михайлович","Турчин
Василь
Васильович","Федорів
Тарас
Федорович","Дата підписання протоколу"
"260106","85","Івано-Франківська область","сільський клуб, актовий зал
вул.Галицька, 69, с.Бринь, Галицький р-н, Івано-Франківська обл., 77165","560","144","563","23","393","23","416","","0","393","23","416","12","404","32","57","20","273","8","5","9","29.10.12"
"260107","85","Івано-Франківська область","школа, приміщення початкових класів
вул.Семена Височана, 67, с.Височанка, Галицький р-н, Івано-Франківська обл., 77166","352","98","356","21","234","20","254","","0","234","20","254","12","242","52","22","7","144","4","6","7","28.10.12"
"260108","85","Івано-Франківська область","будинок культури, актовий зал
вул.Федика, будинок культури, с.Вікторів, Галицький р-н, Івано-Франківська обл., 77166","912","231","916","46","635","46","681","","0","635","46","681","25","656","90","74","33","421","18","13","7","29.10.12"
"260109","85","Івано-Франківська область","школа, спортивний зал
вул.Федика, школа, с.Вікторів, Галицький р-н, Івано-Франківська обл., 77166","608","133","593","29","446","29","475","","0","446","29","475","25","450","49","74","13","299","4","8","3","29.10.12"
"260130","85","Івано-Франківська область","школа, спортивний зал
вул.Ворони, 217В, с.Комарів, Галицький р-н, Івано-Франківська обл., 77164","1440","439","1427","11","992","9","1001","","0","992","9","1001","47","954","127","146","42","605","6","14","14","29.10.12"
"260133","85","Івано-Франківська область","будинок культури, зал
вул.Тараса Шевченка, 15А, с.Крилос, Галицький р-н, Івано-Франківська обл., 77162","1336","360","1331","74","906","70","976","","0","906","70","976","16","960","82","96","36","714","10","18","4","29.10.12"
"260140","85","Івано-Франківська область","Народний дім, актовий зал
вул.Чорновола, 32, с.Мединя, Галицький р-н, Івано-Франківська обл., 77163","1192","393","1184","39","761","38","799","","0","761","38","799","21","778","64","97","78","501","9","17","12","28.10.12"
"260154","85","Івано-Франківська область","сільський клуб, актовий зал
вул.Центральна, 110А, с.Сапогів, Галицький р-н, Івано-Франківська обл., 77165","328","108","318","12","208","12","220","","0","208","12","220","6","214","56","32","33","86","0","3","4","28.10.12"
"260276","85","Івано-Франківська область","народний дім, актова зала
вул.Тараса Шевченка, 6, с.Боднарів, Калуський р-н, Івано-Франківська обл., 77350","1968","592","1954","93","1306","70","1376","","0","1306","70","1376","47","1329","82","164","123","865","55","15","25","29.10.12"
"260277","85","Івано-Франківська область","народний дім, фойє
вул.Тараса Шевченка, 92, с.Верхня, Калуський р-н, Івано-Франківська обл., 77324","2056","708","2029","58","1293","55","1348","","0","1293","55","1348","23","1325","40","382","53","804","12","29","5","29.10.12"
"260278","85","Івано-Франківська область","народний дім, актова зала
вул.Тараса Шевченка, 43, с.Вістова, Калуський р-н, Івано-Франківська обл., 77351","976","277","960","48","655","44","699","","0","655","44","699","15","684","92","126","72","324","16","44","10","29.10.12"
"260279","85","Івано-Франківська область","народний дім, актова зала
вул.Тараса Шевченка, 62, с.Бабин-Зарічний, Калуський р-н, Івано-Франківська обл., 77351","168","24","164","15","129","15","144","","0","129","15","144","5","139","24","19","18","74","0","4","0","02.11.12"
"260280","85","Івано-Франківська область","народний дім, фойє
вул.Тараса Шевченка, 127, смт Войнилів, Калуський р-н, Івано-Франківська обл., 77312","2032","826","2000","85","1128","78","1206","","0","1128","78","1206","48","1158","93","155","83","714","45","61","7","29.10.12"
"260281","85","Івано-Франківська область","школа, актова зала
вул.Василя Стефаника, 11, с.Довпотів, Калуський р-н, Івано-Франківська обл., 77315","624","230","618","53","342","52","394","","0","342","52","394","9","385","57","47","15","236","7","21","2","29.10.12"
"260282","85","Івано-Франківська область","народний дім, глядацька зала
вул.40 років Перемоги, 36, с.Середня, Калуський р-н, Івано-Франківська обл., 77312","368","132","362","19","217","19","236","","0","217","19","236","8","228","38","14","18","107","47","3","1","29.10.12"
"260283","85","Івано-Франківська область","народний дім, зала для виступів
вул.Гаврилюка, 15, с.Дубовиця, Калуський р-н, Івано-Франківська обл., 77312","360","119","353","25","216","25","241","","0","216","25","241","7","234","28","11","15","158","11","10","1","29.10.12"
"260284","85","Івано-Франківська область","школа, актова зала
вул.Коновальця, 13, с.Голинь, Калуський р-н, Івано-Франківська обл., 77343","1952","810","1936","81","1063","79","1142","","0","1063","79","1142","35","1107","75","133","69","717","13","97","3","29.10.12"
"260285","85","Івано-Франківська область","народний дім, актова зала
вул.600-річчя Голиня, 18, Калуський р-н, Івано-Франківська обл., 77343","2128","797","2115","62","1273","58","1331","","0","1273","58","1331","30","1299","105","156","69","818","9","135","7","29.10.12"
"260286","85","Івано-Франківська область","народний дім, зала для виступів
вул.Степана Бандери, 16, с.Добровляни, Калуський р-н, Івано-Франківська обл., 77361","1208","318","1196","44","848","42","890","","0","848","42","890","17","873","76","126","73","553","10","26","9","29.10.12"
"260287","85","Івано-Франківська область","школа, актова зала
вул.Тараса Шевченка, 56А, с.Довгий Войнилів, Калуський р-н, Івано-Франківська обл., 77320","1032","370","1021","56","606","56","662","","0","606","56","662","12","650","41","104","54","403","10","31","7","28.10.12"
"260288","85","Івано-Франківська область","народний дім, фойє
вул.Івана Франка, 76А, с.Завадка, Калуський р-н, Івано-Франківська обл., 77323","1368","538","1345","91","739","91","830","","0","739","91","830","32","798","67","130","57","469","13","53","9","28.10.12"
