"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Арнаутов
Євген
Павлович","Безверха
Юлія
Михайлівна","Брусенцов
Олександр
Сергійович","Войцех
Дмитро
Петрович","Гавриленко
Роман
Павлович","Гончаренко
Дмитро
Володимирович","Дмитерко
Михайло
Юрійович","Доротич
Сергій
Іванович","Дубовик
Максим
Вікторович","Зоря
Іван
Іванович","Калуга
Володимир
Федорович","Кандиба
Сергій
Володимирович","Королюк
Сергій
Віталійович","Костюк
Ольга
Василівна","Кутовий
Вячеслав
Григорович","Лобас
Ксенія
Миколаївна","Маляренко
Ярослав
Олександрович","Мамонтов
Ігор
Олександрович","Медведєв
Андрій
Олексійович","Мельник
Петро
Володимирович","Мусієнко
Денис
Володимирович","Невгод
Олександр
Олександрович","Нечаєв
Володимир
Євгенійович"
"320559","95","Київська область","школа №2, фойє
вул.Леніна, 97, с.Білогородка, Києво-Святошинський р-н, Київська обл., 08140","2280","1204","2272","7","1069","7","1076","","0","1069","7","1076","50","1026","4","12","2","42","5","4","4","27","2","2","4","3","36","10","366","3","6","6","14","157","3","3",""
"320560","95","Київська область","будинок культури, зал
вул.Леніна, 60, с.Білогородка, Києво-Святошинський р-н, Київська обл., 08140","2460","1096","2440","11","1356","8","1364","","0","1356","8","1364","39","1325","5","13","2","123","3","5","1","68","7","5","2","6","31","1","389","0","2","2","23","182","1","2",""
"320561","95","Київська область","будинок культури, зал
вул.Щорса, 23, с.Шевченкове, Києво-Святошинський р-н, Київська обл., 08140","1158","461","1155","15","684","13","697","","0","684","13","697","30","667","9","3","3","27","2","3","0","7","0","0","5","4","14","5","276","2","1","3","10","84","3","0",""
"320563","95","Київська область","коледж, їдальня
вул.Сільгосптехнікум, 2, м.Боярка, Києво-Святошинський р-н, Київська обл., 08150","459","161","298","0","298","0","298","","0","298","0","298","10","288","0","1","1","27","1","0","0","0","1","0","0","2","26","0","76","2","0","1","5","59","1","0",""
"320564","95","Київська область","зал
вул.Шевченка, 82, м.Боярка, Києво-Святошинський р-н, Київська обл., 08150","1605","720","1608","0","885","0","885","","0","885","0","885","29","856","4","2","1","44","1","1","2","9","0","2","1","2","40","1","205","0","2","2","18","109","0","3",""
"320565","95","Київська область","навчально-виробничий комбінат, їдальня
вул.Самійленка, 2, м.Боярка, Києво-Святошинський р-н, Київська обл., 08150","1335","672","1325","0","663","0","663","","0","663","0","663","30","633","0","2","2","39","2","2","2","6","2","1","2","1","27","0","216","1","1","1","11","62","1","0",""
"320566","95","Київська область","санітарно-епідеміологічна станція, актова зала
вул.Вокзальна, 2, м.Боярка, Києво-Святошинський р-н, Київська обл., 08150","1092","440","1103","14","639","13","652","","0","639","13","652","29","623","1","1","1","35","1","2","2","24","2","2","1","2","25","0","171","3","0","1","8","97","2","1",""
"320567","95","Київська область","школа №2, фойє
вул.Жовтнева, 49, м.Боярка, Києво-Святошинський р-н, Київська обл., 08150","1437","632","1444","5","800","5","805","","0","800","5","805","22","783","2","3","2","45","1","1","1","7","1","0","3","4","40","2","268","2","0","0","15","72","1","0",""
"320568","95","Київська область","школа №1, їдальня
вул.Лисенка, 11/23, м.Боярка, Києво-Святошинський р-н, Київська обл., 08150","1122","391","1123","6","725","6","731","","0","725","6","731","20","711","4","5","1","47","3","1","0","14","1","3","3","1","32","2","213","0","0","2","8","94","1","3",""
"320569","95","Київська область","бібліотека, фойє
вул.Молодіжна, 77, м.Боярка, Києво-Святошинський р-н, Київська обл., 08153","2388","1023","2368","11","1354","11","1365","","0","1354","11","1365","40","1324","3","3","1","50","0","1","2","15","4","4","4","11","102","1","418","2","2","1","53","155","4","4",""
"320570","95","Київська область","ЦТМ ""Оберіг"", актова зала
вул.Білогородська, 23, м.Боярка, Києво-Святошинський р-н, Київська обл., 08150","2403","1077","2379","4","1323","3","1326","","0","1323","3","1326","36","1290","3","6","1","47","3","3","3","16","3","8","2","11","70","9","434","2","4","1","35","153","3","3",""
"320571","95","Київська область","школа №3, їдальня
вул.Леніна, 62, м.Боярка, Києво-Святошинський р-н, Київська обл., 08150","2370","1026","2373","4","1341","3","1344","","0","1341","3","1344","34","1310","2","2","2","91","1","7","2","18","0","4","2","5","83","5","414","2","0","3","42","109","5","4",""
"320572","95","Київська область","дитячо-юнацька спортивна школа, спортивний зал
вул.Молодіжна, 76, м.Боярка, Києво-Святошинський р-н, Київська обл., 08153","2505","1180","2501","4","1321","4","1325","","0","1321","4","1325","40","1285","3","4","2","81","3","6","0","9","3","5","3","7","60","5","452","5","0","2","49","118","1","5",""
"320573","95","Київська область","гімназія, фойє
вул.Сєдова, 7, м.Боярка, Києво-Святошинський р-н, Київська обл., 08150","2466","1068","2481","5","1393","5","1398","","0","1393","5","1398","47","1351","3","2","0","40","1","3","3","8","0","4","4","2","68","4","493","4","0","5","58","125","4","3",""
"320574","95","Київська область","міське виробниче управління житлово-комунального господарства, актова зала
вул.Леніна, 30, м.Боярка, Києво-Святошинський р-н, Київська обл., 08150","2142","1013","2172","12","1117","12","1129","","0","1117","12","1129","32","1097","2","3","1","53","2","4","1","19","0","8","2","5","53","8","387","2","0","1","56","112","5","0",""
"320575","95","Київська область","школа №5, їдальня
вул.Б.Хмельницького, 57А, м.Боярка, Києво-Святошинський р-н, Київська обл., 08150","2475","1037","2489","15","1424","14","1438","","0","1424","14","1438","44","1394","3","1","2","53","1","4","4","35","1","4","2","3","87","4","462","5","2","2","47","146","7","1",""
"320576","95","Київська область","гуртожиток міського виробничого управління житлово-комунального господарства, актова зала
вул.Молодіжна, 12/2, м.Боярка, Києво-Святошинський р-н, Київська обл., 08153","2406","1117","2390","6","1283","6","1289","","1","1282","6","1288","56","1232","2","4","2","57","0","9","2","14","1","2","4","8","44","5","397","2","1","3","41","120","1","6",""
"320577","95","Київська область","школа №4, фойє, 2-й поверх
вул.Дзержинського, 28, м.Боярка, Києво-Святошинський р-н, Київська обл., 08150","2514","1121","2519","15","1379","14","1393","","0","1379","14","1393","39","1354","6","4","4","77","3","4","4","9","5","8","3","2","55","13","395","2","2","3","47","124","9","1",""
"320583","95","Київська область","школа №3, фойє
вул.Святошинська, 46, м.Вишневе, Києво-Святошинський р-н, Київська обл., 08132","2163","1000","2155","2","1161","2","1163","","0","1161","2","1163","47","1116","3","3","2","46","5","9","1","2","2","6","2","10","8","6","324","5","1","1","25","157","15","1",""
"320584","95","Київська область","Український науково-дослідницький інститут промисловості, актова зала
вул.Святошинська, 29, м.Вишневе, Києво-Святошинський р-н, Київська обл., 08132","2379","984","2374","4","1391","4","1395","","0","1391","4","1395","41","1354","2","5","4","47","3","11","0","12","3","2","1","4","10","7","398","3","1","2","48","299","12","2",""
"320585","95","Київська область","школа №3, спортивний зал
вул.Святошинська, 44, м.Вишневе, Києво-Святошинський р-н, Київська обл., 08132","2157","847","2157","4","1307","3","1310","","0","1307","3","1310","30","1280","1","4","0","43","2","4","3","4","4","3","2","8","6","7","447","3","0","0","40","143","6","2",""
"320586","95","Київська область","дитячо-юнацька спортивна школа, спортивний зал
вул.Машинобудівників, 3, м.Вишневе, Києво-Святошинський р-н, Київська обл., 08132","2109","827","2122","5","1277","5","1282","","0","1275","5","1280","28","1252","3","4","0","37","2","13","5","3","1","3","2","2","10","3","288","1","0","1","13","292","2","0",""
"320587","95","Київська область","школа №4, фойє, права сторона
вул.Машинобудівників, 3, м.Вишневе, Києво-Святошинський р-н, Київська обл., 08132","2163","778","2184","4","1381","4","1385","","0","1381","4","1385","28","1357","3","10","1","52","1","18","1","9","0","1","3","5","5","2","417","4","3","1","21","194","10","1",""
"320588","95","Київська область","школа №4, фойє, ліва сторона
вул.Машинобудівників, 3, м.Вишневе, Києво-Святошинський р-н, Київська обл., 08132","1923","708","1925","1","1214","1","1215","","0","1214","1","1215","35","1180","1","5","0","35","1","10","2","2","3","3","4","4","10","3","352","1","0","0","30","123","7","1",""
"320589","95","Київська область","відділ реєстрації актів цивільного стану, актова зала, 2-й поверх
вул.Жовтнева, 27, м.Вишневе, Києво-Святошинський р-н, Київська обл., 08132","1704","633","1706","3","1068","3","1071","","0","1068","3","1071","25","1046","5","1","1","34","1","12","2","11","2","0","3","8","3","2","217","1","0","1","11","333","7","0",""
"320590","95","Київська область","школа №2, фойє, ліва сторона
вул.Остапа Вишні, 2, м.Вишневе, Києво-Святошинський р-н, Київська обл., 08132","2124","885","2109","6","1233","6","1239","","0","1233","6","1239","38","1201","4","2","0","47","4","12","2","15","2","2","2","3","6","4","369","3","1","2","30","129","10","0",""
"320591","95","Київська область","будинок дитячої творчості, актова зала
вул.Зелена, 8, м.Вишневе, Києво-Святошинський р-н, Київська обл., 08132","2136","922","2135","7","1208","6","1214","","0","1205","6","1211","42","1169","3","2","2","38","2","14","3","10","1","5","5","11","6","2","399","6","2","1","20","121","7","3",""
"320592","95","Київська область","школа №2, фойє, права сторона
вул.Остапа Вишні, 2, м.Вишневе, Києво-Святошинський р-н, Київська обл., 08132","2454","1163","2440","5","1288","3","1291","","0","1288","3","1291","54","1237","1","7","1","23","3","10","0","5","1","3","1","6","10","6","456","3","2","4","32","124","10","1",""
"320593","95","Київська область","""Агропромбуд індустрія"", актова зала
вул.Святоюріївська, 20, м.Вишневе, Києво-Святошинський р-н, Київська обл., 08132","2307","1050","2298","11","1246","11","1257","","0","1246","11","1257","21","1236","6","4","1","36","2","10","1","3","1","1","2","3","5","7","175","2","0","0","11","348","3","3",""
"320594","95","Київська область","школа №1, їдальня
вул.Червоноармійська, 9, м.Вишневе, Києво-Святошинський р-н, Київська обл., 08132","2169","872","2173","0","1297","0","1297","","0","1297","0","1297","15","1282","2","5","2","24","2","4","0","0","2","2","1","0","6","3","131","0","0","1","10","471","3","0",""
"320595","95","Київська область","школа №1, фойє
вул.Червоноармійська, 9, м.Вишневе, Києво-Святошинський р-н, Київська обл., 08132","2397","949","2416","2","1446","2","1448","","0","1446","2","1448","28","1420","5","11","1","42","1","6","1","4","1","2","5","2","7","4","454","3","1","2","39","136","8","4",""
"320596","95","Київська область","школа №1, спортивний зал
вул.Червоноармійська, 9, м.Вишневе, Києво-Святошинський р-н, Київська обл., 08132","2319","1086","2332","9","1224","9","1233","","0","1224","9","1233","56","1177","6","6","3","66","3","8","1","9","2","1","1","10","10","5","340","0","0","1","35","113","4","0",""
"320599","95","Київська область","будинок культури, актова зала
вул.Леніна, 203, с.Гореничі, Києво-Святошинський р-н, Київська обл., 08114","2127","844","2123","11","1273","10","1283","","0","1273","10","1283","44","1239","5","6","3","123","2","9","1","19","4","1","3","6","7","5","440","3","0","5","23","166","6","1",""
"320600","95","Київська область","сільський клуб, фойє
вул.Шевченка, 24Б, с.Лука, Києво-Святошинський р-н, Київська обл., 08114","822","346","822","31","445","31","476","","0","445","31","476","23","453","2","3","0","54","3","0","3","11","0","0","0","4","3","2","198","1","0","0","6","70","1","0",""
"320601","95","Київська область","Ірпінське міжрайонне управління водного господарства, актова зала
вул.21 км Житомирського шосе, Ірпінське міжрайонне управління водного господарства, с.Стоянка, Києво-Святошинський р-н, Київська обл., 08144","345","96","350","11","238","11","249","","0","238","11","249","9","240","2","3","1","10","3","2","0","3","0","0","1","2","3","2","67","0","0","0","11","40","0","1",""
"320602","95","Київська область","школа, фойє
вул.Київська, 66, с.Горенка, Києво-Святошинський р-н, Київська обл., 08105","2154","1113","2139","30","1015","26","1041","","0","1015","26","1041","63","978","6","11","3","30","1","4","3","4","6","1","1","5","8","2","319","3","0","2","29","98","2","0",""
"320603","95","Київська область","сільська рада, актова зала, 2-й поверх
вул.Леніна, 125А, с.Горенка, Києво-Святошинський р-н, Київська обл., 08105","1980","1093","1973","11","876","11","887","","0","0","0","887","34","853","8","4","4","63","1","2","2","6","0","8","5","6","4","5","202","4","2","1","18","61","3","1",""
"320604","95","Київська область","сільський клуб, кінозал, 2-й поверх
вул.Леніна, 2, с.Мощун, Києво-Святошинський р-н, Київська обл., 08106","582","259","592","8","318","5","323","","0","318","5","323","21","302","2","3","4","48","0","0","1","0","0","1","0","1","3","0","59","2","0","0","3","36","3","1",""
"320605","95","Київська область","будинок культури, фойє
вул.Садова, 2А, с.Дмитрівка, Києво-Святошинський р-н, Київська обл., 08112","1920","654","1919","11","1256","10","1266","","0","1256","10","1266","30","1236","3","5","2","105","4","6","1","13","2","5","4","4","4","4","411","3","0","2","15","210","3","1",""
"320606","95","Київська область","бібліотека, 1-й поверх
вул.Комарова, 38, с.Мила, Києво-Святошинський р-н, Київська обл., 08112","1011","399","1011","7","605","7","612","","0","0","0","612","19","593","3","1","2","31","1","2","1","4","1","3","2","4","2","1","171","3","0","4","11","93","2","0",""
"320610","95","Київська область","КП ""Благоустрій Крюківщини"", фойє
вул.Балукова, 10, с.Крюківщина, Києво-Святошинський р-н, Київська обл., 08136","1848","794","1831","5","1049","5","1054","","0","1049","5","1054","32","1022","2","3","2","44","1","9","1","5","2","0","0","3","6","4","275","2","2","2","20","131","11","1",""
"320611","95","Київська область","сільська рада, фойє
вул.Мічуріна, 10А, с.Крюківщина, Києво-Святошинський р-н, Київська обл., 08136","1662","692","1662","3","967","3","970","","0","967","3","970","31","939","3","11","1","27","4","2","1","4","0","5","1","3","14","8","289","2","3","3","11","132","1","2",""
"320615","95","Київська область","сільський клуб, фойє
вул.Червоноармійська, 127, с.Мироцьке, Києво-Святошинський р-н, Київська обл., 08104","969","323","967","48","608","38","646","","0","608","38","646","22","624","1","3","2","51","2","3","0","2","0","3","0","21","2","2","98","5","2","1","6","255","2","2",""
"320616","95","Київська область","школа, фойє
вул.Пролетарська, 25Б, с.Михайлівка-Рубежівка, Києво-Святошинський р-н, Київська обл., 08110","2241","1079","2229","22","1141","21","1162","","0","1141","21","1162","51","1111","1","1","3","200","2","3","2","14","0","6","5","10","6","0","323","1","2","3","19","240","0","0",""
"320619","95","Київська область","школа, спортивний зал
вул.Петровського, 123, с.Петрівське, Києво-Святошинський р-н, Київська обл., 08141","2331","969","2348","19","1347","15","1362","","0","1347","15","1362","40","1322","4","12","4","53","4","4","3","27","2","2","8","10","9","6","413","3","3","2","24","236","9","0",""
"320620","95","Київська область","школа, фойє
вул.Леніна, 32, с.Петропавлівська Борщагівка, Києво-Святошинський р-н, Київська обл., 08130","1974","930","1980","4","1040","4","1044","","0","1040","4","1044","61","983","4","3","5","30","3","7","1","62","1","5","5","3","7","8","333","2","0","1","20","127","2","1",""
"320621","95","Київська область","школа, спортивна зала
вул.Леніна, 32, с.Петропавлівська Борщагівка, Києво-Святошинський р-н, Київська обл., 08130","2178","960","2170","5","1213","5","1218","","0","0","0","1218","41","1177","6","13","0","61","3","12","0","49","1","3","2","5","10","12","395","3","0","0","22","125","4","2",""
"320622","95","Київська область","сільська рада, фойє
вул.Ярослава Мудрого, 1А, с.Петропавлівська Борщагівка, Києво-Святошинський р-н, Київська обл., 08130","1128","488","1148","7","633","7","640","","0","633","7","640","20","620","2","2","0","12","2","3","1","28","1","2","3","4","5","0","216","4","2","3","8","73","3","1",""
"320623","95","Київська область","сільський клуб, фойє
вул.Лобановського, 21, с.Чайки, Києво-Святошинський р-н, Київська обл., 08130","1497","664","1532","1","832","1","833","","0","832","1","833","27","806","5","5","1","24","3","5","1","10","1","2","9","4","15","4","225","2","1","8","16","90","5","0",""
"320625","95","Київська область","школа, фойє
пров.Шкільний, 8, с.Софіївська Борщагівка, Києво-Святошинський р-н, Київська обл., 08131","2118","922","2126","3","1193","3","1196","","0","0","0","1191","41","1150","3","3","2","46","3","10","2","17","6","5","5","2","13","8","370","0","3","0","25","250","7","1",""
"320626","95","Київська область","сільська рада, обрядова зала, 2-й поверх
пров.Шкільний, 5, с.Софіївська Борщагівка, Києво-Святошинський р-н, Київська обл., 08131","2187","1081","2201","5","1101","5","1106","","0","1101","5","1106","20","1086","0","0","0","6","0","1","0","15","0","2","0","2","1","0","141","0","0","0","0","669","0","1",""
"320627","95","Київська область","медична амбулаторія, фойє
вул.Леніна, 53Б, с.Софіївська Борщагівка, Києво-Святошинський р-н, Київська обл., 08131","2301","954","2309","4","1343","4","1347","","0","1343","4","1347","17","1330","5","3","0","26","0","7","0","9","5","6","4","4","4","4","312","1","0","0","2","723","1","1",""
"320641","95","Київська область","Сільський клуб, фойє
вул.Шкільна 3, с.Михайлівка-Рубежівка, Києво-Святошинський р-н, Київська обл., 08110","498","244","512","5","249","5","254","","0","249","5","254","6","248","0","3","0","30","0","0","0","23","0","5","0","0","0","1","50","0","2","1","7","46","0","0",""
"320643","95","Київська область","центральна районна лікарня, фойє
вул.40 років Жовтня, 51, м.Боярка, Києво-Святошинський р-н, Київська обл., 08150","447","360","91","8","80","7","87","","0","80","7","87","0","87","0","0","0","3","1","0","0","0","0","0","1","1","8","0","3","0","0","0","0","56","0","0",""
"320644","95","Київська область","міська лікарня, фойє
вул.Машинобудівників, 7, м.Вишневе, Києво-Святошинський р-н, Київська обл., 08132","102","25","114","2","75","2","77","","0","75","2","77","1","76","0","0","0","3","0","4","0","0","0","0","0","0","0","0","8","0","0","1","2","27","0","0",""
"321289","95","Київська область","школа №3, фойє
вул.Жовтнева, 129А, м.Ірпінь, Київська обл., 08200","2205","949","2210","10","1248","8","1256","","0","1248","8","1256","44","1212","5","5","14","201","2","3","0","4","0","1","4","13","1","3","254","1","7","3","14","213","2","1",""
"321290","95","Київська область","дитячий спортивно-оздоровчий комплекс ім.Гагаріна, їдальня
вул.Ломоносова, 28, м.Ірпінь, Київська обл., 08200","2277","1042","2284","17","1221","14","1235","","0","1221","14","1235","20","1215","0","4","4","219","3","1","0","0","1","4","2","5","1","0","333","2","7","2","33","209","1","1",""
"321291","95","Київська область","школа №3, спортзал 2, 1-й поверх
вул.Жовтнева, 129А, м.Ірпінь, Київська обл., 08200","2319","1046","2316","9","1264","9","1273","","0","1264","9","1273","36","1237","2","6","19","314","1","0","0","4","1","1","2","7","2","2","267","2","12","4","13","192","3","0",""
"321292","95","Київська область","будинок культури, фойє
вул.74 стрілецької дивізії, 1, м.Ірпінь, Київська обл., 08200","2136","811","2129","10","1317","8","1325","","0","1317","8","1325","38","1287","3","5","3","139","2","0","1","6","0","3","2","7","8","7","362","2","29","5","45","280","0","2",""
"321293","95","Київська область","будинок творчості письменників, фойє
вул.Михайла Стельмаха, 10, м.Ірпінь, Київська обл., 08200","2154","872","2145","11","1272","10","1282","","0","1272","10","1282","26","1256","0","5","12","133","1","0","1","0","0","8","4","7","1","3","371","0","2","0","26","300","3","2",""
"321294","95","Київська область","школа №2, хол, 1-й поверх
вул.Тургенівська, 25, м.Ірпінь, Київська обл., 08200","2229","978","2218","3","1248","3","1251","","0","1244","3","1247","21","1226","3","7","8","81","0","3","3","3","1","4","3","7","4","3","293","3","4","1","30","442","1","0",""
"321295","95","Київська область","школа №1, фойє, 1-й поверх
вул.Тургенівська, 17, м.Ірпінь, Київська обл., 08200","2481","1117","2461","9","1357","7","1364","","0","1357","7","1364","45","1319","5","7","3","180","4","2","0","2","1","3","0","9","2","1","305","0","8","2","41","310","3","1",""
"321296","95","Київська область","школа №12, спортзал, 1-й поверх
вул.академіка З.Алієвої, 64, м.Ірпінь, Київська обл., 08200","2244","890","2230","8","1348","6","1354","","0","1348","6","1354","28","1326","1","4","4","113","2","2","0","1","2","2","2","10","3","1","397","3","8","2","29","352","0","0",""
"321297","95","Київська область","бібліотека, фойє
вул.Т.Шевченка, 3А, м.Ірпінь, Київська обл., 08200","2250","824","2243","11","1418","8","1426","","0","0","0","1426","43","1383","1","6","3","112","0","0","2","2","1","5","1","1","2","6","367","8","8","0","42","398","1","1",""
"321298","95","Київська область","Ірпінський економічний коледж, фойє, 1-й поверх
вул.Гагаріна, 9, м.Ірпінь, Київська обл., 08200","2304","968","2287","12","1327","9","1336","","0","1327","9","1336","43","1293","1","3","3","79","0","1","1","2","1","5","6","1","3","2","317","3","7","0","49","301","1","1",""
"321299","95","Київська область","Українське лісовпорядне виробниче об’єднання, фойє, 1-й поверх
вул.Пролетарська, 22-24, м.Ірпінь, Київська обл., 08200","2394","924","2375","12","1458","12","1470","","0","1458","12","1470","46","1424","0","11","3","107","1","2","2","1","0","7","3","4","3","4","445","0","2","2","47","321","1","0",""
"321300","95","Київська область","Національний університет державної податкової служби України, спортзал
вул.Карла Маркса, 31, м.Ірпінь, Київська обл., 08200","2154","778","2131","6","1370","6","1376","","0","1370","6","1376","10","1366","1","5","4","48","0","1","0","2","1","1","0","2","1","2","148","3","3","1","10","952","0","1",""
