"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балога
Віктор
Іванович","Гулачі
Гейза
Людвигович","Ільтьо
Сергій
Васильович","Ланьо
Олександр
Олександрович","Ленд’єл
Золтан
Золтанович","Переста
Олександр
Михайлович","Федака
Павло
Павлович","Шевченко
Віктор
Федорович","Шутко
Вячеслав
Ласлович","Дата підписання протоколу"
"210003","69","Закарпатська область","будинок культури, актова зала, 1-й поверх
вул.Каштей, 7, с.Батрадь, Берегівський р-н, Закарпатська обл., 90213","1376","874","1362","22","483","19","502","","0","483","19","502","22","480","97","152","7","17","5","15","1","10","176","29.10.12"
"210004","69","Закарпатська область","будинок культури, актова зала
вул.Кошута, 128, смт Батьово, Берегівський р-н, Закарпатська обл., 90212","2232","1265","2211","40","933","34","967","","0","933","34","967","34","933","245","405","8","36","16","62","8","23","130","29.10.12"
"210005","69","Закарпатська область","школа, вестибюль, 1-й поверх
вул.Жовтнева, 1, с.Горонглаб, Берегівський р-н, Закарпатська обл., 90213","568","236","563","32","300","32","332","","0","300","32","332","8","324","71","139","1","5","2","7","2","6","91","29.10.12"
"210012","69","Закарпатська область","школа, спортивна зала, 1-й поверх
вул.Шкільна, 1, с.Велика Бийгань, Берегівський р-н, Закарпатська обл., 90232","1408","839","1394","59","521","48","569","","0","521","48","569","28","541","106","295","1","9","4","17","2","4","103","28.10.12"
"210013","69","Закарпатська область","школа, їдальня
вул.Визволення, 65А, с.Мала Бийгань, Берегівський р-н, Закарпатська обл., 90232","976","568","974","39","377","31","408","","0","377","31","408","12","396","77","180","2","3","3","4","2","13","112","28.10.12"
"210015","69","Закарпатська область","школа, їдальня, 1-й поверх
вул.Садова, 1А, с.Гать, Берегівський р-н, Закарпатська обл., 90231","2216","1327","2196","68","839","50","889","","0","839","50","889","57","832","158","163","10","13","6","19","6","9","448","29.10.12"
"210017","69","Закарпатська область","будинок культури, актова зала
вул.Мункачі, 11, с.Гут, Берегівський р-н, Закарпатська обл., 90230","1024","562","1014","31","440","22","462","","0","440","22","462","12","450","160","223","1","2","2","4","1","2","55","29.10.12"
"210019","69","Закарпатська область","будинок культури, актова зала
вул.Головна, 163, с.Запсонь, Берегівський р-н, Закарпатська обл., 90224","1352","764","1343","21","567","21","588","","0","567","21","588","18","570","114","277","6","10","5","9","0","4","145","28.10.12"
"210021","69","Закарпатська область","будинок культури, актова зала
вул.Бочкаї, 3, с.Косонь, Берегівський р-н, Закарпатська обл., 90223","1792","986","1776","57","756","50","806","","0","756","50","806","37","769","134","364","6","7","7","18","5","22","206","29.10.12"
"210029","69","Закарпатська область","будинок культури, фойє
вул.Косонська, 10, с.Попово, Берегівський р-н, Закарпатська обл., 90221","864","556","854","44","279","29","308","","0","279","29","308","17","291","56","102","1","1","0","5","0","4","122","28.10.12"
"210030","69","Закарпатська область","будинок культури, актова зала
вул.Миру, 198, с.Гетен, Берегівський р-н, Закарпатська обл., 90222","560","359","556","16","185","16","201","","0","185","16","201","8","193","54","66","1","0","1","3","0","1","67","28.10.12"
"210031","69","Закарпатська область","будинок культури, актова зала
вул.Петефі, 2, с.Рафайново, Берегівський р-н, Закарпатська обл., 90225","736","296","726","12","428","12","440","","0","428","12","440","19","421","215","102","1","0","2","7","3","3","88","28.10.12"
"210032","69","Закарпатська область","будинок культури, актова зала
вул.Миру, 51, с.Свобода, Берегівський р-н, Закарпатська обл., 90210","2248","1139","2222","77","1035","74","1109","","0","1035","74","1109","31","1078","571","233","2","56","10","95","7","27","77","29.10.12"
"210035","69","Закарпатська область","школа, їдальня
вул.Садова, 2, с.Шом, Берегівський р-н, Закарпатська обл., 90220","1104","414","1096","53","637","53","690","","0","637","53","690","33","657","98","194","2","9","4","14","3","17","316","29.10.12"
"210172","69","Закарпатська область","сільський клуб, зала
55, с.Собатин, м.Іршава, Іршавський р-н, Закарпатська обл., 90100","528","368","519","12","148","12","160","","0","148","12","160","16","144","91","3","3","10","2","6","2","7","20","28.10.12"
"210173","69","Закарпатська область","будинок культури, мала зала
189, с.Лисичово, Іршавський р-н, Закарпатська обл., 90150","2080","1531","2061","20","536","13","549","","0","536","13","549","26","523","393","10","3","24","1","45","0","8","39","28.10.12"
