"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гриценко
Євгеній
Антонович","Коваль
Іван
Михайлович","Кулик
Олександр
Васильович","Кулічковський
Дмитро
Романович","Лелюк
Олексій
Володимирович","Река
Андрій
Олександрович","Таран
Віталій
Валентинович","Дата підписання протоколу"
"530243","149","Полтавська область","будинок культури, фойє
вул.Леніна, 95, м.Карлівка, Карлівський р-н, Полтавська обл., 39500","2208","1093","2154","39","1080","35","1115","","0","1080","35","1115","26","1089","40","127","153","4","304","449","12","29.10.12"
"530244","149","Полтавська область","школа №1, корпус №2, фойє
вул.Леніна, 44/2, м.Карлівка, Карлівський р-н, Полтавська обл., 39500","1896","924","1895","26","948","24","972","","0","948","24","972","23","949","42","136","183","9","232","336","11","29.10.12"
"530245","149","Полтавська область","гімназія імені Ніни Герасименко, фойє
вул.Ілліча, 1, м.Карлівка, Карлівський р-н, Полтавська обл., 39500","2168","1261","2147","32","882","25","907","","0","882","25","907","31","876","46","94","88","8","245","386","9","28.10.12"
"530246","149","Полтавська область","Машинобудівний завод, актовий зал
пров.Пархоменка, 2, м.Карлівка, Карлівський р-н, Полтавська обл., 39500","2088","1189","2061","23","879","20","899","","0","879","20","899","21","878","53","89","125","16","249","331","15","29.10.12"
"530247","149","Полтавська область","школа №3, фойє
вул.Промислова, 43, м.Карлівка, Карлівський р-н, Полтавська обл., 39500","2512","1491","2485","30","993","28","1021","","0","993","28","1021","25","996","62","141","131","12","312","316","22","29.10.12"
"530248","149","Полтавська область","ДП ""Жовтневий спиртозавод"", фойє
вул.Полтавська, 4, м.Карлівка, Карлівський р-н, Полтавська обл., 39500","1656","1086","1620","26","545","25","570","","0","545","25","570","17","553","46","165","61","4","157","113","7","28.10.12"
"530249","149","Полтавська область","школа №4, фойє
вул.Коцюбинського, 45, м.Карлівка, Карлівський р-н, Полтавська обл., 39500","2048","1139","2038","24","885","24","909","","0","885","24","909","15","894","76","118","115","11","241","319","14","29.10.12"
"530250","149","Полтавська область","сільська рада, актовий зал
вул.Набережна, 1А, с-ще Голобородьківське, Карлівський р-н, Полтавська обл., 39508","1024","499","1003","84","445","80","525","","0","445","80","525","12","513","30","68","36","4","230","136","9","29.10.12"
"530251","149","Полтавська область","школа, спортзал
вул.Першотравнева, 3, с.Попівка, Карлівський р-н, Полтавська обл., 39523","992","539","979","45","409","44","453","","0","409","44","453","13","440","18","23","61","1","197","135","5","28.10.12"
"530252","149","Полтавська область","школа, фойє
вул.Поповича, 11, с.Попівка, Карлівський р-н, Полтавська обл., 39524","1232","599","1223","16","621","12","633","","0","621","12","633","21","612","30","34","58","13","213","260","4","28.10.12"
"530253","149","Полтавська область","будинок культури, фойє
вул.Молодіжна, 2, с.Нижня Ланна, Карлівський р-н, Полтавська обл., 39542","632","294","624","44","304","34","338","","0","304","34","338","7","331","19","26","97","7","119","58","5","28.10.12"
"530254","149","Полтавська область","будинок культури, фойє
вул.Жовтнева, 14, с-ще Ланна, Карлівський р-н, Полтавська обл., 39541","2448","1198","2406","54","1199","51","1250","","0","1199","51","1250","39","1211","80","78","96","17","639","283","18","29.10.12"
"530255","149","Полтавська область","фельдшерсько-акушерський пункт, кабінет медсестри
вул.Панаса Мирного, 3Б, с.Коржиха, Карлівський р-н, Полтавська обл., 39543","432","212","404","0","220","0","220","","0","220","0","220","10","210","7","5","7","13","123","52","3","28.10.12"
"530256","149","Полтавська область","будинок культури, фойє
вул.Леніна, 8А, с.Верхня Ланна, Карлівський р-н, Полтавська обл., 39540","680","301","666","22","358","21","379","","0","358","21","379","10","369","23","33","47","3","189","64","10","28.10.12"
"530257","149","Полтавська область","сільська рада, зал засідань
вул.Леніна, 48, с.Федорівка, Карлівський р-н, Полтавська обл., 39531","1528","764","1518","102","687","77","764","","0","687","77","764","25","739","29","58","131","5","259","245","12","29.10.12"
"530258","149","Полтавська область","будинок культури, зал
вул.Кооперативна, 14, с.Климівка, Карлівський р-н, Полтавська обл., 39532","944","401","938","78","467","76","543","","0","467","76","543","18","525","32","43","68","3","267","107","5","29.10.12"
"530259","149","Полтавська область","школа, фойє
вул.Жовтнева, 14, с.Лип’янка, Карлівський р-н, Полтавська обл., 39530","896","364","886","83","458","74","532","","0","458","74","532","7","525","30","205","29","6","153","94","8","29.10.12"
"530260","149","Полтавська область","школа, фойє
пл.Тельмана, 6, с.Варварівка, Карлівський р-н, Полтавська обл., 39512","1176","543","1162","55","581","52","633","","0","581","52","633","17","616","20","59","109","11","237","172","8","29.10.12"
"530261","149","Полтавська область","сільська рада, зал
вул.Чапаєва, 11, с.Білухівка, Карлівський р-н, Полтавська обл., 39511","728","292","724","46","392","44","436","","0","392","44","436","13","423","18","38","42","4","153","162","6","28.10.12"
"530262","149","Полтавська область","сільська рада, актовий зал
вул.Леніна, 1/11, с.Максимівка, Карлівський р-н, Полтавська обл., 39510","1048","532","1019","53","465","51","516","","0","465","51","516","17","499","42","34","74","1","192","152","4","29.10.12"
"530263","149","Полтавська область","школа, фойє
вул.Першотравнева, 17, с.Мар’янівка, Карлівський р-н, Полтавська обл., 39522","432","201","418","30","202","29","231","","0","202","29","231","9","222","11","22","28","3","104","53","1","28.10.12"
"530264","149","Полтавська область","школа, актовий зал
вул.Ватутіна, 14, с-ще Халтурине, Карлівський р-н, Полтавська обл., 39520","1216","596","1216","63","563","57","620","","0","563","57","620","21","599","45","131","96","14","249","55","9","29.10.12"
"530265","149","Полтавська область","будинок культури, зал
вул.Шевченка, 4, с-ще Красне, Карлівський р-н, Полтавська обл., 39521","488","255","477","13","220","13","233","","0","220","13","233","13","220","5","40","10","3","110","47","5","29.10.12"
"530266","149","Полтавська область","школа №2, фойє
вул.Пролетарська, 201, смт Білики, Кобеляцький р-н, Полтавська обл., 39220","632","285","632","66","285","62","347","","0","285","62","347","12","335","19","26","125","5","97","62","1","28.10.12"
"530267","149","Полтавська область","школа №4, фойє
вул.Марченка, 4Б, смт Білики, Кобеляцький р-н, Полтавська обл., 39220","744","340","745","60","348","56","404","","0","348","56","404","10","394","32","12","103","9","126","106","6","28.10.12"
"530268","149","Полтавська область","будинок культури, фойє
вул.Будівельна, 2А, смт Білики, Кобеляцький р-н, Полтавська обл., 39221","1536","736","1514","60","747","53","800","","0","747","53","800","30","770","49","32","244","13","180","236","16","29.10.12"
"530269","149","Полтавська область","музична школа, класна кімната
вул.Полтавська, 29, смт Білики, Кобеляцький р-н, Полтавська обл., 39220","856","439","851","69","363","54","417","","0","363","54","417","8","409","29","29","135","6","90","117","3","28.10.12"
"530270","149","Полтавська область","школа №3, фойє
вул.Леніна, 29, смт Білики, Кобеляцький р-н, Полтавська обл., 39221","528","239","520","48","241","48","289","","0","241","48","289","17","272","21","17","100","10","56","66","2","29.10.12"
"530271","149","Полтавська область","будинок культури, актова зала
вул.Шкільна, 42, с.Бродщина, Кобеляцький р-н, Полтавська обл., 39237","264","61","273","24","180","23","203","","0","180","23","203","4","199","8","7","60","2","66","56","0","28.10.12"
"530272","149","Полтавська область","сільський клуб, фойє
вул.Молодіжна, 12, с.Павлівка, Кобеляцький р-н, Полтавська обл., 39238","472","222","463","35","218","32","250","","0","218","32","250","4","246","17","8","123","7","62","24","5","28.10.12"
"530273","149","Полтавська область","будинок культури, фойє
вул.Полтавська, 111А, с.Бутенки, Кобеляцький р-н, Полтавська обл., 39213","648","300","635","42","310","38","348","","0","310","38","348","15","333","18","12","75","65","74","82","7","28.10.12"
"530274","149","Полтавська область","сільський клуб, зал
вул.Полтавська, 55, с.Бутенки, Кобеляцький р-н, Полтавська обл., 39213","1144","519","1129","73","552","73","625","","0","552","73","625","11","614","19","18","173","99","154","139","12","28.10.12"
"530275","149","Полтавська область","школа, фойє
вул.Дружби, 1, с.Бережнівка, Кобеляцький р-н, Полтавська обл., 39213","808","451","797","82","288","69","357","","0","288","69","357","8","349","14","14","75","37","102","95","12","28.10.12"
"530276","149","Полтавська область","школа, класна кімната
вул.Шкільна, 8, с.Сведловське, Кобеляцький р-н, Полтавська обл., 39213","256","96","256","39","122","38","160","","0","122","38","160","7","153","8","4","14","22","67","37","1","28.10.12"
"530277","149","Полтавська область","фельдшерсько-акушерський пункт, приймальня
вул.Центральна, 14, с.Котовське, Кобеляцький р-н, Полтавська обл., 39214","240","86","235","39","118","36","154","","0","118","36","154","2","152","7","2","32","19","61","28","3","28.10.12"
"530278","149","Полтавська область","школа, фойє
вул.Центральна, 1/2, с.Василівка, Кобеляцький р-н, Полтавська обл., 39270","400","166","394","53","182","52","234","","0","182","52","234","5","229","7","2","87","8","85","36","4","29.10.12"
"530279","149","Полтавська область","школа, фойє
вул.Центральна, 16, с.Мартинівка, Кобеляцький р-н, Полтавська обл., 39271","296","126","288","14","157","13","170","","0","157","13","170","5","165","12","9","44","6","62","30","2","28.10.12"
"530280","149","Полтавська область","сільська рада, зал засідань
вул.Миру, 29, с.Вільховатка, Кобеляцький р-н, Полтавська обл., 39272","536","206","523","46","285","45","330","","0","285","45","330","7","323","8","7","105","6","106","87","4","28.10.12"
"530281","149","Полтавська область","школа, фойє
вул.Перемоги, 5, с.Деменки, Кобеляцький р-н, Полтавська обл., 39274","360","124","354","29","209","27","236","","0","209","27","236","3","233","16","9","52","5","77","71","3","28.10.12"
"530282","149","Полтавська область","сільський клуб, актова зала
вул.Молодіжна, 15, с.Лівобережна Сокілка, Кобеляцький р-н, Полтавська обл., 39273","264","84","261","32","148","32","180","","0","148","32","180","2","178","15","0","56","4","68","32","3","28.10.12"
"530283","149","Полтавська область","сільська рада, зал засідань
вул.Миру, 8А, с.Григоро-Бригадирівка, Кобеляцький р-н, Полтавська обл., 39243","528","213","522","32","288","27","315","","0","288","27","315","14","301","33","6","96","11","79","74","2","28.10.12"
"530284","149","Полтавська область","школа, фойє
вул.Піонерська, 16, с.Солошине, Кобеляцький р-н, Полтавська обл., 39245","544","192","533","16","336","16","352","","0","336","16","352","8","344","37","7","90","5","114","85","6","28.10.12"
"530285","149","Полтавська область","школа, фойє
вул.Калініна, 76, с.Дашківка, Кобеляцький р-н, Полтавська обл., 39280","328","123","321","26","179","26","205","","0","179","26","205","6","199","11","4","78","7","62","32","5","28.10.12"
"530286","149","Полтавська область","сільський клуб, актова зала
вул.Покотило, 42, с.Шевченки, Кобеляцький р-н, Полтавська обл., 39280","328","123","322","22","183","22","205","","0","183","22","205","3","202","6","3","109","1","45","35","3","28.10.12"
"530287","149","Полтавська область","фельдшерсько-акушерський пункт, приймальня
вул.Степова, 14, с.Ревущине, Кобеляцький р-н, Полтавська обл., 39280","128","43","122","12","73","12","85","","0","73","12","85","2","83","4","0","11","1","54","13","0","28.10.12"
"530288","149","Полтавська область","школа, фойє
вул.Шкільна, 7, с.Дрижина Гребля, Кобеляцький р-н, Полтавська обл., 39212","512","175","509","70","270","67","337","","0","270","67","337","6","331","12","12","53","64","96","89","5","28.10.12"
"530289","149","Полтавська область","школа, фойє
вул.Лісова, 12, с.Жуки, Кобеляцький р-н, Полтавська обл., 39222","584","254","576","38","297","33","330","","0","297","33","330","11","319","7","54","96","12","74","71","5","29.10.12"
"530290","149","Полтавська область","сільська рада, зал засідань
вул.Вишнева, 1А, с.Мідянівка, Кобеляцький р-н, Полтавська обл., 39215","512","245","498","58","213","54","267","","0","213","54","267","7","260","15","13","82","3","82","63","2","29.10.12"
"530291","149","Полтавська область","сільська рада, зал засідань
вул.40-річчя Перемоги, 8, с.Іванівка, Кобеляцький р-н, Полтавська обл., 39233","768","303","757","60","409","56","465","","0","409","56","465","12","453","19","39","164","9","104","112","6","29.10.12"
"530292","149","Полтавська область","будинок культури, актова зала
вул.Центральна, 110, с.Канави, Кобеляцький р-н, Полтавська обл., 39235","496","145","482","55","302","49","351","","0","302","49","351","10","341","12","5","70","7","109","133","5","28.10.12"
"530293","149","Полтавська область","сільський клуб, актова зала
вул.Перемоги, 18Б, с.Кірове, Кобеляцький р-н, Полтавська обл., 39250","432","141","425","49","244","47","291","","0","244","47","291","6","285","4","6","130","7","65","69","4","28.10.12"
"530294","149","Полтавська область","фельдшерсько-акушерський пункт, хол
вул.Матросова, 30А, с.Перегонівка, Кобеляцький р-н, Полтавська обл., 39251","248","64","241","21","163","21","184","","0","163","21","184","7","177","13","1","51","4","54","51","3","28.10.12"
"530295","149","Полтавська область","сільський клуб, актова зала
вул.1 Травня, 16, с.Гарбузівка, Кобеляцький р-н, Полтавська обл., 39251","192","55","187","11","126","11","137","","0","126","11","137","2","135","4","1","20","7","63","38","2","28.10.12"
"530296","149","Полтавська область","навчально-виховний комплекс №1, фойє
вул.Кірова, 1/28, м.Кобеляки, Кобеляцький р-н, Полтавська обл., 39200","1656","786","1643","44","827","43","870","","0","827","43","870","19","851","30","12","383","29","162","225","10","28.10.12"
"530297","149","Полтавська область","будинок дитячої творчості, фойє
вул.Дніпропетровська, 18, м.Кобеляки, Кобеляцький р-н, Полтавська обл., 39200","1288","620","1274","37","634","34","668","","0","634","34","668","15","653","17","14","285","17","130","184","6","29.10.12"
"530298","149","Полтавська область","районний центр культури та дозвілля, фойє
вул.Касьяна, 26, м.Кобеляки, Кобеляцький р-н, Полтавська обл., 39200","1488","659","1463","41","795","34","829","","0","795","34","829","16","813","30","17","360","23","152","226","5","28.10.12"
"530299","149","Полтавська область","школа №3, класна кімната
вул.1 Травня, 43/2, м.Кобеляки, Кобеляцький р-н, Полтавська обл., 39200","1552","664","1541","43","850","38","888","","0","850","38","888","21","867","16","13","418","27","189","197","7","29.10.12"
"530300","149","Полтавська область","школа №2, фойє
вул.Шевченка, 34/37, м.Кобеляки, Кобеляцький р-н, Полтавська обл., 39200","1936","848","1926","37","1055","33","1088","","0","1055","33","1088","18","1070","25","31","507","32","183","283","9","29.10.12"
"530301","149","Полтавська область","лікарня ветмедицини, хол
вул.Пушкіна, 3, м.Кобеляки, Кобеляцький р-н, Полтавська обл., 39200","1376","616","1367","29","736","24","760","","0","736","24","760","19","741","21","21","309","19","159","208","4","29.10.12"
"530302","149","Полтавська область","сільська рада, зал засідань
вул.Леніна, 42, с.Комендантівка, Кобеляцький р-н, Полтавська обл., 39240","448","201","444","23","224","23","247","","0","224","23","247","8","239","29","9","57","5","62","74","3","29.10.12"
"530303","149","Полтавська область","фельдшерсько-акушерський пункт, фойє
пров.Дружби, 2, с.Криничне, Кобеляцький р-н, Полтавська обл., 39241","256","52","251","27","177","27","204","","0","177","27","204","0","204","20","17","54","4","69","37","3","28.10.12"
"530304","149","Полтавська область","школа, фойє
вул.Шкільна, 21, с.Дабинівка, Кобеляцький р-н, Полтавська обл., 39241","232","57","233","40","135","40","175","","0","135","40","175","3","172","13","7","63","7","48","31","3","28.10.12"
"530305","149","Полтавська область","сільський клуб, актова зала
вул.Жовтнева, 34, с.Красне, Кобеляцький р-н, Полтавська обл., 39236","752","265","737","104","388","99","487","","0","388","99","487","14","473","26","7","154","12","170","99","5","28.10.12"
"530306","149","Полтавська область","школа, фойє
вул.Першотравнева, 35, с.Кунівка, Кобеляцький р-н, Полтавська обл., 39224","800","415","770","84","318","67","385","","0","318","67","385","17","368","16","22","173","9","88","48","12","28.10.12"
"530307","149","Полтавська область","сільська рада, актова зала
вул.Пролетарська, 1, с.Лучки, Кобеляцький р-н, Полтавська обл., 39255","400","132","389","34","239","29","268","","0","239","29","268","4","264","10","14","115","1","87","37","0","29.10.12"
"530308","149","Полтавська область","сільський клуб, фойє
вул.Центральна, 1, с.Правобережна Сокілка, Кобеляцький р-н, Полтавська обл., 39254","96","27","95","17","55","14","69","","0","55","14","69","1","68","0","1","15","0","31","21","0","28.10.12"
"530309","149","Полтавська область","сільська рада, зал засідань
вул.Молодіжна, 3, с.Марківка, Кобеляцький р-н, Полтавська обл., 39210","464","176","454","45","247","41","288","","0","247","41","288","2","286","4","5","86","69","63","58","1","28.10.12"
"530310","149","Полтавська область","школа, актова зала
вул.Перемоги, 25, с.Свічкареве, Кобеляцький р-н, Полтавська обл., 39211","488","205","482","15","269","14","283","","0","269","14","283","4","279","16","5","47","43","70","94","4","28.10.12"
"530311","149","Полтавська область","будинок культури, обрядова зала
вул.Гагаріна, 1, с.Озера, Кобеляцький р-н, Полтавська обл., 39260","912","411","902","65","442","59","501","","0","442","59","501","12","489","43","12","116","10","165","129","14","28.10.12"
"530312","149","Полтавська область","будинок культури, кабінет завклуба
вул.Академіка Забігайла, 5, с.Морози, Кобеляцький р-н, Полтавська обл., 39261","328","125","321","49","157","46","203","","0","157","46","203","3","200","15","2","91","1","52","36","3","28.10.12"
"530313","149","Полтавська область","школа, фойє
вул.Леніна, 14/38, с.Орлик, Кобеляцький р-н, Полтавська обл., 39281","1184","583","1170","86","518","83","601","","0","518","83","601","23","578","50","42","166","21","185","105","9","29.10.12"
"530314","149","Полтавська область","сільська рада, фойє
вул.Колгоспна, 1/1, с.Підгора, Кобеляцький р-н, Полтавська обл., 39200","536","242","526","30","266","28","294","","0","266","28","294","7","287","8","6","126","13","60","70","4","28.10.12"
"530315","149","Полтавська область","школа, фойє
вул.Леніна, 27, с.Радянське, Кобеляцький р-н, Полтавська обл., 39282","1232","632","1218","24","579","21","600","","0","579","21","600","27","573","73","19","99","20","172","176","14","29.10.12"
"530316","149","Полтавська область","школа, актова зала
вул.Комсомольська, 40, с.Світлогірське, Кобеляцький р-н, Полтавська обл., 39262","2280","1114","2216","95","1073","93","1166","","0","1073","93","1166","31","1135","57","18","506","28","359","156","11","28.10.12"
"530317","149","Полтавська область","сільський клуб, актова зала
вул.Приморська, 7, с.Кишеньки, Кобеляцький р-н, Полтавська обл., 39262","128","43","127","20","68","17","85","","0","68","17","85","2","83","0","2","33","1","38","7","2","28.10.12"
"530318","149","Полтавська область","сільський клуб, актова зала
вул.Центральна, 19, с.Просяниківка, Кобеляцький р-н, Полтавська обл., 39263","248","101","241","35","114","33","147","","0","114","33","147","4","143","5","11","43","0","45","39","0","28.10.12"
"530319","149","Полтавська область","школа, фойє
вул.Огія, 10, с.Сухинівка, Кобеляцький р-н, Полтавська обл., 39234","504","248","492","71","196","60","256","","0","196","60","256","24","232","15","18","92","4","89","11","3","28.10.12"
"530320","149","Полтавська область","сільський клуб, фойє
вул.Квітнева, 36, с.Червоні Квіти, Кобеляцький р-н, Полтавська обл., 39231","416","166","414","98","169","81","250","","0","169","81","250","3","247","31","10","44","5","112","45","0","28.10.12"
"530321","149","Полтавська область","школа, класна кімната
вул.Шкільна, 60, с.Кустолові Кущі, Кобеляцький р-н, Полтавська обл., 39220","504","213","491","83","215","76","291","","0","215","76","291","10","281","14","15","46","5","99","98","4","28.10.12"
"530322","149","Полтавська область","школа, фойє
вул.Центральна, 16, с.Чорбівка, Кобеляцький р-н, Полтавська обл., 39230","544","244","531","50","257","43","300","","0","257","43","300","5","295","15","8","76","7","114","72","3","28.10.12"
"530323","149","Полтавська область","будинок культури, обрядова зала
вул.Гагаріна, 9, с.Шенгури, Кобеляцький р-н, Полтавська обл., 39252","584","250","574","58","276","58","334","","0","276","58","334","10","324","17","9","95","6","143","50","4","28.10.12"
"530324","149","Полтавська область","сільський клуб, глядацька зала
вул.Павлівська, 3, с.Коваленківка, Кобеляцький р-н, Полтаська обл., 39253","176","76","172","29","72","28","100","","0","72","28","100","1","99","5","6","16","2","47","21","2","28.10.12"
"530325","149","Полтавська область","центральна районна лікарня, червоний куток
вул.Шевченка, 78/109, м.Кобеляки, Полтавська обл., 39200","32","8","27","15","12","12","24","","0","12","12","24","1","23","1","1","6","1","9","5","0","28.10.12"
"530326","149","Полтавська область","районний будинок культури, фойє
вул.Радянська, 56, смт Козельщина, Козельщинський р-н, Полтавська обл., 39100","1984","885","1959","55","1047","52","1099","","0","1047","52","1099","12","1087","56","12","274","26","375","336","8","29.10.12"
"530327","149","Полтавська область","Кафе ПП Луценко П.П., зала №1
вул.Радянська,154А, смт Козельщина, Козельщинський р-н, Полтавська обл., 39100","1408","755","1402","49","606","47","653","","0","606","47","653","20","633","41","7","170","9","187","211","8","28.10.12"
"530328","149","Полтавська область","фельдшерсько-акушерський пункт, фойє
вул.Шевченка, 18, с.Омельниче, Козельщинський р-н, Полтавська обл., 39106","352","149","339","16","187","16","203","","0","187","16","203","5","198","20","2","29","10","83","48","6","28.10.12"
"530329","149","Полтавська область","кафе публічного акціонерного товариства ""Галещина, машзавод"", фойє, 2-й поверх
вул.Фрунзе, 6, смт Нова Галещина, Козельщинський р-н, Полтавська обл., 39140","1264","590","1248","20","654","20","674","","0","654","20","674","18","656","49","23","84","11","218","264","7","28.10.12"
"530330","149","Полтавська область","будинок культури, фойє
вул.Жовтнева, 137, смт Нова Галещина, Козельщинський р-н, Полтавська обл., 39140","1160","526","1147","12","622","12","634","","0","622","12","634","17","617","49","11","95","21","180","248","13","29.10.12"
"530331","149","Полтавська область","сільська рада, зал засідань
вул.О.Гончара, 54, с.Бреусівка, Козельщинський р-н, Полтавська обл., 39150","976","445","956","79","453","78","531","","0","453","78","531","13","518","27","19","144","23","190","101","14","29.10.12"
"530332","149","Полтавська область","сільська рада, зал засідань
вул.Горького, 9, с.Василівка, Козельщинський р-н, Полтавська обл., 39123","392","152","378","19","223","17","240","","0","223","17","240","10","230","25","5","41","11","90","55","3","28.10.12"
"530333","149","Полтавська область","сільський клуб, фойє
вул.Мічуріна, 3, с.Трудовик, Козельщинський р-н, Полтавська обл., 39124","208","74","206","26","108","26","134","","0","108","26","134","1","133","6","4","18","5","85","14","1","28.10.12"
"530334","149","Полтавська область","сільський будинок культури, фойє
вул.Лесі Українки, 14, с.Висока Вакулівка, Козельщинський р-н, Полтавська обл., 39130","408","146","398","17","245","17","262","","0","245","17","262","4","258","15","4","43","25","103","63","5","28.10.12"
"530335","149","Полтавська область","школа, фойє
вул.Шевченка, 64, с.Мар’янівка, Козельщинський р-н, Полтавська обл., 39130","248","77","241","11","160","11","171","","0","160","11","171","2","169","14","5","35","11","54","50","0","28.10.12"
"530336","149","Полтавська область","школа, фойє
вул.Центральна, 25А, с.Буняківка, Козельщинський р-н, Полтавська обл., 39110","120","42","122","15","63","15","78","","0","63","15","78","0","78","6","4","10","1","18","34","5","28.10.12"
"530337","149","Полтавська область","сільська рада, зал засідань
вул.Леніна, 2А, с.Говтва, Козельщинський р-н, Полтавська обл., 39110","336","100","332","30","209","27","236","","0","209","27","236","7","229","21","11","45","3","79","65","5","28.10.12"
"530338","149","Полтавська область","сільська рада, зал засідань
вул.Леніна, 44, с.Лутовинівка, Козельщинський р-н, Полтавська обл., 39132","1440","732","1429","45","666","42","708","","0","666","42","708","32","676","44","20","224","18","244","113","13","28.10.12"
"530339","149","Полтавська область","школа, фойє
вул.Молодіжна, 82, с.Задовга, Козельщинський р-н, Полтавська обл., 39132","360","160","353","40","160","40","200","","0","160","40","200","7","193","12","2","53","3","75","41","7","28.10.12"
"530340","149","Полтавська область","сільська рада, зал засідань
вул.Горького, 40, с.Верхня Мануйлівка, Козельщинський р-н, Полтавська обл., 39120","608","223","598","72","313","72","385","","0","313","72","385","8","377","25","3","54","11","159","116","9","28.10.12"
"530341","149","Полтавська область","школа, фойє
вул.Центральна, 8, с.Михайлики, Козельщинський р-н, Полтавська обл., 39105","304","139","300","25","140","25","165","","0","140","25","165","8","157","8","5","37","3","42","56","6","28.10.12"
"530342","149","Полтавська область","сільська рада, зал засідань
вул.Молодіжна, 1А, с.Оленівка, Козельщинський р-н, Полтавська обл., 39133","448","148","443","48","255","45","300","","0","255","45","300","12","288","13","8","90","18","100","53","6","28.10.12"
"530343","149","Полтавська область","фельдшерсько-акушерський пункт, фойє
вул.Рязанська, 2, с.Бригадирівка, Козельщинський р-н, Полтавська обл., 39133","192","68","197","29","97","27","124","","0","97","27","124","3","121","4","1","24","10","48","28","6","28.10.12"
"530344","149","Полтавська область","школа, фойє
пров.Шкільний, 1, с.Пашківка, Козельщинський р-н, Полтавська обл., 39143","544","219","540","49","281","44","325","","0","281","44","325","8","317","9","4","55","18","91","127","13","28.10.12"
"530345","149","Полтавська область","сільська рада, зал засідань
вул.Партизанська, 40, с.Піски, Козельщинський р-н, Полтавська обл., 39122","520","277","515","36","208","35","243","","0","208","35","243","11","232","15","11","37","7","83","72","7","29.10.12"
"530346","149","Полтавська область","сільська рада, зал засідань
вул.Нова, 1, с.Пригарівка, Козельщинський р-н, Полтавська обл., 39142","584","244","574","58","282","58","340","","0","282","58","340","8","332","13","4","106","9","112","84","4","29.10.12"
"530347","149","Полтавська область","школа, фойє
вул.Куйбишева, 26А, с.Сушки, Козельщинський р-н, Полтавська обл., 39152","544","223","535","28","293","28","321","","0","293","28","321","10","311","22","7","78","3","131","66","4","28.10.12"
"530348","149","Полтавська область","школа, фойє
вул.Шевченка, 72/3, с.Приліпка, Козельщинський р-н, Полтавська обл., 39111","304","104","293","22","180","20","200","","0","180","20","200","6","194","25","6","41","8","33","70","11","28.10.12"
"530349","149","Полтавська область","школа, фойє
вул.Жовтнева, 9, с.Рибалки, Козельщинський р-н, Полтавська обл., 39134","336","133","322","43","164","39","203","","0","164","39","203","1","202","15","1","39","12","100","31","4","28.10.12"
"530350","149","Полтавська область","школа, фойє
вул.Жовтнева, 25, с.Солониця, Козельщинський р-н, Полтавська обл., 39141","760","404","751","25","336","20","356","","0","336","20","356","12","343","58","9","68","12","90","93","13","29.10.12"
"530351","149","Полтавська область","сільська рада, зал засідань
вул.Олеся Гончара, 47, с.Хорішки, Козельщинський р-н, Полтавська обл., 39112","696","321","673","52","325","50","375","","0","325","50","375","10","365","45","8","70","14","116","105","7","28.10.12"
"530352","149","Полтавська область","будинок сімейного дозвілля, фойє
вул.Центральна, 1А, с.Юрки, Козельщинський р-н, Полтавська обл., 39112","120","47","116","19","54","19","73","","0","54","19","73","1","72","4","1","8","0","33","23","3","28.10.12"
"530353","149","Полтавська область","школа, фойє
пров.Шкільний, 1, с.Чапаєвка, Козельщинський р-н, Полтавська обл., 39151","536","275","534","19","242","19","261","","0","242","19","261","9","252","14","5","84","14","87","44","4","28.10.12"
