"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Башук
Олександер
Григорович","Васін
Андрій
Юрійович","Вергун
Владислав
Валерійович","Герега
Галина
Федорівна","Дядюк
Олександр
Володимирович","Захаричев
Юрій
Юрійович","Іллєнко
Андрій
Юрійович","Кіндрачук
Віктор
Іванович","Козловський
Ігор
Васильович","Круть
Олег
Миколайович","Майборода
Володимир
Дмитрович","Наумко
Віктор
Миколайович","Омельченко
Олександр
Володимирович","Опадчий
Ігор
Михайлович","Рижова
Вікторія
Олексіївна","Дата підписання протоколу"
"800228","215","м.Київ","ЖЕК №307, актова зала
вул.Миколи Закревського, 3, м.Київ, 02217","2356","835","2341","11","1511","10","1521","","0","1511","10","1521","56","1465","12","10","23","488","14","5","451","39","1","6","42","5","24","294","51","29.10.12"
"800229","215","м.Київ","школа №251, вестибюль
вул.Миколи Закревського, 11А, м.Київ, 02217","2404","905","2387","7","1492","7","1499","","0","1492","7","1499","48","1451","10","14","10","521","9","5","420","22","6","3","34","8","33","322","34","29.10.12"
"800230","215","м.Київ","школа №251, спортзал
вул.Миколи Закревського, 11А, м.Київ, 02217","2200","854","2169","17","1332","14","1346","","0","1332","14","1346","40","1306","4","11","12","550","10","9","346","16","3","3","37","2","19","243","41","29.10.12"
"800231","215","м.Київ","школа №119, спортзал
вул.Миколи Закревського, 15Б, м.Київ, 02217","2140","793","2135","6","1343","4","1347","","0","1343","4","1347","27","1320","5","16","17","399","4","5","571","2","14","4","33","5","19","204","22","29.10.12"
"800232","215","м.Київ","КП ""Дирекція"", актова зала
вул.Миколи Закревського, 15, м.Київ, 02217","2328","805","2307","14","1509","14","1523","","0","1509","14","1523","46","1477","13","14","4","496","12","5","548","23","4","3","48","6","18","246","37","29.10.12"
"800233","215","м.Київ","школа №251, актова зала
вул.Миколи Закревського, 11А, м.Київ, 02217","2468","1064","2448","23","1386","18","1404","","0","1385","18","1403","42","1361","13","7","7","409","6","6","454","33","2","3","43","23","23","281","51","30.10.12"
"800234","215","м.Київ","школа №119, актова зала
вул.Миколи Закревського, 15Б, м.Київ, 02217","2496","951","2481","8","1537","8","1545","","0","1537","8","1545","38","1507","8","22","10","403","5","3","514","35","2","3","45","13","19","388","37","29.10.12"
"800235","215","м.Київ","школа №119, коридор, 2-й поверх
вул.Миколи Закревського, 15Б, м.Київ, 02217","2372","1043","2349","6","1324","5","1329","","0","1324","5","1329","45","1284","7","7","9","477","8","7","377","23","2","2","48","17","23","237","40","29.10.12"
"800244","215","м.Київ","школа №238, 1-й поверх
вул.Миколи Закревського, 35Б, м.Київ, 02217","2416","939","2391","14","1466","11","1477","","0","0","0","1477","49","1428","12","8","11","427","10","9","538","42","2","2","39","7","21","269","31","31.10.12"
"800245","215","м.Київ","школа №238, коридор, 2-й поверх
вул.Миколи Закревського, 35Б, м.Київ, 02217","2396","985","2376","5","1406","5","1411","","0","1406","5","1411","39","1372","7","7","12","417","10","13","453","29","2","3","40","6","14","316","43","29.10.12"
"800246","215","м.Київ","школа №247, рекреація 1 поверх
вул.Миколи Закревського, 37Б, м.Київ, 02217","2332","939","2324","7","1390","3","1393","","0","1390","3","1393","25","1368","8","15","13","515","9","4","361","22","1","1","65","10","22","265","57","29.10.12"
"800247","215","м.Київ","школа №247, вестибюль
вул.Миколи Закревського, 37Б, м.Київ, 02217","2172","826","2151","20","1332","14","1346","","0","1332","14","1346","34","1312","6","23","5","481","9","7","426","22","2","3","26","12","17","237","36","30.10.12"
"800248","215","м.Київ","школа №238, вестибюль
вул.Миколи Закревського, 35Б, м.Київ, 02217","2356","914","2339","13","1432","10","1442","","1","1431","10","1441","38","1403","9","8","4","451","9","3","515","18","1","2","35","5","31","272","40","29.10.12"
"800249","215","м.Київ","школа №247, рекреація 2-й поверх
вул.Миколи Закревського, 37Б, м.Київ, 02217","2212","855","2211","13","1347","10","1357","","0","1347","10","1357","40","1317","4","5","12","404","11","3","498","33","1","3","45","10","23","229","36","29.10.12"
"800250","215","м.Київ","школа №248, рекреація 1 поверх
вул.Миколи Закревського, 45Б, м.Київ, 02217","2308","883","2288","7","1420","5","1425","","0","1420","5","1425","40","1385","10","7","5","399","16","5","531","15","2","2","42","14","32","269","36","29.10.12"
"800251","215","м.Київ","школа №248, актова зала
вул.Миколи Закревського, 45Б, м.Київ, 02217","2452","955","2427","34","1474","23","1497","","0","1474","23","1497","41","1456","10","14","12","448","3","6","504","20","4","2","30","6","31","313","53","29.10.12"
"800252","215","м.Київ","школа №248, вестибюль
вул.Миколи Закревського, 45Б, м.Київ, 02217","2280","830","2269","12","1442","8","1450","","3","1439","8","1447","32","1415","13","20","4","403","9","8","518","18","3","3","42","9","30","304","31","30.10.12"
"800253","215","м.Київ","ЖЕК №305, актова зала, хол
вул.Олександра Сабурова, 3А, м.Київ, 02222","2320","883","2294","13","1425","12","1437","","0","1425","12","1437","45","1388","13","14","21","494","6","8","428","25","3","5","58","6","27","235","45","29.10.12"
"800271","215","м.Київ","школа №277, актова зала
вул.Олександра Сабурова, 6, м.Київ, 02222","2444","893","2436","8","1545","6","1551","","0","1545","6","1551","29","1522","7","11","10","447","9","7","548","37","4","3","44","12","25","321","37","29.10.12"
"800272","215","м.Київ","школа №277, коридор, 1-й поверх
вул.Олександра Сабурова, 6, м.Київ, 02222","2396","843","2380","2","1552","1","1553","","0","1552","1","1553","47","1506","10","9","11","517","8","7","491","31","3","8","33","11","28","299","40","29.10.12"
"800305","215","м.Київ","школа №189, коридор, 1-й поверх
вул.Мілютенка, 5, м.Київ, 02156","2372","982","2374","19","1376","14","1390","","0","1376","14","1390","42","1348","8","5","8","412","9","4","514","28","8","6","41","11","15","254","25","29.10.12"
"800306","215","м.Київ","школа №189, коридор, 2-й поверх
вул.Мілютенка, 5, м.Київ, 02156","2320","1006","2306","34","1283","31","1314","","0","1283","31","1314","36","1278","10","7","11","357","9","7","476","22","1","1","41","11","19","258","48","29.10.12"
"800307","215","м.Київ","школа №192, вестибюль
вул.Мілютенка, 5Б, м.Київ, 02156","2200","873","2172","21","1311","16","1327","","36","1275","16","1291","0","1291","8","9","4","393","13","1","460","30","1","4","29","11","11","260","57","29.10.12"
"800308","215","м.Київ","ЖЕК №301, актова зала
вул.Кіото, 11А, м.Київ, 02156","2424","907","2413","12","1507","10","1517","","0","1507","10","1517","60","1457","12","8","8","359","9","3","592","35","2","1","65","10","24","287","42","29.10.12"
"800309","215","м.Київ","школа №190, 1-й поверх
вул.Шолом-Алейхема, 16А, м.Київ, 02156","2232","906","2211","18","1308","18","1326","","0","1308","18","1326","30","1296","6","7","13","400","18","5","462","29","1","4","30","9","17","250","45","29.10.12"
"800310","215","м.Київ","школа №190, спортзал
вул.Шолом-Алейхема, 16А, м.Київ, 02156","2224","805","2212","26","1396","23","1419","","0","1396","23","1419","36","1383","10","4","10","482","7","7","478","26","5","2","60","13","18","219","42","29.10.12"
"800311","215","м.Київ","школа №190, актова зала
вул.Шолом-Алейхема, 16А, м.Київ, 02156","2336","1018","2310","14","1308","10","1318","","0","1308","10","1318","34","1284","14","9","5","355","6","4","451","38","2","5","44","11","22","273","45","29.10.12"
"800312","215","м.Київ","Гуртожиток київського торгово-економічного університету, актова зала
вул.Миколи Матеюка, 2, м.Київ, 02156","2260","897","2378","7","1357","6","1363","","0","1357","6","1363","41","1322","13","13","11","525","13","9","301","26","6","7","31","8","20","277","62","29.10.12"
"800313","215","м.Київ","школа №218, коридор, 3-й поверх
вул.Академіка Курчатова, 6А, м.Київ, 02156","1752","715","1746","23","1020","17","1037","","0","1020","17","1037","38","999","5","2","7","307","13","4","362","27","3","5","38","13","11","172","30","29.10.12"
"800314","215","м.Київ","школа №218, коридор, 2-й поверх
вул.Академіка Курчатова, 6А, м.Київ, 02156","1768","655","1765","11","1102","11","1113","","0","1102","11","1113","48","1065","2","7","2","311","7","5","381","24","3","2","44","10","29","193","45","29.10.12"
"800315","215","м.Київ","школа №218, хол, 1-й поверх
вул.Академіка Курчатова, 6А, м.Київ, 02156","2112","792","2094","16","1306","14","1320","","0","1306","14","1320","29","1291","10","8","17","386","11","7","429","36","4","6","49","11","9","262","46","29.10.12"
"800316","215","м.Київ","Київський медичний коледж, вестибюль
вул.Братиславська, 5, м.Київ, 02156","2068","798","2077","7","1265","5","1270","","0","1265","5","1270","35","1235","6","3","9","423","12","9","401","43","1","0","32","10","15","235","36","28.10.12"
"800317","215","м.Київ","Київський медичний коледж, вестибюль
вул.Братиславська, 5, м.Київ, 02156","2408","979","2383","29","1407","22","1429","","0","1407","22","1429","56","1373","7","5","8","473","10","2","505","27","1","1","39","10","18","235","32","30.10.12"
"800318","215","м.Київ","ЖЕК №302, актова зала
вул.Академіка Курчатова, 3Б, м.Київ, 02166","2376","1027","2371","23","1333","16","1349","","0","1333","16","1349","20","1329","12","15","5","440","14","6","435","37","1","1","45","18","21","252","27","29.10.12"
"800319","215","м.Київ","школа №39, спортзал
просп.Лісовий, 17Г, м.Київ, 02166","1992","789","1988","27","1181","22","1203","","0","1181","22","1203","37","1166","12","10","9","366","7","30","411","18","2","3","53","5","14","201","25","28.10.12"
"800320","215","м.Київ","школа №152, 1-й поверх
вул.Академіка Курчатова, 18/1, м.Київ, 02156","2264","919","2248","12","1333","12","1345","","0","1333","12","1345","34","1311","15","3","10","379","13","11","450","49","5","5","47","13","19","250","42","29.10.12"
"800321","215","м.Київ","школа №152, 2-й поверх
вул.Курчатова, 18/1, м.Київ, 02156","2424","974","2399","25","1429","21","1450","","0","1429","21","1450","46","1404","8","7","20","507","12","8","425","36","4","5","54","10","15","258","35","29.10.12"
"800322","215","м.Київ","школа №212, актова зала
вул.Академіка Курчатова, 18/2, м.Київ, 02156","2392","969","2373","13","1413","10","1423","","0","1413","10","1423","42","1381","9","8","8","403","11","6","518","26","5","4","68","16","18","242","39","29.10.12"
"800323","215","м.Київ","школа №212, 2-й поверх
вул.Академіка Курчатова, 18/2, м.Київ, 02156","2436","933","2400","14","1491","12","1503","","0","1491","12","1503","45","1458","19","5","8","441","7","4","480","31","3","2","54","13","23","309","59","29.10.12"
"800324","215","м.Київ","школа №202, коридор, 1-й поверх
просп.Лісовий, 22А, м.Київ, 02166","2416","1000","2393","27","1400","16","1416","","0","1400","16","1416","55","1357","7","10","17","503","12","8","415","17","1","5","50","10","19","242","41","30.10.12"
"800325","215","м.Київ","школа №202, коридор, 1-й поверх
просп.Лісовий, 22А, м.Київ, 02166","2456","1081","2540","13","1363","12","1375","","0","1363","12","1375","61","1314","14","5","6","379","18","6","449","23","2","3","59","5","21","283","41","28.10.12"
"800326","215","м.Київ","ЖЕК №303, актова зала
вул.Академіка Курчатова, 21А, м.Київ, 02166","2460","965","2439","19","1476","19","1495","","0","1476","19","1495","49","1446","13","7","6","445","19","4","492","41","5","7","48","12","24","279","44","29.10.12"
"800327","215","м.Київ","Київський пансіонат ветеранів, коридор
вул.Маршала Жукова, 2, м.Київ, 02156","228","58","220","102","88","82","170","","0","88","82","170","5","165","1","0","2","106","2","2","13","0","1","0","15","0","5","10","8","28.10.12"
"800328","215","м.Київ","школа №39, коридор, 1-й поверх
просп.Лісовий, 17Г, м.Київ, 02166","2396","1009","2377","18","1375","12","1387","","0","1375","12","1387","36","1351","18","4","12","482","20","5","452","28","3","0","42","14","16","223","32","29.10.12"
"800329","215","м.Київ","школа №147, спортзал
просп.Лісовий, 17В, м.Київ, 02166","2516","1047","2537","6","1464","5","1469","","0","1464","5","1469","46","1423","5","9","9","517","13","10","502","24","1","2","46","5","16","210","54","29.10.12"
"800330","215","м.Київ","школа №147, актова зала
просп.Лісовий, 17В, м.Київ, 02166","2400","947","2388","15","1441","12","1453","","0","1441","12","1453","47","1406","9","7","13","456","21","5","534","39","0","3","33","19","12","231","24","29.10.12"
"800331","215","м.Київ","школа №39, коридор, 2-й поверх
просп.Лісовий, 17Г, м.Київ, 02166","2424","912","2400","18","1500","12","1512","","0","1500","12","1512","49","1463","8","8","10","490","19","6","564","23","2","4","45","10","20","223","31","29.10.12"
"800332","215","м.Київ","школа №207, актова зала
просп.Лісовий, 33А, м.Київ, 02166","2428","970","2406","30","1435","23","1458","","0","1435","23","1458","33","1425","9","6","15","415","16","4","510","22","1","4","54","10","28","284","47","30.10.12"
"800333","215","м.Київ","школа №213, коридор, 2-й поверх
просп.Лісовий, 33Б, м.Київ, 02166","2380","996","2350","12","1373","11","1384","","0","1373","11","1384","51","1333","13","11","8","468","11","2","467","16","2","2","41","3","14","244","31","29.10.12"
"800334","215","м.Київ","школа №213, коридор, 2-й поверх
просп.Лісовий, 33Б, м.Київ, 02166","2480","1158","2463","6","1317","5","1322","","1","1316","5","1321","52","1269","14","12","8","454","9","11","359","24","2","16","27","13","41","246","33","29.10.12"
"800335","215","м.Київ","школа №207, коридор 2-й поверх
просп.Лісовий, 33А, м.Київ, 02166","2404","1038","2381","24","1346","20","1366","","0","1346","20","1366","41","1325","9","7","6","475","7","6","467","18","3","6","45","9","21","197","49","29.10.12"
"800336","215","м.Київ","школа №23, коридор 2-й поверх
вул.Путивльська, 35, м.Київ, 02089","2140","867","2122","39","1247","26","1273","","0","1247","26","1273","38","1235","12","4","8","332","4","7","423","24","3","2","42","6","39","272","57","29.10.12"
"800337","215","м.Київ","школа №23, коридор, 1-й поверх
вул.Путивльська, 35, м.Київ, 02089","1548","638","1612","0","910","0","910","","0","910","0","910","27","883","36","8","13","303","11","9","153","29","7","10","29","17","23","162","73","29.10.12"
"800338","215","м.Київ","Київська міська клінічна лікарня швидкої медичної допомоги, вестибюль
вул.Братиславська, 3, м.Київ, 02156","716","425","371","244","117","174","291","","0","117","174","291","12","279","2","0","2","89","2","1","45","29","2","3","8","4","13","60","19","29.10.12"
"800339","215","м.Київ","Київська міська психоневрологічна лікарня №2, вестибюль
вул.Миропільська, 8, м.Київ, 02192","148","85","63","0","63","0","63","","0","63","0","63","8","55","0","0","1","17","1","0","3","1","0","3","4","2","6","6","11","28.10.12"
"800340","215","м.Київ","Київський міський центр радіаційного захисту громадян, актова зала
вул.Маршала Жукова, 10, м.Київ, 02156","272","212","61","0","60","0","60","","0","60","0","60","1","59","1","0","0","24","2","1","11","1","0","0","7","2","3","7","0","28.10.12"
