"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баленко
Ігор
Миколайович","Безсмертна
Анжела
Олексіївна","Бойко
Сергій
Вячеславович","Большаков
Григорій
Юрійович","Борисюк
Ігор
Вікторович","Букет
Євген
Васильович","Бурков
Олександр
Іванович","Гетьман
Олексій
Юрійович","Гребенюк
Богдан
Олегович","Заболотний
Сергій
Романович","Кіслова
Лілія
Юріївна","Комнацький
Олександр
Леонідович","Кононенко
Володимир
Вікторович","Костюк
Олександр
Володимирович","Кримчак
Сергій
Олександрович","Куликов
Кирило
Борисович","Лук’янова
Катерина
Євгеніївна","Магаляс
Сергій
Володимирович","Мазур
Олена
Анатоліївна","Малугін
Михайло
Валерійович","Михайлова
Валентина
Ігорівна","Монтян
Тетяна
Миколаївна","Онищенко
Юрій
Олексійович"
"800086","212","м.Київ","школа №111, актова зала, 2-й поверх
вул.Здолбунівська, 7Б, м.Київ, 02081","2295","840","2291","10","1449","6","1455","","0","1449","6","1455","35","1420","202","1","8","6","7","2","1","6","17","0","3","43","0","3","214","186","1","0","13","2","1","97",""
"800087","212","м.Київ","школа №111, спортивна зала, 1-й поверх
вул.Здолбунівська, 7Б, м.Київ, 02081","2166","672","2156","9","1485","9","1494","","0","1485","9","1494","41","1453","165","1","3","10","1","4","1","3","15","0","2","24","1","7","287","183","4","3","5","1","2","129",""
"800088","212","м.Київ","школа №111, вестибюль, 1-й поверх
вул.Здолбунівська, 7Б, м.Київ, 02081","2163","837","2253","3","1323","3","1326","","0","1323","3","1326","20","1306","174","3","3","4","1","5","1","4","16","1","2","23","2","4","128","238","1","1","14","0","0","119",""
"800089","212","м.Київ","спеціалізована школа №329 ""Логос"" ім.Г.Гонгадзе, коридор, 1-й поверх
вул.Урлівська, 19Б, м.Київ, 02095","2403","1023","2414","1","1379","1","1380","","0","1379","1","1380","36","1344","141","1","4","3","2","4","1","2","25","2","1","17","2","9","108","268","0","1","3","1","0","165",""
"800090","212","м.Київ","спеціалізована школа №329 ""Логос"" ім.Г.Гонгадзе, коридор, 1-й поверх
вул.Урлівська, 19Б, м.Київ, 02095","2316","901","2332","6","1414","1","1415","","0","1414","1","1415","23","1392","283","3","2","9","0","4","1","2","14","4","1","29","2","8","116","225","2","4","4","0","1","116",""
"800091","212","м.Київ","спеціалізована школа №329 ""Логос"" ім.Г.Гонгадзе, коридор, 2-й поверх
вул.Урлівська, 19Б, м.Київ, 02095","2271","932","2284","1","1339","0","1339","","0","1339","0","1339","37","1302","138","0","3","8","0","8","2","8","12","1","3","22","3","11","92","233","1","1","4","0","0","121",""
"800092","212","м.Київ","Київська інженерна гімназія, коридор, 1-й поверх
вул.Княжий Затон, 12А, м.Київ, 02095","2361","807","2350","5","1550","4","1554","","0","1550","4","1554","32","1522","189","0","3","14","1","5","0","3","49","3","4","23","0","6","118","244","1","0","6","0","2","163",""
"800093","212","м.Київ","Київська інженерна гімназія, коридор, 1-й поверх
вул.Княжий Затон, 12А, м.Київ, 02095","2217","722","2204","5","1492","3","1495","","0","1492","3","1495","33","1462","234","1","2","3","1","4","0","6","21","1","3","35","1","7","125","237","1","1","9","2","1","133",""
"800094","212","м.Київ","Київська інженерна гімназія, коридор, 2-й поверх
вул.Княжий Затон, 12А, м.Київ, 02095","1812","636","1806","1","1175","1","1176","","0","1175","1","1176","24","1152","152","0","3","11","1","2","3","7","19","1","2","16","1","10","135","138","0","2","6","1","0","82",""
"800095","212","м.Київ","Київська інженерна гімназія, коридор, 2-й поверх
вул.Княжий Затон, 12А, м.Київ, 02095","2223","924","2213","5","1294","5","1299","","0","1294","5","1299","26","1273","157","1","2","9","1","8","0","2","15","4","1","21","1","5","149","203","0","1","1","0","0","115",""
"800096","212","м.Київ","спеціалізована школа №314, коридор, 1-й поверх
вул.Княжий Затон, 7А, м.Київ, 02095","1950","680","1944","1","1270","0","1270","","0","1270","0","1270","28","1242","157","1","2","10","2","5","1","1","29","2","0","25","3","4","92","166","1","0","1","1","1","131",""
"800097","212","м.Київ","спеціалізована школа №314, коридор, 1-й поверх
вул.Княжий Затон, 7А, м.Київ, 02095","2241","838","2241","3","1400","3","1403","","0","1400","3","1403","16","1387","151","0","0","8","1","8","1","4","12","2","3","30","1","9","140","224","1","2","2","0","0","150",""
"800098","212","м.Київ","спеціалізована школа №314, коридор, 1-й поверх
вул.Княжий Затон, 7А, м.Київ, 02095","2157","766","2150","6","1388","3","1391","","0","1388","3","1391","16","1375","156","3","2","4","3","6","0","3","34","3","2","40","0","9","83","204","4","3","5","1","0","188",""
"800099","212","м.Київ","спеціалізована школа №314, коридор, 1-й поверх
вул.Княжий Затон, 7А, м.Київ, 02095","1983","706","1985","3","1276","1","1277","","0","1276","1","1277","28","1249","172","1","2","2","1","1","0","3","19","2","9","35","1","1","80","141","0","1","3","0","0","185",""
"800100","212","м.Київ","школа №62, коридор, 1-й поверх
вул.Княжий Затон, 17В, м.Київ, 02095","1485","499","1482","7","981","5","986","","0","981","5","986","11","975","107","1","1","4","1","3","1","2","9","1","4","18","2","5","30","156","1","2","1","0","0","194",""
"800101","212","м.Київ","школа №62, коридор, 1-й поверх
вул.Княжий Затон, 17В, м.Київ, 02095","2049","694","2020","9","1347","8","1355","","0","1347","8","1355","47","1308","324","3","3","5","2","6","0","1","16","0","3","28","1","8","78","150","0","1","7","0","1","129",""
"800102","212","м.Київ","школа №62, коридор, 1-й поверх
вул.Княжий Затон, 17В, м.Київ, 02095","2333","786","2321","2","1545","2","1547","","0","1545","2","1547","37","1510","190","4","3","5","1","6","2","1","23","3","6","43","2","6","60","186","1","1","9","1","4","145",""
"800103","212","м.Київ","школа №62, коридор, 1-й поверх
вул.Княжий Затон, 17В, м.Київ, 02095","1554","669","1552","6","882","3","885","","0","881","3","884","17","867","231","0","1","3","2","1","0","2","0","2","2","16","0","2","147","85","1","0","2","0","0","29",""
"800104","212","м.Київ","Скандинавська гімназія, коридор, 1-й поверх
вул.Бориса Гмирі, 3Б, м.Київ, 02140","1155","461","1205","0","694","0","694","","0","693","0","693","17","676","76","2","2","7","1","3","0","6","1","2","2","10","0","7","10","122","1","0","2","0","0","101",""
"800105","212","м.Київ","Скандинавська гімназія, коридор, 1-й поверх
вул.Бориса Гмирі, 3Б, м.Київ, 02140","2424","964","2408","3","1458","2","1460","","0","1458","2","1460","35","1425","138","0","6","16","2","3","0","3","32","2","5","35","4","14","71","263","2","0","6","1","2","206",""
"800106","212","м.Київ","Скандинавська гімназія, коридор, 1-й поверх
вул.Бориса Гмирі, 3Б, м.Київ, 02140","2364","899","2349","7","1464","1","1465","","0","1464","1","1465","26","1439","183","5","2","2","1","8","3","0","29","1","4","32","0","2","84","192","1","1","0","0","1","176",""
"800107","212","м.Київ","Скандинавська гімназія, коридор, 1-й поверх
вул.Бориса Гмирі, 3Б, м.Київ, 02140","2412","823","2396","1","1588","1","1589","","0","1587","1","1588","27","1561","159","0","0","11","3","9","2","3","40","3","3","24","2","6","151","267","2","0","8","0","2","215",""
"800108","212","м.Київ","Скандинавська гімназія, коридор, 1-й поверх
вул.Бориса Гмирі, 3Б, м.Київ, 02140","2238","749","2232","7","1483","6","1489","","0","1483","6","1489","20","1469","114","0","3","1","3","6","0","13","26","3","3","34","2","5","128","225","0","1","7","1","1","165",""
"800109","212","м.Київ","гімназія міжнародних відносин №323, коридор, 1-й поверх
вул.Олександра Мишуги, 5, м.Київ, 02140","2283","730","2278","2","1551","2","1553","","0","1551","2","1553","39","1514","276","2","5","14","1","3","4","7","44","2","3","43","1","12","145","194","2","0","3","0","3","155",""
"800110","212","м.Київ","гімназія міжнародних відносин №323, коридор, 1-й поверх
вул.Олександра Мишуги, 5, м.Київ, 02140","2367","877","2361","7","1483","7","1490","","0","1483","7","1490","34","1456","178","1","1","16","1","6","4","1","32","1","5","53","5","17","80","180","3","0","8","2","2","188",""
"800111","212","м.Київ","гімназія міжнародних відносин №323, коридор, 1-й поверх
вул.Олександра Мишуги, 5, м.Київ, 02140","2154","746","2146","2","1406","2","1408","","0","1406","2","1408","23","1385","180","1","3","22","3","5","1","3","29","1","2","26","1","5","248","157","0","1","12","2","1","136",""
"800112","212","м.Київ","гімназія міжнародних відносин №323, коридор, 1-й поверх
вул.Олександра Мишуги, 5, м.Київ, 02140","2214","880","2204","2","1333","1","1334","","0","1333","1","1334","43","1291","177","1","4","22","0","5","5","9","26","4","5","36","2","10","146","158","1","0","7","0","1","134",""
"800113","212","м.Київ","гімназія міжнародних відносин №323, коридор, 1-й поверх
вул.Олександра Мишуги, 5, м.Київ, 02140","1890","702","1889","4","1184","4","1188","","0","1183","4","1187","27","1160","139","0","2","9","5","2","2","6","13","1","1","23","0","3","164","192","1","1","4","0","0","148",""
"800114","212","м.Київ","спеціалізована школа №316, коридор, 1-й поверх
просп.Бажана, 32А, м.Київ, 02140","1752","597","1749","1","1154","1","1155","","0","1154","1","1155","16","1139","210","0","1","2","2","6","0","1","19","2","5","21","1","6","172","150","0","1","3","0","0","125",""
"800115","212","м.Київ","спеціалізована школа №316, коридор, 1-й поверх
просп.Бажана, 32А, м.Київ, 02140","1800","712","1801","3","1085","3","1088","","0","1085","3","1088","38","1050","200","1","0","7","1","4","1","3","13","0","0","21","0","5","80","133","0","0","6","0","0","98",""
"800116","212","м.Київ","спеціалізована школа №316, їдальня, 1-й поверх
просп.Бажана, 32А, м.Київ, 02140","2442","842","2433","1","1599","1","1600","","0","1599","1","1600","35","1565","314","0","3","11","0","1","1","4","24","3","1","54","1","5","115","147","3","1","45","4","0","156",""
"800117","212","м.Київ","спеціалізована школа №316, хол, виставковий зал, 2-й поверх
просп.Бажана, 32А, м.Київ, 02140","2247","778","2249","11","1463","6","1469","","0","1463","6","1469","32","1437","193","1","4","18","1","6","1","6","33","2","0","29","1","2","132","162","1","0","4","2","1","160",""
