"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вікнянський
Олег
Іванович","Говорнян
Семен
Володимирович","Данчук
Валерій
Георгійович","Кучерявий
Валерій
Сергійович","Левчик
Юрій
Серафимович","Мельник
Руслан
Васильович","Паламар
Іван
Савич","Панчук
Петро
Володимирович","Спіжавка
Степан
Георгійович","Тіміш
Григорій
Іванович","Федоряк
Геннадій
Дмитрович","Дата підписання протоколу"
"730042","203","Чернівецька область","будинок дозвілля дітей та молоді, мала зала
вул.Нікіфора В., 8, м.Герца, Герцаївський р-н, Чернівецька обл., 60500","1752","835","1749","12","911","6","917","","0","911","6","917","33","884","58","51","13","12","9","21","23","17","32","90","558","29.10.12"
"730043","203","Чернівецька область","школа, фойє
вул.Шкільна, 4, с.Байраки, Герцаївський р-н, Чернівецька обл., 60540","1422","529","1407","57","840","53","893","","0","840","53","893","24","869","17","16","6","25","14","26","12","7","2","89","655","28.10.12"
"730044","203","Чернівецька область","клуб, велика зала
вул.Головна, 18А, с.Підвальне, Герцаївський р-н, Чернівецька обл., 60541","546","205","542","20","322","19","341","","0","322","19","341","7","334","2","4","2","8","4","11","6","1","2","28","266","29.10.12"
"730045","203","Чернівецька область","будинок культури, велика зала
вул.Головна, 265У, с.Буківка, Герцаївський р-н, Чернівецька обл., 60546","720","216","714","34","472","32","504","","0","472","32","504","33","471","5","9","8","11","18","9","5","7","5","24","370","29.10.12"
"730046","203","Чернівецька область","будинок культури, велика зала
вул.Головна, 269А, с.Годинівка, Герцаївський р-н, Чернівецька обл., 60524","1014","307","1003","45","663","44","707","","0","663","44","707","20","687","7","12","14","14","37","20","10","5","15","82","471","28.10.12"
"730047","203","Чернівецька область","клуб, мала зала
вул.Головна, 8А, с.Луковиця, Герцаївський р-н, Чернівецька обл., 60525","456","123","450","14","319","14","333","","0","319","14","333","13","320","3","12","1","3","4","6","8","1","5","15","262","29.10.12"
"730048","203","Чернівецька область","будинок народної творчості, велика зала
вул.Головна, 56, с.Горбова, Герцаївський р-н, Чернівецька обл., 60522","2448","838","2435","113","1501","109","1610","","0","1501","109","1610","42","1568","21","47","7","11","27","10","16","3","32","103","1291","29.10.12"
"730049","203","Чернівецька область","початкова школа, кл.4
вул.Шкільна, 6, с.Банчени, Герцаївський р-н, Чернівецька обл., 60523","642","190","633","26","426","26","452","","0","426","26","452","11","441","3","7","7","2","4","1","0","0","5","4","408","29.10.12"
"730050","203","Чернівецька область","навчально-виховний комплекс, фойє
вул.Головна, 39, с.Велика Буда, Герцаївський р-н, Чернівецька обл., 60531","858","240","857","44","575","43","618","","0","575","43","618","12","606","12","10","14","2","5","34","27","7","6","92","397","29.10.12"
"730051","203","Чернівецька область","будинок фолькльору, велика зала
вул.Молодіжна, 49, с.Мала Буда, Герцаївський р-н, Чернівецька обл., 60532","426","103","417","15","308","15","323","","0","308","15","323","6","317","4","12","10","2","3","7","1","2","4","41","231","29.10.12"
"730052","203","Чернівецька область","клуб, велика зала
вул.Садова, 4, с.Круп’янське, Герцаївський р-н, Чернівецька обл., 60533","594","195","591","39","362","37","399","","0","362","37","399","6","393","8","5","2","2","1","19","13","1","2","16","324","29.10.12"
"730053","203","Чернівецька область","клуб, велика зала
вул.Шевченка, 1А, с.Куликівка, Герцаївський р-н, Чернівецька обл., 60545","588","161","578","36","391","36","427","","0","391","36","427","13","414","9","5","0","1","3","5","14","5","2","32","338","28.10.12"
"730054","203","Чернівецька область","школа, кабінет української мови
вул.Центральна, 72, с.Могилівка, Герцаївський р-н, Чернівецька обл., 60512","582","197","572","36","349","36","385","","0","349","36","385","15","370","17","24","3","2","3","3","1","3","2","16","296","28.10.12"
"730055","203","Чернівецька область","школа, кабінет біології
вул.І.Германа, 51, с.Великосілля, Герцаївський р-н, Чернівецька обл., 60511","756","307","744","30","419","30","449","","0","419","30","449","15","434","5","26","9","8","9","9","3","3","7","30","325","28.10.12"
"730056","203","Чернівецька область","будинок культури, мала зала
вул.Центральна, 42, с.Лунка, Герцаївський р-н, Чернівецька обл., 60510","456","206","452","16","235","15","250","","0","235","15","250","2","248","2","9","5","2","4","8","21","1","0","9","187","28.10.12"
"730057","203","Чернівецька область","будинок культури, мала зала
вул.Центральна, 29А, с.Молниця, Герцаївський р-н, Чернівецька обл., 60513","1554","589","1541","35","930","35","965","","0","930","35","965","46","919","18","30","8","7","12","8","10","8","16","66","736","28.10.12"
"730058","203","Чернівецька область","школа, приміщення їдальні
вул.М.Емінеску, 63, с.Остриця, Герцаївський р-н, Чернівецька обл., 60520","1416","663","1405","18","735","18","753","","0","735","18","753","21","732","22","10","7","8","22","26","10","12","13","81","521","28.10.12"
"730059","203","Чернівецька область","школа, спортивна зала
вул.М.Емінеску, 63, с.Остриця, Герцаївський р-н, Чернівецька обл., 60520","1488","670","1478","29","796","22","818","","0","796","22","818","22","796","14","11","4","3","13","21","6","15","8","64","637","28.10.12"
"730060","203","Чернівецька область","клуб, велика зала
вул.Головна, 4, с.Петрашівка, Герцаївський р-н, Чернівецька обл., 60542","1536","355","1528","96","1086","95","1181","","0","1086","95","1181","27","1154","8","5","14","1","19","17","6","5","6","58","1015","28.10.12"
"730061","203","Чернівецька область","будинок культури, фойє
вул.Верхня, 5А, с.Тернавка, Герцаївський р-н, Чернівецька обл., 60543","2214","985","2174","65","1169","60","1229","","0","1169","60","1229","46","1183","26","18","5","14","15","29","18","28","18","98","914","29.10.12"
"730062","203","Чернівецька область","навчально-виховний комплекс, спортивна зала
вул.Центральна, 1050А, с.Дяківці, Герцаївський р-н, Чернівецька обл., 60544","936","298","931","65","573","65","638","","0","573","65","638","26","612","11","12","3","3","8","22","3","0","11","45","494","29.10.12"
"730063","203","Чернівецька область","школа, спортивна зала
вул.Центральна, 299А, с.Хряцька, Герцаївський р-н, Чернівецька обл., 60530","1524","505","1502","108","921","98","1019","","0","921","98","1019","82","937","14","14","7","9","21","10","12","5","8","67","770","29.10.12"
"730064","203","Чернівецька область","будинок культури, велика зала
вул.Емінеску, 43, с.Цурень, Герцаївський р-н, Чернівецька обл., 60521","798","244","788","35","519","35","554","","0","519","35","554","25","529","54","18","5","6","9","24","3","3","8","32","367","28.10.12"
"730065","203","Чернівецька область","школа, кл.2
вул.Кобилянська, 8, с.Маморниця, Герцаївський р-н, Чернівецька обл., 60521","396","117","393","5","275","4","279","","0","275","4","279","16","263","13","5","5","1","4","11","36","3","21","30","134","28.10.12"
"730066","203","Чернівецька область","школа, спортивна зала
вул.Центральна, 1, с.Радгоспівка, Герцаївський р-н, Чернівецька обл., 60521","366","99","368","20","248","19","267","","0","248","19","267","8","259","17","8","4","2","7","10","6","5","10","15","175","28.10.12"
"730067","203","Чернівецька область","школа, спортзал
вул.Центральна, 71, смт Глибока, Глибоцький р-н, Чернівецька обл., 60400","1956","761","1964","67","1145","50","1195","","0","1145","50","1195","37","1158","27","6","14","16","6","43","4","148","146","403","345","28.10.12"
"730068","203","Чернівецька область","будинок культури, актова зала
вул.Глибоцька, 3, смт Глибока, Глибоцький р-н, Чернівецька обл., 60400","1944","757","1935","65","1138","49","1187","","0","1138","49","1187","58","1129","40","13","12","2","9","39","7","133","133","385","356","29.10.12"
"730069","203","Чернівецька область","професійний ліцей, бібліотека
вул.І.Бойка, 4, смт Глибока, Глибоцький р-н, Чернівецька обл., 60400","1698","625","1686","24","1054","19","1073","","0","1054","19","1073","22","1051","23","12","20","10","7","24","10","151","126","313","355","29.10.12"
"730070","203","Чернівецька область","ліцей, актова зала
вул.Т.Шевченка, 5, смт Глибока, Глибоцький р-н, Чернівецька обл., 60400","1572","633","1557","49","895","44","939","","0","895","44","939","29","910","7","5","6","8","8","24","9","96","108","294","345","29.10.12"
"730071","203","Чернівецька область","клуб, актова зала
вул.Центральна, 40, с.Багринівка, Глибоцький р-н, Чернівецька обл., 60441","1038","454","1022","65","535","49","584","","0","535","49","584","10","574","11","8","9","7","10","13","4","35","3","118","356","28.10.12"
"730072","203","Чернівецька область","школа, спортзал
вул.Головна, 222, с.Валя Кузьмина, Глибоцький р-н, Чернівецька обл., 60411","1452","568","1447","50","837","47","884","","0","837","47","884","30","854","18","8","9","7","6","14","15","31","42","92","612","29.10.12"
"730073","203","Чернівецька область","будинок культури, актова зала
вул.Центральна, 21, с.Димка, Глибоцький р-н, Чернівецька обл., 60407","1386","540","1406","50","798","48","846","","0","798","48","846","43","803","15","12","8","8","14","23","5","89","9","211","409","29.10.12"
