"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Аннушак
Сергій
Васильович","Гладких
Валентин
Валерійович","Дунаєв
Сергій
Володимирович","Єфіменко
Євгеній
Олегович","Кримцев
Віктор
Олексійович","Крисанов
Леонід
Дмитрович","Слєсарєв
Ігор
Едуардович","Теросипов
Вячеслав
Михайлович","Філь
Сергій
Олександрович","Шахов
Сергій
Володимирович","Шведов
Віталій
Миколайович","Дата підписання протоколу"
"440381","107","Луганська область","школа №27, їдальня, 1-й поверх
вул.Ціолковського, 19, м.Попасна, Попаснянський р-н, Луганська обл., 93300","1308","485","1299","28","802","21","823","","0","802","21","823","52","771","6","3","272","4","77","17","3","20","4","362","3","28.10.12"
"440382","107","Луганська область","вагонне депо, актова зала, 1-й поверх
вул.Первомайська, 120, м.Попасна, Попаснянський р-н, Луганська обл., 93300","1242","538","1219","38","672","32","704","","0","672","32","704","24","680","1","5","293","2","83","9","3","16","3","262","3","29.10.12"
"440383","107","Луганська область","будинок культури, фойє, 1-й поверх
вул.Первомайська, 42, м.Попасна, Попаснянський р-н, Луганська обл., 93300","1578","638","1569","59","890","50","940","","0","890","50","940","26","914","6","8","374","2","19","130","1","27","5","335","7","29.10.12"
"440384","107","Луганська область","локомотивне депо, приміщення бази палива, 1-й поверх
вул.Дніпровська, 1, м.Попасна, Попаснянський р-н, Луганська обл., 93300","1404","641","1393","58","716","47","763","","0","716","47","763","26","737","6","6","273","6","68","9","4","7","1","348","9","29.10.12"
"440385","107","Луганська область","школа №24, коридор, 1-й поверх
пров.Лермонтова, 14, м.Попасна, Попаснянський р-н, Луганська обл., 93300","1554","687","1524","50","822","45","867","","0","822","45","867","31","836","1","2","333","2","98","10","6","20","3","356","5","29.10.12"
"440386","107","Луганська область","шоста дистанція колії, актова зала, 1-й поверх
вул.60 років утворення СРСР, 15А, м.Попасна, Попаснянський р-н, Луганська обл., 93300","1368","599","1338","42","737","32","769","","0","737","32","769","36","733","4","5","302","6","62","12","1","14","4","322","1","29.10.12"
"440387","107","Луганська область","школа №1, хол, 1-й поверх
вул.Донецька, 2А, м.Попасна, Попаснянський р-н, Луганська обл., 93300","2472","988","2397","51","1441","43","1484","","0","1441","43","1484","57","1427","4","6","609","3","107","28","4","28","6","617","15","29.10.12"
"440388","107","Луганська область","школа №21, спортзал, 1-й поверх
вул.Чехова, 7, м.Попасна, Попаснянський р-н, Луганська обл., 93300","1992","970","1956","80","958","64","1022","","0","958","64","1022","41","981","8","5","430","3","84","14","3","15","5","407","7","29.10.12"
"440389","107","Луганська область","дитяча школа мистецтв, фойє, 2-й поверх
пл.Леніна, 1, м.Попасна, Попаснянський р-н, Луганська обл., 93300","2004","792","1972","44","1169","43","1212","","0","1169","43","1212","48","1164","3","0","465","5","121","17","4","29","11","500","9","29.10.12"
"440390","107","Луганська область","районний будинок культури, фойє, 1-й поверх
вул.Леніна, 136, м.Попасна, Попаснянський р-н, Луганська обл., 93300","2220","929","2156","86","1221","70","1291","","0","1221","70","1291","47","1244","8","6","501","4","166","19","1","33","13","484","9","29.10.12"
"440391","107","Луганська область","школа №25, хол, 1-й поверх
вул.Кошового, 31, м.Попасна, Попаснянський р-н, Луганська обл., 93300","1644","647","1622","59","938","59","997","","0","938","59","997","31","966","4","8","358","3","130","18","4","31","7","393","10","29.10.12"
"440392","107","Луганська область","будинок-інтернат, їдальня, 1-й поверх
вул.Польова, 2, м.Попасна, Попаснянський р-н, Луганська обл., 93300","174","15","186","35","125","34","159","","0","125","34","159","33","126","14","8","42","14","4","13","6","4","2","18","1","29.10.12"
"440422","107","Луганська область","вузлова лікарня станції Попасна, коридор, 2-й поверх
вул.Серго, 35А, м.Попасна, Луганська обл., 93300","60","2","60","9","49","9","58","","0","49","9","58","2","56","0","0","31","0","5","3","0","3","14","0","0","29.10.12"
"440423","107","Луганська область","центральна районна лікарня, хол, 1-й поверх
вул.Базарна, 1, м.Попасна, Попаснянський р-н, Луганська обл., 93300","120","85","36","6","30","5","35","","0","30","5","35","4","31","0","0","17","0","4","1","0","1","1","7","0","28.10.12"
