"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Демішкан
Володимир
Федорович","Запорожець
Іван
Іванович","Ільїнова
Лідія
Рефатівна","Кравченко
Ольга
Ігнатівна","Сивоконь
Тетяна
Семенівна","Черенков
Олександр
Павлович","Чудовський
Андрій
Ігорович","Штомпель
Віталій
Олександрович","Дата підписання протоколу"
"440035","114","Луганська область","заготконтора, торгова зала
вул.ім.Торосяна, 13, смт Біловодськ, Біловодський р-н, Луганська обл., 92800","1104","242","1095","183","698","164","862","","0","698","164","862","28","834","674","18","9","11","97","13","7","5","29.10.12"
"440036","114","Луганська область","ліцей, фойє
вул.ім.Карла Маркса, 32, смт Біловодськ, Біловодський р-н, Луганська обл., 92800","1504","253","1480","325","974","277","1251","","0","974","277","1251","0","1251","1045","16","36","30","97","11","11","5","29.10.12"
"440037","114","Луганська область","будинок культури, фойє
вул.ім.Леніна, 109, смт Біловодськ, Біловодський р-н, Луганська обл., 92800","1432","348","1400","201","906","178","1084","","0","906","178","1084","28","1056","739","27","39","33","164","30","14","10","29.10.12"
"440038","114","Луганська область","дитячо-юнацька спортивна школа, ігрова зала
вул.ім.Козюменського, 16, смт Біловодськ, Біловодський р-н, Луганська обл., 92800","1480","358","1457","233","947","175","1122","","0","947","175","1122","14","1108","788","35","31","52","153","30","7","12","29.10.12"
"440039","114","Луганська область","райавтодор, актова зала
вул.ім.Гуньяна, 20, смт Біловодськ, Біловодський р-н, Луганська обл., 92800","1200","132","1181","240","830","238","1068","","0","830","238","1068","9","1059","847","23","25","19","111","16","12","6","29.10.12"
"440040","114","Луганська область","школа, спортивна зала
вул.ім.Юрченка, 21, с.Бараниківка, Біловодський р-н, Луганська обл., 92830","976","62","957","260","656","258","914","","0","656","258","914","2","912","904","0","0","0","8","0","0","0","29.10.12"
"440041","114","Луганська область","школа, спортивна зала
вул.Єлісєєва, 57, с.Зелеківка, Біловодський р-н, Луганська обл., 92831","536","35","524","75","426","75","501","","0","426","75","501","8","493","479","3","0","0","11","0","0","0","29.10.12"
"440042","114","Луганська область","сільська рада, фойє
вул.Степова, 7, с.Брусівка, Біловодський р-н, Луганська обл., 92814","446","91","432","39","318","37","355","","0","318","37","355","8","347","230","11","12","42","38","8","0","6","31.10.12"
"440043","114","Луганська область","будинок культури, фойє
вул.Леніна, 8, с.Городище, Біловодський р-н, Луганська обл., 92835","1112","287","1091","109","728","97","825","","0","728","97","825","13","812","566","30","36","24","133","8","6","9","29.10.12"
"440044","114","Луганська область","дитячий садок, музична зала
вул.Леніна, 40, с.Данилівка, Біловодський р-н, Луганська обл., 92833","648","198","634","56","394","56","450","","0","394","56","450","4","446","234","15","11","27","140","5","11","3","29.10.12"
"440045","114","Луганська область","школа, коридор
вул.Пастухова, 9, с.Новодеркул, Біловодський р-н, Луганська обл., 92833","696","209","686","32","455","32","487","","0","455","32","487","19","468","278","6","11","7","162","2","0","2","28.10.12"
"440046","114","Луганська область","контора, фойє
вул.Молодіжна, 12, с.Городнє, Біловодський р-н, Луганська обл., 92833","192","40","181","5","147","5","152","","0","147","5","152","1","151","110","5","6","16","14","0","0","0","28.10.12"
"440047","114","Луганська область","сільський клуб, глядацька зала
вул.Центральна, 99, с.Третяківка, Біловодський р-н, Луганська обл., 92834","384","42","377","61","281","61","342","","0","281","61","342","2","340","287","8","1","5","35","2","1","1","28.10.12"
"440048","114","Луганська область","сільський клуб, фойє
вул.Клубна, 1А, с.Первомайськ, Біловодський р-н, Луганська обл., 92834","136","13","131","20","103","20","123","","0","103","20","123","0","123","108","0","0","0","15","0","0","0","28.10.12"
"440049","114","Луганська область","сільський клуб, фойє
вул.Шевченка, 2, с.Євсуг, Біловодський р-н, Луганська обл., 92820","360","87","351","69","207","66","273","","0","207","66","273","12","261","166","9","7","27","36","10","5","1","28.10.12"
"440050","114","Луганська область","школа, спортивна зала
вул.Старобільська, 36, с.Євсуг, Біловодський р-н, Луганська обл., 92820","648","146","636","80","425","77","502","","0","425","77","502","9","493","300","19","18","37","77","31","8","3","28.10.12"
"440051","114","Луганська область","школа, спортивна зала
вул.Центральна, 1, с.Парневе, Біловодський р-н, Луганська обл., 92822","472","140","460","64","273","59","332","","0","273","59","332","20","312","179","14","9","11","86","8","4","1","28.10.12"
"440052","114","Луганська область","будинок культури, глядацька зала
вул.Леніна, 18, с.Кононівка, Біловодський р-н, Луганська обл., 92810","272","41","261","21","212","19","231","","0","212","19","231","0","231","209","0","0","0","16","6","0","0","28.10.12"
"440053","114","Луганська область","сільський клуб, фойє
вул.Леніна, 35, с.Гармашівка, Біловодський р-н, Луганська обл., 92811","208","6","204","12","190","12","202","","0","190","12","202","4","198","122","9","10","5","33","15","4","0","28.10.12"
"440054","114","Луганська область","сільський клуб, фойє
вул.Радянська, 45, с.Лимарівка, Біловодський р-н, Луганська обл., 92812","232","8","234","17","207","17","224","","0","207","17","224","0","224","221","0","1","1","0","0","1","0","28.10.12"
"440055","114","Луганська область","школа, спортивна зала
вул.Шевченко, 9, с.Литвинівка, Біловодський р-н, Луганська обл., 92815","688","30","682","161","497","161","658","","0","497","161","658","6","652","550","13","17","18","35","7","4","8","28.10.12"
"440056","114","Луганська область","сільська рада, фойє
вул.Жовтнева, 1, с.Нижньобараниківка, Біловодський р-н, Луганська обл., 92832","384","12","380","122","250","122","372","","0","250","122","372","0","372","366","0","0","4","1","1","0","0","28.10.12"
"440057","114","Луганська область","будинок культури, фойє
вул.Шкільна, 10, с.Новоолександрівка, Біловодський р-н, Луганська обл., 92823","728","230","716","70","430","68","498","","0","430","68","498","11","487","290","11","11","12","91","65","3","4","29.10.12"
"440058","114","Луганська область","фельдшерсько-акушерський пункт, кабінет керівника
вул.Садова, 1, с.Степове, Біловодський р-н, Луганська обл., 92823","232","32","223","17","183","17","200","","0","183","17","200","5","195","157","6","1","4","14","8","3","2","28.10.12"
"440059","114","Луганська область","школа, спортивна зала
вул.Шкільна, 55, с.Новолимарівка, Біловодський р-н, Луганська обл., 92813","688","83","687","141","464","141","605","","0","464","141","605","0","605","436","19","2","28","92","13","8","7","29.10.12"
"440060","114","Луганська область","школа, спортивна зала
вул.Комарова, 13, с.Плугатар, Біловодський р-н, Луганська обл., 92806","432","26","428","97","309","97","406","","0","309","97","406","0","406","386","2","2","5","9","0","1","1","28.10.12"
"440061","114","Луганська область","контора відділення, кабінет директора
вул.Центральна, 1, с.Узлісся, Біловодський р-н, Луганська обл., 92830","112","7","110","25","80","25","105","","0","80","25","105","0","105","99","0","1","0","4","1","0","0","28.10.12"
"440062","114","Луганська область","сільський клуб, фойє
вул.Октябрська, 24, с.Семикозівка, Біловодський р-н, Луганська обл., 92803","952","214","931","112","644","94","738","","0","644","94","738","26","712","487","28","15","38","117","7","10","10","31.10.12"
"440063","114","Луганська область","будинок культури, фойє
вул.Уманського, 77, с.Семикозівка, Біловодський р-н, Луганська обл., 92803","432","46","428","59","327","59","386","","0","327","59","386","6","380","282","19","8","9","41","14","3","4","28.10.12"
"440064","114","Луганська область","дитячий садок, музичний зал
вул.Мічуріна, 46, с.Шуліківка, Біловодський р-н, Луганська обл., 92816","272","50","269","46","178","44","222","","0","178","44","222","5","217","156","7","3","2","29","18","1","1","28.10.12"
"440216","114","Луганська область","сільський будинок культури, актова зала
вул.Леніна, 228, смт Марківка, Марківський р-н, Луганська обл., 92400","736","264","728","29","445","27","472","","0","445","27","472","16","456","284","44","15","32","59","9","5","8","29.10.12"
"440217","114","Луганська область","районний будинок культури, хол
вул.Леніна, 29, смт Марківка, Марківський р-н, Луганська обл., 92400","1520","513","1495","68","946","61","1007","","0","946","61","1007","30","977","477","87","53","83","196","17","33","31","28.10.12"
"440218","114","Луганська область","аграрний ліцей, спортивний зал
пл.Жовтнева, 1, смт Марківка, Марківський р-н, Луганська обл., 92400","856","300","834","32","528","28","556","","0","528","28","556","27","529","301","49","25","35","80","12","13","14","28.10.12"
"440219","114","Луганська область","школа №1, хол
вул.Задорожнього, 9, смт Марківка, Марківський р-н, Луганська обл., 92400","1040","323","1028","62","657","60","717","","0","657","60","717","21","696","406","51","26","46","120","27","10","10","28.10.12"
"440220","114","Луганська область","філія ""Марківський райавтодор"", актова зала
вул.Єременка, 24, смт Марківка, Марківський р-н, Луганська обл., 92400","816","235","803","46","537","44","581","","0","537","44","581","10","571","299","55","18","40","124","20","6","9","29.10.12"
"440221","114","Луганська область","ТОВ ""Біловодський елеватор"", хол
вул.Єременка, 175А, смт Марківка, Марківський р-н, Луганська обл., 92400","768","268","762","42","462","38","500","","0","462","38","500","24","476","236","40","17","21","95","46","7","14","29.10.12"
"440222","114","Луганська область","гімназія, спортивний зал
вул.Леніна, 53, с.Бондарівка, Марківський р-н, Луганська обл., 92443","1240","468","1227","75","707","65","772","","0","707","65","772","25","747","388","73","51","55","117","33","16","14","28.10.12"
"440223","114","Луганська область","школа, хол
пл.Радянська, 1Б, с.Курячівка, Марківський р-н, Луганська обл., 92444","432","138","421","39","258","36","294","","0","258","36","294","13","281","172","16","9","22","37","18","1","6","28.10.12"
"440224","114","Луганська область","школа, хол
вул.Радянська, 12А, с.Кризьке, Марківський р-н, Луганська обл., 92424","584","171","569","58","359","54","413","","0","359","54","413","15","398","222","25","20","26","76","14","10","5","28.10.12"
"440225","114","Луганська область","сільський клуб, актова зала
вул.Гагаріна, 6, с.Сичівка, Марківський р-н, Луганська обл., 93425","200","43","190","24","134","23","157","","0","134","23","157","2","155","83","20","3","14","28","2","3","2","28.10.12"
