"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Белик
Дмитро
Анатолійович","Богатиренко
Сергій
Васильович","Варданідзе
Людмила
Іванівна","Голік
Олександр
Олексійович","Донець
Григорій
Григорович","Єрмаков
Іван
Федосович","Кондратевський
Сергій
Михайлович","Лебедєв
Павло
Валентинович","Рибаков
Микола
Сергійович","Тюлєнєв
Сергій
Анатолійович","Дата підписання протоколу"
"850001","224","м.Севастополь","Балаклавський центр культури та дозвілля, малий зал
вул.Каліча, 21, м.Севастополь, 99042","798","289","787","23","490","19","509","","0","490","19","509","20","489","78","68","7","7","2","7","6","276","14","24","29.10.12"
"850002","224","м.Севастополь","комунальне підприємство ""РЕП-12"", актовий зал
вул.Новікова, 4, м.Севастополь, 99043","1356","557","1354","18","786","13","799","","0","786","13","799","28","771","164","123","4","13","3","11","10","375","27","41","29.10.12"
"850003","224","м.Севастополь","будинок культури ""Балаклавського рудоуправління ім.О.М.Горького"", фойє
вул.Новікова, 12, м.Севастополь, 99042","1824","856","1786","25","948","20","968","","0","948","20","968","31","937","226","206","13","25","3","10","12","393","23","26","29.10.12"
"850004","224","м.Севастополь","школа №25, актовий зал
вул.Драпушко, 4А, м.Севастополь, 99043","2208","1112","2193","45","1055","41","1096","","0","1055","41","1096","30","1066","291","228","11","10","2","10","8","461","21","24","29.10.12"
"850005","224","м.Севастополь","школа №30, фойє
вул.Міра, 2, м.Севастополь, 99042","1572","766","1559","33","776","30","806","","0","776","30","806","20","786","204","161","7","10","8","5","5","349","12","25","28.10.12"
"850006","224","м.Севастополь","відділ державної реєстрації актів цивільного стану Балаклавського РУЮ, хол
вул.Строітельна, 43, м.Севастополь, 99018","1806","789","1776","20","999","18","1017","","0","999","18","1017","40","977","268","187","10","18","12","12","7","420","22","21","29.10.12"
"850007","224","м.Севастополь","будинок дитячої та юнацької творчості, філія №1, клас хореографії
вул.Хмельницького Богдана, 8, м.Севастополь, 99042","1092","572","1074","5","516","4","520","","0","516","4","520","16","504","132","101","3","4","7","8","10","204","12","23","28.10.12"
"850008","224","м.Севастополь","контора ТОВ ""Агрофірма ""Золота Балка"", конференц зал
вул.Новікова, 56, м.Севастополь, 99043","606","262","596","21","328","16","344","","0","328","16","344","4","340","94","59","1","8","1","1","4","151","6","15","28.10.12"
"850009","224","м.Севастополь","школа №33, фойє
вул.Комунарів, 2, м.Севастополь, 99043","1518","638","1491","29","860","20","880","","0","860","20","880","28","852","211","160","6","33","3","14","6","361","19","39","29.10.12"
"850010","224","м.Севастополь","клуб, хол
вул.Благодатна, 16, м.Севастополь, 99018","732","424","743","19","294","14","308","","0","294","14","308","9","299","36","53","4","4","3","5","3","168","2","21","28.10.12"
"850011","224","м.Севастополь","клуб 1-го відділення, зал
вул.Междурядна, 1, м.Севастополь, 99043","684","429","680","11","248","7","255","","0","248","7","255","9","246","68","24","1","1","2","4","2","123","9","12","28.10.12"
"850012","224","м.Севастополь","контора, актовий зал
пров.Новікова, 24, м.Севастополь, 99020","684","361","706","20","304","19","323","","0","304","19","323","10","313","58","38","5","2","0","3","4","184","6","13","29.10.12"
"850013","224","м.Севастополь","сільськогосподарське відкрите акціонерне товариство ""Севастопольський"", зал
вул.Урожайна, 22, м.Севастополь, 99020","810","391","815","12","413","6","419","","0","413","6","419","16","403","78","38","6","6","3","9","8","198","27","30","28.10.12"
"850014","224","м.Севастополь","Палац культури ""Севастопольський"", малий зал
вул.Тімірязєва, 13, м.Севастополь, 99703","1458","705","1466","40","714","39","753","","0","714","39","753","27","726","115","102","5","9","5","17","13","426","13","21","29.10.12"
"850015","224","м.Севастополь","клуб, фойє
вул.Комінтерна, 13, м.Севастополь, 99010","1164","672","1159","26","472","20","492","","0","472","20","492","16","476","82","90","6","12","3","11","11","222","10","29","29.10.12"
"850016","224","м.Севастополь","станція ""Інкерман-II"", зал очікування
вул.Чернореченська, 93, м.Інкерман, м.Севастополь, 99703","1020","558","1023","43","421","41","462","","0","421","41","462","12","450","92","75","5","2","1","6","4","241","10","14","29.10.12"
"850017","224","м.Севастополь","школа №28, вестибюль, 1-й поверх
вул.Ангарська, 7, м.Інкерман, м.Севастополь, 99704","1140","583","1136","41","519","38","557","","0","519","38","557","16","541","167","74","7","2","2","3","5","264","11","6","29.10.12"
"850018","224","м.Севастополь","філія школи №12, початкова школа, фойє, 2-й поверх
вул.Раєнко, 22, м.Інкерман, м.Севастополь, 99703","1182","664","1166","49","478","40","518","","0","478","40","518","19","499","90","69","5","1","2","5","13","288","9","17","29.10.12"
"850019","224","м.Севастополь","школа №12, 1-й поверх, вестибюль
вул.Маліновського, 34, м.Інкерман, м.Севастополь, 99703","1758","952","1743","34","776","30","806","","0","776","30","806","20","786","193","138","5","0","4","5","3","396","17","25","28.10.12"
"850020","224","м.Севастополь","школа-інтернат №6, 1-й поверх, вестибюль
вул.Шубікова, 3, м.Інкерман, м.Севастополь, 99703","1638","812","1631","45","789","37","826","","0","789","37","826","24","802","189","193","8","0","7","8","11","337","20","29","29.10.12"
"850021","224","м.Севастополь","підлітковий клуб ""Ритм"", великий зал
вул.Менжинського, 25, м.Інкерман, м.Севастополь, 99703","1602","843","1592","36","729","30","759","","0","729","30","759","21","738","181","164","5","2","11","5","13","316","15","26","29.10.12"
"850022","224","м.Севастополь","клуб, зал
вул.Раз’єздна, 1Б, м.Севастополь, 99036","846","397","834","23","427","22","449","","0","427","22","449","16","433","70","54","2","9","2","10","6","260","8","12","29.10.12"
"850023","224","м.Севастополь","клуб, фойє
проїзд Сумський, 3, м.Севастополь, 99044","702","386","715","17","302","14","316","","0","302","14","316","10","306","54","29","1","14","0","2","4","184","7","11","29.10.12"
"850024","224","м.Севастополь","будинок культури, зал
вул.Тюкова, 63, с.Орлине, м.Севастополь, 99805","1956","987","1940","52","930","39","969","","0","930","39","969","39","930","65","166","11","14","9","8","7","513","54","83","28.10.12"
"850025","224","м.Севастополь","клуб, зал
вул.Стахановська, 10, с.Тилове, м.Севастополь, 99805","474","234","471","2","238","2","240","","0","238","2","240","12","228","25","35","4","1","2","3","2","120","25","11","28.10.12"
"850026","224","м.Севастополь","контора лісництва, зал засідань
вул.Кічігіна, 6А, с.Гончарне, м.Севастополь, 99811","648","332","624","21","295","21","316","","0","295","21","316","18","298","38","78","6","4","1","6","3","127","14","21","29.10.12"
"850027","224","м.Севастополь","дошкільний навчальний заклад №134, фойє, 1-й поверх
вул.Булгакова, 57, с.Широке, м.Севастополь, 99809","672","289","664","34","349","34","383","","0","349","34","383","7","376","58","54","3","4","2","7","2","227","6","13","29.10.12"
"850028","224","м.Севастополь","навчально-виховний комплекс №3, фойє, 1-й поверх
вул.Магсумова, 2, с.Передове, м.Севастополь, 99806","726","329","721","28","370","27","397","","0","370","27","397","9","388","40","65","1","2","4","3","1","226","16","30","29.10.12"
